company;headquarter;newCol0;newCol1;newCol2;newCol3;newCol
apple computer;united states;;;;;
bank america;united states;;;;;
basf;germany;;germany;;germany;germany
berkshire hathaway;usa;united states;united states;;united states;united states
best buy;160 united states;;;;;
bmw;germany;;;;;
bp;uk;united kingdom;united kingdom;;united kingdom;united kingdom
canon;japan;;;;;
caterpillar;us;;;;;
cisco systems;united states;;united states;;united states;united states
citigroup;usa;;;us;united states;us
coca cola;us;;;;;
dell;united kingdom;;;;;
dupont;fr;;;;;
exxon mobil;united states;;;;;
fedex;us;;;;;
general electric;united states;united states;united states;us;united states;united states
home depot;ra sushi;;;;;
honda motor;japan;;japan;;japan;japan
hsbc holdings;united kingdom;united kingdom;united kingdom;;united kingdom;united kingdom
ibm;united states;;united states;;united states;united states
intel;us;;;;united states;united states
john deere;united states;;;;;
johnson johnson;united states;united states;united states;us;united states;united states
l al;france;;;;;
lowe;usa;;;;;
microsoft;united states;united states;united states;;united states;united states
nestl;vevey;switzerland;switzerland;;switzerland;switzerland
nokia;finland;;;finland;finland;finland
novartis;switzerland;;switzerland;;switzerland;switzerland
pepsi co;purchase new york united states;;;;;
pfizer;united states;;united states;;united states;united states
procter gamble;united states;united states;united states;;united states;united states
royal bank scotland;uk;;;;united kingdom;united kingdom
samsung electronics;south korea;;south korea;;south korea;south korea
siemens;germany;;germany;;germany;germany
singapore airlines;singapore;;;;;
sony;japan;;;japan;;japan
target;england;;;;;
tesco;uk;;united kingdom;;;united kingdom
toyota industries;japan;;;;;
toyota motor;japan;japan;;;japan;japan
united parcel service;seattle washington united states;;;;;
verizon communications;united states;;united states;;united states;united states
wal mart stores;united states;united states;united states;;united states;united states
walgreen;united states;;;;;
walt disney;us;;united states;;;united states
