country;area;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol
abkhazia;8432.0;;;;;;;
afghanistan;647500.0;250001.05;647500.0;;;250000.0;;250001.05
albania;28748.0;11099.66;28748.0;27398.0;;11100.0;27398.0;11099.66
algeria;2381740.0;919594.58;2381740.0;2381740.0;2381740.0;919595.0;2381740.0;919594.58
andorra;468.0;;468.0;;;181.0;;468.0
angola;1246700.0;481353.36;1246700.0;1246700.0;1246700.0;481350.0;1246700.0;481353.36
antigua barbuda;442.0;;;;;;;
argentina;2766890.0;1068301.76;2766890.0;2736690.0;;1068302.0;2736690.0;1068301.76
armenia;29800.0;11505.84;29800.0;;;11500.0;;11505.84
australia;7686850.0;2967908.16;7686850.0;7617930.0;;2966151.0;7617930.0;2967908.16
austria;83858.0;32377.74;83870.0;82444.0;;32378.0;82444.0;32377.74
azerbaijan;86600.0;33436.43;86600.0;;;33400.0;;33436.43
bahamas;13940.0;;;10070.0;;5382.0;10070.0;10070.0
bahrain;665.0;;665.0;;;240.0;;665.0
bangladesh;147570.0;55598.69;144000.0;133910.0;;55598.0;133910.0;55598.69
barbados;431.0;;431.0;;;166.0;;431.0
belarus;207600.0;80154.78;207600.0;;;80200.0;;80154.78
belgium;30528.0;11779.97;30528.0;30528.0;;11787.0;30278.0;11779.97
belize;22966.0;;22966.0;22806.0;;8867.0;22806.0;22966.0
benin;112622.0;43482.81;112620.0;;112620.0;43484.0;;43482.81
bhutan;47000.0;;47000.0;47000.0;;18147.0;47000.0;47000.0
bolivia;1098581.0;424163.94;1098580.0;1084390.0;;424165.0;1084390.0;424163.94
bosnia herzegovina;51129.0;19741.01;;;;;;19741.01
botswana;600370.0;231804.06;600370.0;;600370.0;224607.0;;231804.06
brazil;8511965.0;3286486.71;8511965.0;8456510.0;;3286500.0;8456510.0;3286486.71
brunei;5765.0;;5770.0;;;2226.0;;5770.0
bulgaria;110910.0;42822.57;110910.0;;;42823.0;110550.0;42822.57
