country;capital;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol
abkhazia;sukhumi;;;;;;;;;;;;;;
afghanistan;kabul;kabul;;kabul;;;kabul;;;;;;;kabul;kabul
albania;tirana;;;tirana;;;tirane;;;;tirana;;;tirana;tirana
algeria;algiers;;;algiers;algiers;;algiers;;;;;;;algiers;algiers
andorra;andorra la vella;;;andorra la vella;;;andorra la vella;;;;;;;andorra la vella;andorra la vella
angola;luanda;;;luanda;;;luanda;;;;;;;luanda;luanda
antigua barbuda;st john;;;;;;;;;;;;;;
argentina;buenos aires;;;buenos aires;;;buenos aires;;buenos aires;;;;;buenos aires;buenos aires
armenia;yerevan;;;yerevan;;;yerevan;;;;;;;yerevan;yerevan
australia;canberra;;;canberra;;;canberra;;;;;;;canberra;canberra
austria;vienna;;;vienna;;;vienna;;;;vienna;;;vienna;vienna
azerbaijan;baku;;;baku;;;baku;;;;;;;baku (baki);baku
bahamas;nassau;;;;;;nassau;;;;;;;;nassau
bahrain;manama;manama;manama;manama;;;manama;;;;;;;manama;manama
bangladesh;dhaka;dhaka;dhaka;dhaka;;;dhaka;;;;;;;dhaka;dhaka
barbados;bridgetown;;bridgetown;bridgetown;;;bridgetown;;;;;;;bridgetown;bridgetown
belarus;minsk;;minsk;minsk;;;minsk;;;;minsk;;;minsk;minsk
belgium;brussels;;brussels;brussels;;;brussels;;;;brussels;;;brussels;brussels
belize;belmopan;;belmopan;belmopan;;;belmopan;;;;;;;belmopan;belmopan
benin;porto novo;;porto-novo (official capital) cotonou (seat of government);porto-novo;;;porto-novo (constitutional cotonou (seat of gvnt);;;;;;;porto-novo ?;porto-novo (official capital) cotonou (seat of government)
bhutan;thimphu;thimphu;thimphu;thimphu;;;thimphu;;;;;;;thimphu;thimphu
bolivia;la paz;;"la paz (seat of government); sucre (legal capital and seat of judiciary)";sucre;;;la paz (adm.)/sucre (legislative);;;;;;;la paz / sucre;"la paz (seat of government); sucre (legal capital and seat of judiciary)"
bosnia herzegovina;sarajevo;;;;;;;;;;sarajevo;;;;sarajevo
botswana;gaborone;;gaborone;gaborone;;;gaborone;;;;;;;gaborone;gaborone
brazil;bras ã lia;;brasilia;brasilia;;;brasilia;;;;;;;brasilia;brasilia
brunei;bandar seri begawan;bandar seri begawan;bandar seri begawan;bandar seri begawan;;;;;;;;;;bandar seri begawan;bandar seri begawan
bulgaria;sofia;;sofia;sofia;;;sofia;;;;sofia;;;sofia;sofia
burkina faso;ouagadougou;;ouagadougou;ouagadougou;;;ouagadougou;;;;;;;ouagadougou;ouagadougou
burma;naypyidaw;rangoon;;pyinmana;;;;;;;;;;;rangoon
