country	capital
abkhazia	sukhumi
afghanistan	kabul
albania	tirana
algeria	algiers
andorra	andorra la vella
angola	luanda
antigua barbuda	st john
argentina	buenos aires
armenia	yerevan
australia	canberra
austria	vienna
azerbaijan	baku
bahamas	nassau
bahrain	manama
bangladesh	dhaka
barbados	bridgetown
belarus	minsk
belgium	brussels
belize	belmopan
benin	porto novo
bhutan	thimphu
bolivia	la paz
bosnia herzegovina	sarajevo
botswana	gaborone
brazil	bras ã lia
brunei	bandar seri begawan
bulgaria	sofia
burkina faso	ouagadougou
burma	naypyidaw
burundi	bujumbura
cambodia	phnom penh
cameroon	yaounde
canada	ottawa
cape verde	praia
central african republic	bangui
chad	n djamena
chile	santiago
china	beijing
colombia	bogot ã
comoros	moroni
costa rica	san jose
croatia	zagreb
cuba	havana
cyprus	nicosia
czech republic	prague
democratic republic congo	kinshasa
djibouti	djibouti
dominica	roseau
dominican republic	santo domingo
east timor	dili
ecuador	quito
egypt	cairo
el salvador	san salvador
equatorial guinea	malabo
eritrea	asmara
estonia	tallinn
ethiopia	addis ababa
federated states micronesia	palikir
fiji	suva
finland	helsinki
france	paris
gabon	libreville
gambia	banjul
georgia	atlanta
germany	berlin
ghana	accra
greece	athens
grenada	st george
guatemala	guatemala city
guinea	conakry
guinea bissau	bissau
guyana	georgetown
haiti	port au prince
honduras	tegucigalpa
hungary	budapest
iceland	reykjavik
india	new delhi
indonesia	jakarta
iran	tehran
iraq	baghdad
israel	jerusalem
italy	rome
ivory coast	yamoussoukro
jamaica	kingston
japan	tokyo
jordan	amman
kazakhstan	astana
kenya	nairobi
kiribati	tarawa
kosovo	pristina
kuwait	kuwait
kyrgyzstan	bishkek
laos	vientiane
latvia	riga
lebanon	beirut
lesotho	maseru
liberia	monrovia
libya	tripoli
liechtenstein	vaduz
lithuania	vilnius
luxembourg	luxembourg
macedonia	skopje
madagascar	antananarivo
malawi	lilongwe
malaysia	kuala lumpur
maldives	male
mali	bamako
malta	valletta
marshall islands	majuro
mauritania	nouakchott
mauritius	port louis
mexico	mexico city
moldova	chi åÿin äƒu
monaco	monaco
mongolia	ulaanbaatar
montenegro	podgorica
morocco	rabat
mozambique	maputo
namibia	windhoek
nauru	yaren
nepal	kathmandu
netherlands	amsterdam
new zealand	wellington
nicaragua	managua
niger	niamey
nigeria	abuja
niue	alofi
north korea	pyongyang
northern cyprus	nicosia
norway	oslo
pakistan	islamabad
palau	melekeok
palestine	east jerusalem
panama	panama
papua new guinea	port moresby
paraguay	asunci ã n
peru	lima
philippines	manila
poland	warsaw
portugal	lisbon
qatar	doha
republic congo	brazzaville
romania	bucharest
russia	moscow
rwanda	kigali
s o tom pr ncipe	s o tom
sahrawi arab democratic republic	el aai n
saint kitts nevis	basseterre
saint lucia	castries
saint vincent grenadines	kingstown
samoa	apia
san marino	san marino
saudi arabia	riyadh
senegal	dakar
serbia	belgrade
seychelles	victoria
sierra leone	freetown
singapore	singapore
slovakia	bratislava
slovenia	ljubljana
solomon islands	honiara
somalia	mogadishu
somaliland	hargeisa
south africa	pretoria
south korea	seoul
south ossetia	tskhinvali
south sudan	juba
spain	madrid
sri lanka	colombo
sudan	khartoum
suriname	paramaribo
swaziland	mbabane
sweden	stockholm
switzerland	bern
syria	damascus
taiwan	taipei
tajikistan	dushanbe
tanzania	dodoma
thailand	bangkok
togo	lome
tonga	nuku alofa
transnistria	tiraspol
trinidad tobago	port spain
tunisia	tunis
turkey	ankara
turkmenistan	ashgabat
tuvalu	funafuti
uganda	kampala
ukraine	kiev
united arab emirates	abu dhabi
united kingdom	london
united states	washington d c
uruguay	montevideo
uzbekistan	tashkent
vanuatu	port vila
vatican city	vatican city
venezuela	caracas
vietnam	hanoi
yemen	sana
zambia	lusaka
zimbabwe	harare
