country;currency;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol
afghanistan;afghani;afghani;afghani;;;;;;afghani;;;;afghani
albania;lek;lek;;;;;;albanian lek;lek;all;lek (all);;lek
algeria;dinar;algerian dinar;dinar;;;;;algerian dinar;algerian dinar;dzd;;;algerian dinar
andorra;euro;euro;euro;;;;;;spanish peseta;;;;euro
angola;new kwanza;new kwanza;;;;;;angola kwanza;new kwanza;;;;new kwanza
antigua barbuda;east caribbean dollar;;;;;;;;;;;;
argentina;argentine peso;argentine peso;austral;;;;;argentine peso;argentine peso;ars;;;argentine peso
armenia;armenian dram;armenian dram;;;;;;;armenian dram;amd;;;armenian dram
australia;aud;australian dollar;dollar;australia;;;;australian dollar;australian dollar;aud;;;australian dollar
austria;euro;euro;euro;austria;;;;austrian schilling;schilling;eur;euro (eur);;euro
azerbaijan;azerbaijanian manat;azerbaijanian manat;;;;;;azerbaijanian manat;azerbaijanian manat;azn;;;azerbaijanian manat
bahamas;dollar;bahamian dollar;dollar;bahamas;;;;bahamas dollar;bahamian dollar;bsd;;;bahamian dollar
bahrain;bhd;bahraini dinar;dinar;bahrain;;;;bahraini dinar;bahraini dinar;;;;bahraini dinar
bangladesh;taka;taka;;;;;;bangladeshi taka;taka;bdt;;;taka
barbados;dollar;barbados dollar;dollar;barbados;;;;barbados dollar;barbados dollar;;;;barbados dollar
belarus;belarussian ruble;belarussian ruble;;;;;;belarus ruble;belarussian ruble;;belarusian ruble (byr);;belarussian ruble
belgium;euro;euro;euro;belgium;;;;belgian franc;belgian franc;eur;euro (eur);;euro
belize;dollar;belize dollar;dollar;belize;;;;belize dollar;belize dollar;;;;belize dollar
benin;cfa franc bceao;cfa franc bceao;franc;;;;;;cfa franc bceao;;;;cfa franc bceao
bhutan;rupee;indian rupee;;;;;;bhutan ngultrum;indian rupee;;;;indian rupee
bolivia;boliviano;;boliviano;;;;;bolivia boliviano;;bov;;;boliviano
bosnia herzegovina;mark;;;;;;;;;;convertible mark (bam);;convertible mark (bam)
botswana;pula;pula;;;;;;botswana pula;pula;;;;pula
brazil;real;brazilian real;real;brazil;;;;brazilian real;brazilian real;brl;;;brazilian real
brunei;dollar;;dollar;brunei;;;;;;;;;dollar
bulgaria;lev;lev;lev;;;;;bulgarian lev;lev;;lev (bgn);;lev
burkina faso;cfa franc bceao;cfa franc bceao;;;;;;;cfa franc bceao;;;;cfa franc bceao
burma;mmk;;;;;;;;;;;;
burundi;burundi franc;burundi franc;;;;;;burundi franc;burundi franc;;;;burundi franc
cambodia;usd;;;;riel;;;;riel;;;;riel
cameroon;franc;;franc;;cfa franc beac;;;;cfa franc beac;xof;;;franc
canada;cad;;dollar;;canadian dollar;;;canadian dollar;canadian dollar;cad;;;dollar
cape verde;escudo;;;;cape verde escudo;;;;cape verde escudo;;;;cape verde escudo
central african republic;cfa franc beac;;;;cfa franc beac;;;;cfa franc beac;;;;cfa franc beac
chad;franc;;franc;;cfa franc beac;;;;cfa franc beac;;;;franc
chile;peso;;peso;chile;chilean peso;;;chilean peso;chilean peso;clp;;;peso
china;yuan;;yuan;china;yuan renminbi;;;chinese yuan;yuan renminbi;cny;;;yuan
colombia;peso;;peso;colombia;colombian peso;;;colombian peso;colombian peso;cop;;;peso
comoros;kmf;;;;comoro franc;;;comoro franc;comoro franc;;;;comoro franc
costa rica;colon;;colon;costa rica;costa rican colon;;;costa rican colon;costa rican colon;crc;;;colon
croatia;kuna;;;;kuna;;;croatian kuna;kuna;hrk;kuna (hrk);;kuna
cuba;cuban peso;;peso;;cuban peso;;;cuban peso;cuban peso;cuc;;;peso
cyprus;eur;;lira;cyprus;cyprus pound;;;cyprus pound;cyprus pound;eur;;;lira
czech republic;czk;;;czech republic;czech koruna;;;czech koruna;czech koruna;czk;czech koruna (czk);;czech republic
djibouti;djibouti franc;;franc;;djibouti franc;djib franc;;;djibouti franc;;;;franc
dominica;east caribbean dollar;;;;east caribbean dollar;;;;east caribbean dollar;;;;east caribbean dollar
dominican republic;peso;;;dominican republic;dominican peso;;;dominican peso;dominican peso;dop;;;dominican republic
east timor;usd;;;;us dollar;;;;timor escudo;;;;us dollar
ecuador;sucre;;dollar;;us dollar;;;ecuadorian sucre;sucre;eur;;;dollar
egypt;egyptian pound;;pound;egypt;egyptian pound;;;egyptian pound;egyptian pound;egp;egyptian pound (egp);;pound
el salvador;el salvador colon;;colon;;el salvador colon;;;el salvador colon;el salvador colon;;;;colon
equatorial guinea;cfa franc beac;;;;cfa franc beac;;;;cfa franc beac;xof;;;cfa franc beac
eritrea;nakfa;;;;nakfa;;;;nakfa;;;;nakfa
estonia;eek;;;estonia;kroon;;;estonian kroon;kroon;eek;;;estonia
ethiopia;birr;;birr;;ethiopian birr;;;ethiopian birr;ethiopian birr;;;;birr
fiji;dollar;;dollar;fiji;fiji dollar;;;fiji dollar;fiji dollar;;;;dollar
finland;euro;;euro;finland;euro;;;finnish markka;markka;eur;euro (eur);;euro
france;eur;;euro;france;euro;;;french franc;french franc;eur;euro (eur);;euro
gabon;franc;;franc;;;;cfa franc beac;;cfa franc beac;xof;;;franc
gambia;dalasi;;;;;;;;;;;;
georgia;lari;;;;;;lari;georgian lari;lari;gel;;;lari
germany;eur;;euro;germany;;;euro;deutsche mark;deutsche mark;eur;euro (eur);;euro
ghana;cedi;;cedi;;;;cedi;ghanaian cedi;cedi;eur;;;cedi
greece;euro;;euro;greece;;;euro;greek drachma;drachma;eur;euro (eur);;euro
grenada;east caribbean dollar;;;;;;east caribbean dollar;;east caribbean dollar;;;;east caribbean dollar
guatemala;quetzal;;quetzal;guatemala;;;quetzal;guatemalan quetzal;quetzal;;;;quetzal
guinea;franc;;franc;;;;guinea franc;guinean franc;guinea franc;;;;franc
guinea bissau;franc;;;;;;cfa franc bceao;;guinea-bissau peso;;;;cfa franc bceao
guyana;dollar;;dollar;;;;guyana dollar;;guyana dollar;;;;dollar
haiti;gourde;;gourde;;;;gourde;haitian gourde;gourde;htg;;;gourde
honduras;lempira;;lempira;honduras;;;lempira;honduran lempira;lempira;;;;lempira
hungary;huf;;forint;hungary;;;forint;hungarian forint;forint;huf;forint (huf);;forint
iceland;krona;;krona;iceland;;;euro;irish pound;iceland krona;isk;euro (eur);;krona
india;rupee;;rupee;india;;;indian rupee;indian rupee;indian rupee;inr;;;rupee
indonesia;rupiah;;rupiah;indonesia;;;rupiah;indonesian rupiah;rupiah;idr;;;rupiah
iran;iranian rial;;;;;;iranian rial;iranian rial;iranian rial;irr;;;iranian rial
iraq;dinar;;dinar;;;;iraqi dinar;;iraqi dinar;;;;dinar
israel;usd;;shekel;israel;;;new israeli sheqel;new israeli sheqel;new israeli sheqel;nis;;;shekel
italy;eur;;euro;italy;;;euro;italian lira;italian lira;eur;euro (eur);;euro
ivory coast;xof;;franc;;;;;;;xof;;;franc
jamaica;dollar;;dollar;jamaica;;;jamaican dollar;jamaican dollar;jamaican dollar;jmd;;;dollar
japan;yen;;yen;japan;;;yen;japanese yen;yen;jpy;;;yen
jordan;dinar;;dinar;jordan;;;jordanian dinar;jordanian dinar;jordanian dinar;jod;;;dinar
kazakhstan;tenge;;;;;;tenge;kazakhstani tenge;tenge;;;;tenge
kenya;shilling;;shilling;kenya;;;kenyan shilling;kenyan shilling;kenyan shilling;kes;;;shilling
kiribati;australian dollar;;;;;;australian dollar;;australian dollar;;;;australian dollar
kosovo;eur;;;;;;;;;;;;
kuwait;dinar;;dinar;kuwait;;;kuwaiti dinar;kuwaiti dinar;kuwaiti dinar;;;;dinar
kyrgyzstan;som;;;;;;som;kyrgyzstani som;som;;;;som
laos;lak;;;;;;;;;;;;
latvia;lvl;;;latvia;;;;latvia lat;latvian lats;lvl;;latvian lats;latvia
lebanon;lebanese pound;;pound;;;;;lebanese pound;lebanese pound;lbp;;lebanese pound;pound
lesotho;lsl;;;;;;;lesotho loti;rand;;;rand;lesotho loti
liberia;liberian dollar;;;;;;;;liberian dollar;;;liberian dollar;liberian dollar
libya;libyan dinar;;;;;;;;;;;;
liechtenstein;chf;;;;;;;;swiss franc;chf;;swiss franc;swiss franc
lithuania;ltl;;;lithuania;;;;lithuania lita;lithuanian litas;ltl;;lithuanian litas;lithuania
luxembourg;eur;;euro;luxembourg;;;;luxembourg franc;luxembourg franc;eur;;euro;euro
macedonia;denar;;;;;;;macedonian denar;;;macedonian denar (mkd);;macedonian denar
madagascar;franc;;;;;;;malagasy ariary;malagasy franc;;;malagasy franc;malagasy ariary
malawi;kwacha;;kwacha;;;;;malawian kwacha;kwacha;;;kwacha;kwacha
malaysia;ringgit;;ringgit;malaysia;;;;malaysian ringgit;malaysian ringgit;myr;;malaysian ringgit;ringgit
maldives;rufiyaa;;rufiyaa;;;;;maldivian rufiyaa;rufiyaa;;;rufiyaa;rufiyaa
mali;cfa franc bceao;;;;;;;;cfa franc bceao;;;cfa franc bceao;cfa franc bceao
malta;eur;;euro;malta;;;;maltese lira;maltese lira;eur;;maltese lira;euro
marshall islands;usd;;;;;;;;us dollar;;;us dollar;us dollar
mauritania;ouguiya;;ouguiya;;;;;mauritanian ouguiya;ouguiya;;;ouguiya;ouguiya
mauritius;rupee;;rupee;mauritius;;;;mauritian rupee;mauritius rupee;;;mauritius rupee;rupee
mexico;mxn;;peso;mexico;;;;mexican peso;mexican peso;mxn;;mexican peso;peso
moldova;leu;;;;;;;moldovan leu;;;;;moldovan leu
monaco;euro;;;;;;;;french franc;;euro (eur);euro;french franc
mongolia;tugrik;;tugrik;;;;;mongolian tugrik;tugrik;;;tugrik;tugrik
montenegro;euro;;euro;;;;;;;;euro (eur);;euro
morocco;dirham;;dirham;morocco;;;;moroccan dirham;moroccan dirham;mad;;moroccan dirham;dirham
mozambique;metical;;;;;;;mozambique metical;metical;;;metical;mozambique metical
namibia;nad;;;;;;;namibian dollar;rand;nad;;rand;namibian dollar
nauru;australian dollar;;;;;;;;australian dollar;;;australian dollar;australian dollar
nepal;nepalese rupee;;rupee;;;;;nepalese rupee;nepalese rupee;;;nepalese rupee;rupee
netherlands;euro;;euro;netherlands;;;;netherlands guilder;netherlands guilder;eur;euro (eur);euro;euro
new zealand;nzd;;dollar;new zealand;;;;new zealand dollar;new zealand dollar;;;new zealand dollar;dollar
nicaragua;cordoba oro;;cordoba;;;;;nicaragua gold cordoba;cordoba oro;;;cordoba oro;cordoba
niger;cfa franc bceao;;franc;;;;;;cfa franc bceao;;;cfa franc bceao;franc
nigeria;naira;;;;;;;nigerian naira;naira;ngn;;naira;nigerian naira
niue;new zealand dollar;;;;;;;;new zealand dollar;;;new zealand dollar;new zealand dollar
norway;nok;;krone;norway;;;;norwegian krone;norwegian krone;nok;euro (eur);norwegian krone;krone
pakistan;rupee;;rupee;pakistan;;;;pakistani rupee;pakistan rupee;;;;rupee
palau;usd;;;;;;;;us dollar;;;;us dollar
palestine;500 nis 100 us $;;;;;;;;;nis;;;nis
panama;pab;;;;;;;panamanian balboa;balboa;pab;;;panamanian balboa
papua new guinea;kina;;kina;;;;;papua new guinean kina;kina;;;;kina
paraguay;guarani;;guarani;paraguay;;;;paraguayan guarani;guarani;;;;guarani
peru;pen;;inti;peru;;;;peruvian nuevo sol;nuevo sol;pen;;;inti
philippines;peso;;peso;philippines;;;;philippine peso;philippine peso;php;;;peso
poland;pln;;zloty;poland;;;;polish zloty;zloty;plz;polish zloty (pln);;zloty
portugal;eur;;euro;portugal;;;;portuguese escudo;portuguese escudo;eur;;;euro
qatar;rial;;riyal;qatar;;;;qatari rial;qatari rial;;;;riyal
romania;leu;;leu;;;;;new romanian leu;leu;ron;;;leu
russia;25 63;;;;;;;;;rub;ruble (rub);;rub
rwanda;rwandan franc;;;;;;;rwandan franc;rwanda franc;;;;rwandan franc
saint kitts nevis;east caribbean dollar;;;;;;;;;;;;
