country;population;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol15;newCol16;newCol17;newCol18;newCol
abkhazia;240705;;;;;;;;;;;;;;;;;;;;
afghanistan;26023100;2,9117E7;;3,1056997E7;;;3,2738376E7;2,9863E7;;;;2,9928987E7;;3,0605401E7;;;2,9863E7;;;2,8395716E7;2,9117E7
albania;2895947;3195000,0;3330754,0;3581655,0;;;3619778,0;3130000,0;;2994667,0;;3563112,0;;3169087,0;3600523,0;;3130000,0;;;3639453,0;3195000,0
algeria;38700000;3,5423E7;3,0480793E7;3,2930091E7;;;3,3769668E7;3,2854E7;;3,4994937E7;;3,2531853E7;;3,5422589E7;3,3333216E7;3,2277942E7;3,2854E7;;;3,4178188E7;3,5423E7
andorra;76098;;;71201,0;;;82627,0;67000,0;;;;70549,0;;;;;67000,0;;;;71201,0
angola;17322796;1,8993E7;;;;;1,2531357E7;1,5941E7;;1,3338541E7;;1,1827315E7;;1,8992707E7;1,2263596E7;1,0593171E7;1,5941E7;;2,0589E7;1,2799293E7;1,8993E7
antigua barbuda;86295;;;69108,0;;;;;;;;;;;;;;;;;69108,0
argentina;42669500;4,0518951E7;3,6265463E7;3,9921833E7;;;4,0482E7;3,8747E7;;4,1769726E7;;3,9537943E7;;4,0665732E7;4,0301927E7;;3,8747E7;;3,8631E7;4,0913584E7;4,0518951E7
armenia;3009800;3238000,0;3421775,0;2976372,0;;;2968586,0;3016000,0;;;;2982904,0;;3090379,0;;;3016000,0;;;2967004,0;3238000,0
australia;23592200;2,2421417E7;1,8613087E7;;;;2,100731E7;2,01550002E8;;2,1766711E7;;2,0090437E7;;2,23272E7;2,0434176E7;;2,01550002E8;;1,8841E7;2,1262641E7;2,2421417E7
austria;8527230;8372930,0;8133611,0;8192880,0;;;8205533,0;8189000,0;;8217280,0;;8184691,0;;8381780,0;8233300,0;;8189000,0;;7982000,0;8210281,0;8372930,0
