film;director;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol
fight club;fincher;;david fincher;;;david fincher;;david fincher;;david fincher;fincher;;;david fincher;;;david fincher
american beauty;sam mendes;;sam mendes;;;sam mendes;;;;sam mendes;mendes;;sam mendes;sam mendes;;;sam mendes
goodfellas;martin scorsese;;martin scorsese;martin scorsese;;martin scorsese;;;;martin scorsese;;;;martin scorsese;;;martin scorsese
the graduate;nichols, mike;;mike nichols;mike nichols;mike nichols;;;;;mike nichols;;;;mike nichols;;;mike nichols
saving private ryan;steven spielberg;;steven spielberg;;;;steven spielberg;;;steven spielberg;;;;steven spielberg;;;steven spielberg
forrest gump;robert zemeckis;;robert zemeckis;;robert zemeckis;robert zemeckis;;robert zemeckis;;robert zemeckis;;;;robert zemeckis;;;robert zemeckis
annie hall;woody allen;;woody allen;;woody allen;;;;;woody allen;;;woody allen;woody allen;;;woody allen
blade runner;scott;;ridley scott;;;;;;;ridley scott;;;ridley scott;ridley scott;;;ridley scott
monty python and the holy grail;terry gilliam, terry jones;;terry gilliam and terry jones;;terry gilliam and terry jones;terry gilliam;;;terry gilliam and terry jones;;;;;;;terry gilliam and terry jones;terry gilliam and terry jones
the princess bride;rob reiner;;rob reiner;;rob reiner;;;;rob reiner;rob reiner;;;;;;rob reiner;rob reiner
taxi driver;scorsese;;martin scorsese;;;;martin scorsese;;;martin scorsese;scorsese;;;martin scorsese;;;martin scorsese
the matrix;wachowski, a and l;;andy and larry wachowski;;;brothers wachowski;;;andy and larry wachowski;andy wachowski;;;;;;andy and larry wachowski;andy and larry wachowski
groundhog day;harold ramis;harold ramis;;harold ramis;harold ramis;harold ramis;;;;harold ramis;;;;harold ramis;;;harold ramis
12 angry men;sidney lumet;;sidney lumet;;;sidney lumet;;;;sidney lumet;;sidney lumet;sidney lumet;sidney lumet;;;sidney lumet
memento;christopher nolan;;christopher nolan;;;christopher nolan;;;christopher nolan;christopher nolan;;;;christopher nolan;;;christopher nolan
casablanca;michael curtiz;;michael curtiz;;;michael curtiz;;michael curtiz;;michael curtiz;;;;michael curtiz;;;michael curtiz
the godfather;francis ford coppola;;francis ford coppola;francis ford coppola;;francis ford coppola;;;;francis ford coppola;;;;francis ford coppola;;;francis ford coppola
the shining;stanley kubrick;;stanley kubrick;;;;stanley kubrick;;;stanley kubrick;;;;stanley kubrick;;;stanley kubrick
heat;michael mann;;michael mann;michael mann;;;;;;michael mann;mann;;;michael mann;;;michael mann
pulp fiction;quentin tarantino;;quentin tarantino;;;;;;quentin tarantino;quentin tarantino;;;;quentin tarantino;;;quentin tarantino
schindler's list;steven spielberg;;;;;;;;;;;;;;;;
black hawk down;scott;;;;;ridley scott;;;;;scott;;ridley scott;;;;ridley scott
north by northwest;alfred hitchcock;;alfred hitchcock;;;;;;alfred hitchcock;;;;;alfred hitchcock;;alfred hitchcock;alfred hitchcock
casino royale;martin campbell;;;;;martin campbell;;;;martin campbell;;;;;;;martin campbell
spartacus;stanley kubrick;stanley kubrick;;;;;stanley kubrick;;;;;;;;;stanley kubrick;stanley kubrick
full metal jacket;stanley kubrick;;stanley kubrick;;;stanley kubrick;;stanley kubrick;;stanley kubrick;;;;;;;stanley kubrick
midnight cowboy;schlesinger;;john schlesinger;;;;;;john schlesinger;john schlesinger;;;;john schlesinger;;;john schlesinger
blazing saddles;mel brooks;;;;mel brooks;mel brooks;;;;;;;mel brooks;;mel brooks;;mel brooks
citizen kane;orson welles;;orson welles;;;orson welles;;orson welles;;;;;;orson welles;;;orson welles
amadeus;milos forman;;milos forman;;;milos forman;;;;;forman;;milos forman;milos forman;;;milos forman
children of men;cuaron, alfonso;;;;;alfonso cuar?n;;;;;;;;;;alfonso cuar?n;alfonso cuar?n
toy story;john lasseter;;john lasseter;;john lasseter;;john lasseter;;;john lasseter;;;;;;john lasseter;john lasseter
gladiator;ridley scott;;ridley scott;ridley scott;;;;;;ridley scott;;;;ridley scott;;ridley scott;ridley scott
this is spinal tap;rob reiner;rob reiner;;;rob reiner;;rob reiner;;;;;;;;;;rob reiner
his girl friday;howard hawks;;;howard hawks;howard hawks;;;;;;hawks;;;howard hawks;howard hawks;;howard hawks
office space;mike judge;;;;;;;;mike judge;;;;;;mike judge;;mike judge
king kong;peter jackson;merian c. cooper and ernest b. schoedsack;;merian c. cooper and ernest b. schoedsack;;;;;;;;;;;;merian c. cooper and ernest b. schoedsack;merian c. cooper and ernest b. schoedsack
the producers;susan stroman;;;;mel brooks;;;;mel brooks;;;;;;mel brooks;;mel brooks
super troopers;jay chandrasekhar;;;;;;;;;;chandrasekhar;;;;;;chandrasekhar
donnie darko;richard kelly;richard kelly;;;;richard kelly;;richard kelly;;;;;;;;;richard kelly
back to the future;robert zemeckis;;robert zemeckis;;;;;;;robert zemeckis;;;robert zemeckis;;;robert zemeckis;robert zemeckis
the lord of the rings: the two towers;peter jackson;;peter jackson;peter jackson;;;;;;peter jackson;;;;peter jackson;;peter jackson;peter jackson
the manchurian candidate;jonathan demme;;john frankenheimer;;;;;;john frankenheimer;;;;;john frankenheimer;;;john frankenheimer
the lord of the rings: the return of the king;peter jackson;;peter jackson;peter jackson;;;;;;peter jackson;;;;peter jackson;;peter jackson;peter jackson
the lord of the rings: the fellowship of the ring;peter jackson;;peter jackson;peter jackson;;;;;;peter jackson;jackson;;;peter jackson;;peter jackson;peter jackson
rushmore;wes anderson;;;;wes anderson;;;;wes anderson;;anderson;;;;wes anderson;;wes anderson
apollo 13;ron howard;;;;;ron howard;;;;;;;ron howard;;ron howard;ron howard;ron howard
reservoir dogs;quentin tarantino;;quentin tarantino;;;;;;quentin tarantino;quentin tarantino;;;;;;;quentin tarantino
dr. strangelove or: how i learned to stop worrying and love the bomb;stanley kubrick;;stanley kubrick;;stanley kubrick;;;stanley kubrick;;;;;;stanley kubrick;;;stanley kubrick
fargo;joel coen, ethan coen;;joel coen;;;joel coen;;joel coen;;;;;;joel coen;;;joel coen
m*a*s*h;robert altman;;;;robert altman;;;;robert altman;;altman;;;robert altman;robert altman;;robert altman
a clockwork orange;stanley kubrick;;stanley kubrick;;;stanley kubrick;;stanley kubrick;;stanley kubrick;;;;stanley kubrick;;;stanley kubrick
