game;developer;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol
super mario 64;nintendo ead;nintendo ead;nintendo;;nintendo;;nintendo;nintendo ead;nintendo ead
metroid prime;retro studios, nintendo;retro studios, nintendo;nintendo;;;retro studios;nintendo;retro studios, nintendo;retro studios, nintendo
the legend of zelda: twilight princess;nintendo ead software development group no. 3;nintendo ead software development group no. 3;nintendo;;;nintendo ead;nintendo;nintendo;nintendo ead software development group no. 3
goldeneye 007;rare, nintendo;rare, nintendo;nintendo;rare;;;rare;rare, nintendo;rare, nintendo
resident evil 4;capcom;capcom;capcom;;;;capcom;capcom;capcom
perfect dark;rare, nintendo;;nintendo;;;;;rare, nintendo;nintendo
mario kart 64;nintendo;;nintendo;;nintendo;;;;nintendo
mario party 2;nintendo;;nintendo;;hudson soft;;;;nintendo
super mario galaxy;nintendo ead tokyo development group;nintendo ead tokyo development group;nintendo;;;;;nintendo;nintendo ead tokyo development group
donkey kong country;rare;;nintendo;;;;rare;;nintendo
tony hawk's pro skater 3;edge of reality;;activision;;;;;;activision
the legend of zelda: ocarina of time;nintendo ead;nintendo ead;nintendo;;nintendo;;nintendo;nintendo ead;nintendo ead
yoshi's story;nintendo;;;;;;;;
halo 2;microsoft;;microsoft;;;bungie;bungie;;microsoft
grand theft auto iv;rockstar north ltd.;rockstar north ltd.;;;;;rockstar north;rockstar north;rockstar north ltd.
guitar hero iii: legends of rock;activision;;activision;;;;;;activision
tony hawk's pro skater 2;edge of reality;;activision;;;;activision;;activision
wave race 64;nintendo;;nintendo;;nintendo;;;;nintendo
final fantasy vii;square enix;;;;;;;;
grand theft auto iii;dma design;;;;;dma design;;dma design;dma design
sonic mega collection;sega;;;;;;;;
soulcalibur;namco;namco;;;;;;namco;namco
spider-man;edge of reality;;activision;;;;;;activision
finding nemo;thq;;;;;;;;
f-zero x;nintendo;;;nintendo;nintendo;;;;nintendo
star fox 64;nintendo;;nintendo;;nintendo;;;;nintendo
star wars: battlefront;lucasarts;;;;;;;;
star wars: battlefront ii;lucasarts;;lucasarts;;;;;;lucasarts
star wars: knights of the old republic;lucasarts;;lucasarts;;;bioware;;;lucasarts
grand theft auto: san andreas;take 2;;;;;;;;
espn nfl 2k5;sega;;sega;;;;;;sega
donkey kong 64;rare;;nintendo;rare;;;;;nintendo
diddy kong racing;rare;;nintendo;rare;;;;;nintendo
cruis'n usa;midway games;;nintendo;;;;;;nintendo
crazy taxi;sega;;;;;;;;
tom clancy's ghost recon;ubisoft;;;;;;;;
tony hawk's pro skater;activision;;activision;;;;;;activision
grand theft auto: liberty city stories;take 2;;;;;;;;
mortal kombat trilogy;midway;;midway;;;;;;midway
guitar hero ii;activision;;activision;;;;;;activision
half-life 2;valve corporation;valve corporation;;;;;;valve;valve corporation
nba jam;acclaim;;acclaim;;;;;;acclaim
nfl blitz;midway;;midway;;;;;;midway
mortal kombat 3;acclaim;;acclaim;;;;;;acclaim
mortal kombat 2;acclaim;;acclaim;;;;;;acclaim
monopoly;mind's eye;;atari;;;;;;atari
namco museum;namco;;namco;;;;;;namco
namco museum 64;namco;;namco;;;;;;namco
need for speed: most wanted;electronic arts;;electronic arts;;;;;;electronic arts
need for speed: underground;electronic arts;;;;;;;;
metal gear solid;tose;tose;konami;;;;;;tose
need for speed: underground 2;electronic arts;;electronic arts;;;;;;electronic arts
mario party;nintendo;;nintendo;;;;;;nintendo
ogre battle 64: person of lordly caliber;quest, dual corporation;;;;quest, dual corporation;;;;quest, dual corporation
mario golf;camelot software;;;;camelot software;;;;camelot software
madden nfl 99;electronic arts;;electronic arts;;;;;;electronic arts
madden nfl 2006;electronic arts;;electronic arts;;;;;;electronic arts
madden nfl 2005;electronic arts;;electronic arts;;;;;;electronic arts
madden nfl 2002;electronic arts;;electronic arts;;;;;;electronic arts
madden nfl 2001;electronic arts;;electronic arts;;;;;;electronic arts
madden nfl 2000;electronic arts;;electronic arts;;;;;;electronic arts
madden nfl 08;electronic arts;;electronic arts;;;;;;electronic arts
madden nfl 07;electronic arts;;electronic arts;;;;;;electronic arts
pok?mon puzzle league;nintendo software technology, intelligent systems;;;;nintendo software technology, intelligent systems;;;;nintendo software technology, intelligent systems
red dead redemption;rockstar san diego;;;;;rockstar games;rockstar san diego;;rockstar games
call of duty 4: modern warfare;infinity ward;;activision;;;infinity ward;;;activision
halo: combat evolved;microsoft;bungie studios;microsoft;;;;bungie;;bungie studios
nba live 2000;nufx;;electronic arts;;;;;;electronic arts
uncharted 2: among thieves;naughty dog software;naughty dog software;;;;;naughty dog;naughty dog;naughty dog software
1080? snowboarding;nintendo;;nintendo;nintendo;nintendo;;;;nintendo
twisted metal;sony;;;;;;singletrac;;singletrac
wcw nitro;thq;;;;;;;;
turok: dinosaur hunter ?turok: jiku senshijp;iguana entertainment;;;;;;;;
power league 64;hudson soft;;;;;;;;
pokemon snap;nintendo;;nintendo;;;;;;nintendo
pokemon stadium;nintendo;;nintendo;;;;;;nintendo
pokemon stadium 2;nintendo;;nintendo;;;;;;nintendo
pokemon trading card game;nintendo;;nintendo;;;;;;nintendo
pokemon yellow;nintendo;;nintendo;;;;;;nintendo
polaris snocross;vicarious visions;;;;;;;;
powerpthe powerpuff girls: chemical x-traction;vis interactive;;;;;;;;
power rangers lightspeed rescue;mass media;;;;;;;;
pokemon sapphire;nintendo;;nintendo;;;;;;nintendo
premier manager 64;gremlin interactive;;;;;;;;
prince of persia: sands of time;ubisoft montreal;;;;;;ubisoft montreal;;ubisoft montreal
pro mahjong kiwame 64;athena;;;;;;;;
pro shinan mahjong tsuwamono 64: jans? battle ni ch?sen;culture brain;;;;;;;;
project gotham racing;microsoft;;microsoft;;;;;;microsoft
puyo puyo sun 64;compile;;;;;;;;
pokemon silver;nintendo;;nintendo;;;;;;nintendo
pokemon red;nintendo;;nintendo;;;;;;nintendo
pokemon ruby;nintendo;;nintendo;;;;;;nintendo
quake 64;midway;;;;;;;;
penny racers ?choro q 64jp;takara;;;;;;;;
wwf attitude;iguana entertainment;;;;;;;;
phantasy star ii;sega;sega;;;;;;;sega
pilotwings 64;paradigm entertainment;;;;;;;;
wwe: here comes the pain;thq;;;;;;;;
pok?mon snap;hal laboratory, pax softnica;;;;hal laboratory, pax softnica;;;;hal laboratory, pax softnica
pok?mon snap ?pocket monsters snapjp;hal laboratory;;;;;;;;
