game	developer
super mario 64	nintendo ead
metroid prime	retro studios, nintendo
the legend of zelda: twilight princess	nintendo ead software development group no. 3
goldeneye 007	rare, nintendo
resident evil 4	capcom
perfect dark	rare, nintendo
mario kart 64	nintendo
mario party 2	nintendo
super mario galaxy	nintendo ead tokyo development group
donkey kong country	rare
tony hawk's pro skater 3	edge of reality
the legend of zelda: ocarina of time	nintendo ead
yoshi's story	nintendo
halo 2	microsoft
grand theft auto iv	rockstar north ltd.
guitar hero iii: legends of rock	activision
tony hawk's pro skater 2	edge of reality
wave race 64	nintendo
final fantasy vii	square enix
grand theft auto iii	dma design
sonic mega collection	sega
soulcalibur	namco
spider-man	edge of reality
finding nemo	thq
f-zero x	nintendo
star fox 64	nintendo
star wars: battlefront	lucasarts
star wars: battlefront ii	lucasarts
star wars: knights of the old republic	lucasarts
grand theft auto: san andreas	take 2
espn nfl 2k5	sega
donkey kong 64	rare
diddy kong racing	rare
cruis'n usa	midway games
crazy taxi	sega
tom clancy's ghost recon	ubisoft
tony hawk's pro skater	activision
grand theft auto: liberty city stories	take 2
mortal kombat trilogy	midway
guitar hero ii	activision
half-life 2	valve corporation
nba jam	acclaim
nfl blitz	midway
mortal kombat 3	acclaim
mortal kombat 2	acclaim
monopoly	mind's eye
namco museum	namco
namco museum 64	namco
need for speed: most wanted	electronic arts
need for speed: underground	electronic arts
metal gear solid	tose
need for speed: underground 2	electronic arts
mario party	nintendo
ogre battle 64: person of lordly caliber	quest, dual corporation
mario golf	camelot software
madden nfl 99	electronic arts
madden nfl 2006	electronic arts
madden nfl 2005	electronic arts
madden nfl 2002	electronic arts
madden nfl 2001	electronic arts
madden nfl 2000	electronic arts
madden nfl 08	electronic arts
madden nfl 07	electronic arts
pok?mon puzzle league	nintendo software technology, intelligent systems
red dead redemption	rockstar san diego
call of duty 4: modern warfare	infinity ward
halo: combat evolved	microsoft
nba live 2000	nufx
uncharted 2: among thieves	naughty dog software
1080? snowboarding	nintendo
twisted metal	sony
wcw nitro	thq
turok: dinosaur hunter ?turok: jiku senshijp	iguana entertainment
power league 64	hudson soft
pokemon snap	nintendo
pokemon stadium	nintendo
pokemon stadium 2	nintendo
pokemon trading card game	nintendo
pokemon yellow	nintendo
polaris snocross	vicarious visions
powerpthe powerpuff girls: chemical x-traction	vis interactive
power rangers lightspeed rescue	mass media
pokemon sapphire	nintendo
premier manager 64	gremlin interactive
prince of persia: sands of time	ubisoft montreal
pro mahjong kiwame 64	athena
pro shinan mahjong tsuwamono 64: jans? battle ni ch?sen	culture brain
project gotham racing	microsoft
puyo puyo sun 64	compile
pokemon silver	nintendo
pokemon red	nintendo
pokemon ruby	nintendo
quake 64	midway
penny racers ?choro q 64jp	takara
wwf attitude	iguana entertainment
phantasy star ii	sega
pilotwings 64	paradigm entertainment
wwe: here comes the pain	thq
pok?mon snap	hal laboratory, pax softnica
pok?mon snap ?pocket monsters snapjp	hal laboratory
