game;genre;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol
metroid prime;first-person adventure;;(first-person) action-adventure;;;first-person adventure;action-adventure;action-adventure: (first-person) shooter;(first-person) action-adventure
super mario 64;platformer: open world;;platformer: open world;;platform;;action-platformer;platformer: open world;platformer: open world
uncharted 2: among thieves;action-adventure/ third-person shooter;action;action-adventure: (third-person) shooter;;;;action-adventure, third-person shooter;action-adventure: (third-person) shooter;action
resident evil 4;survival horror: (third-person) shooter;;survival horror: (third-person) shooter;;;;survival horror: (third-person) shooter;survival horror: (third-person) shooter;survival horror: (third-person) shooter
mario kart ds;racing;;;;racing;;;;racing
mario kart 64;racing/battle;;;;racing;;;;racing
tony hawk's pro skater 2;sports/skateboarding;;;;;;sports;;sports
red dead redemption;open world: (third-person) shooter;;;;;action adventure;open world: (third-person) shooter;;action adventure
super mario galaxy;platformer;;platformer;;platform;;;platformer;platformer
brain age 2: more training in minutes a day;puzzle;;;;misc;;;;misc
call of duty 4: modern warfare;shooter;;;;;;;;
goldeneye 007;action/adventure/3d shooter;;(first-person) shooter;action/adventure/3d shooter;;;shooter;(first-person) shooter;(first-person) shooter
halo 2;shooter;;;;;first-person shooter;shooter;;first-person shooter
diddy kong racing;racing/adventure/battle;;;racing/adventure/battle;;;;;racing/adventure/battle
perfect dark;action/adventure/3d shooter;;;;;;;(first-person) shooter;(first-person) shooter
grand theft auto iii;action-adventure: open world;;;;action;action;;action-adventure: open world;action
animal crossing: wild world;simulation;;;;simulation;;;;simulation
grand theft auto iv;open world: (third-person) shooter;action;open world: (third-person) shooter;;;;open world, action;open world: (third-person) shooter;action
the legend of zelda: ocarina of time;action-adventure;;action-adventure: open world;;;;action-adventure;action-adventure: open world;action-adventure: open world
the legend of zelda: twilight princess;action-adventure;;action-adventure;;;action-adventure;action-adventure;action-adventure;action-adventure
call of duty: modern warfare 2;shooter;shooter;;;shooter;first-person shooter;;;shooter
peter jackson's king kong;action;;;;;;;;
project gotham racing 3;racing;;;;;;;;
pokemon trozei;puzzle;;;;;;;;
polaris snocross;simulation/snowmobile racing;;;;;;;;
pet alien;action;;;;;;;;
polarium;puzzle;;;;;;;;
phoenix wright: ace attorney trials and tribulations;simulation;;;;;;;;
pony friends;other;;;;;;;;
power league 64;sports/baseball;;;;;;;;
