city;populationmetro;newCol
hyderabad;6290000;1500000.0
valencia;1750000;1750000.0
hengyang;799000;799000.0
birmingham;2284000;2284000.0
changsha;6140000;6140000.0
shenyang;7760000;7760000.0
chongqing;9700000;9700000.0
ningbo;5600000;5600000.0
st petersburg;4900000;4900000.0
karachi;18000000;1.8E7
shijiazhuang;9600000;9600000.0
shenzhen;8616000;8616000.0
kano;3900000;3900000.0
kanpur;4865000;4865000.0
surabaya;3700000;3700000.0
shanghai;19200000;1.92E7
dar es salaam;2700000;2700000.0
delhi;16713000;1.6713E7
dhaka;12797000;1.2797E7
dalian;3478000;3478000.0
kinshasa;10100000;1.01E7
chittagong;3858000;3858000.0
chennai;7330000;7330000.0
chicago;8770000;8770000.0
casablanca;3850000;3850000.0
caracas;3478000;3478000.0
kowloon;2200000;2200000.0
kolkata;15420000;1.542E7
cali;2801000;2801000.0
tokyo;31036000;3.1036E7
cape town;7280000;7280000.0
new york city;20090000;2.009E7
tehran;13450000;1.345E7
sao paulo;19890000;1.989E7
changchun;7460000;7460000.0
tashkent;3400000;3400000.0
taipei;6753000;6753000.0
changzhou;3570000;3570000.0
suzhou;6298000;6298000.0
surat;6347000;6347000.0
chengdu;11000000;1.1E7
sapporo;2130000;2130000.0
kiev;3300000;3300000.0
busan;4292000;4292000.0
riyadh;5855000;5855000.0
pyongyang;3400000;3400000.0
incheon;2630000;2630000.0
rio de janeiro;14387000;1.4387E7
giza;2600000;2600000.0
ibadan;3000000;3000000.0
houston;5728000;5728000.0
rome;3555000;3555000.0
guangzhou;10182000;1.0182E7
fuzhou (fujian);6630000;6630000.0
guayaquil;2686000;2686000.0
qingdao;7580000;7580000.0
pune;4470000;4470000.0
havana;3700000;3700000.0
puebla;2500000;2500000.0
harbin;9874000;9874000.0
port harcourt;3761000;3761000.0
indore;1920000;1920000.0
istanbul;12600000;1.26E7
khartoum;7500000;7500000.0
jeddah;4500000;4500000.0
dongguan;7650000;7650000.0
kabul;4000000;4000000.0
johannesburg;10268000;1.0268E7
osaka;17590000;1.759E7
jinan;2444000;2444000.0
jilin;4523000;4523000.0
salvador da bahia;3173000;3173000.0
paris;11769000;1.1769E7
izmir;3796000;3200000.0
jaipur;5690000;5690000.0
faisalabad;5081000;5081000.0
seoul;24472000;2.4472E7
santo domingo;3813000;3813000.0
fortaleza;3415000;3415000.0
santiago;6677000;6677000.0
jakarta;24100000;2.41E7
cairo;15546000;1.5546E7
hangzhou;6776000;6776000.0
berlin;3943000;3943000.0
mumbai (bombay);21200000;2.12E7
bangalore;6562000;6562000.0
bandung;3829000;3829000.0
abidjan;4000000;4000000.0
baghdad;6500000;6500000.0
buenos aires;12924000;1.2924E7
medan;2390000;2390000.0
bucharest;2151000;2151000.0
los angeles;12890000;1.289E7
medellin;3312000;3312000.0
monterrey;3650000;3650000.0
yangon;5500000;5.5
moscow;14800000;1.48E7
brasilia;2090000;2090000.0
bogota;8361000;8361000.0
ahmadabad;6168000;6168000.0
lucknow;2686000;2686000.0
xian;4480000;4480000.0
aleppo;3000000;3000000.0
beijing;17550000;1.755E7
alexandria;4350000;4350000.0
bangkok;11970000;1.197E7
baku;2072000;2072000.0
mexico city;21163000;2.1163E7
wuhan;6200000;6200000.0
manila metro;13503000;1.3503E7
linyi;10080000;1.008E7
madrid;5300000;5300000.0
ankara;4000000;4000000.0
lanzhou;3300000;3300000.0
lima;8473000;8473000.0
zhengzhou;4510000;4510000.0
london;12200000;1.22E7
luanda;5500000;5500000.0
amman;2524000;2524000.0
nanjing;7600000;7600000.0
nairobi;3300000;3300000.0
tianjin;11750000;1.175E7
mashhad;3000000;3000000.0
