city	populationmetro
hyderabad	6290000
valencia	1750000
hengyang	799000
birmingham	2284000
changsha	6140000
shenyang	7760000
chongqing	9700000
ningbo	5600000
st petersburg	4900000
karachi	18000000
shijiazhuang	9600000
shenzhen	8616000
kano	3900000
kanpur	4865000
surabaya	3700000
shanghai	19200000
dar es salaam	2700000
delhi	16713000
dhaka	12797000
dalian	3478000
kinshasa	10100000
chittagong	3858000
chennai	7330000
chicago	8770000
casablanca	3850000
caracas	3478000
kowloon	2200000
kolkata	15420000
cali	2801000
tokyo	31036000
cape town	7280000
new york city	20090000
tehran	13450000
sao paulo	19890000
changchun	7460000
tashkent	3400000
taipei	6753000
changzhou	3570000
suzhou	6298000
surat	6347000
chengdu	11000000
sapporo	2130000
kiev	3300000
busan	4292000
riyadh	5855000
pyongyang	3400000
incheon	2630000
rio de janeiro	14387000
giza	2600000
ibadan	3000000
houston	5728000
rome	3555000
guangzhou	10182000
fuzhou (fujian)	6630000
guayaquil	2686000
qingdao	7580000
pune	4470000
havana	3700000
puebla	2500000
harbin	9874000
port harcourt	3761000
indore	1920000
istanbul	12600000
khartoum	7500000
jeddah	4500000
dongguan	7650000
kabul	4000000
johannesburg	10268000
osaka	17590000
jinan	2444000
jilin	4523000
salvador da bahia	3173000
paris	11769000
izmir	3796000
jaipur	5690000
faisalabad	5081000
seoul	24472000
santo domingo	3813000
fortaleza	3415000
santiago	6677000
jakarta	24100000
cairo	15546000
hangzhou	6776000
berlin	3943000
mumbai (bombay)	21200000
bangalore	6562000
bandung	3829000
abidjan	4000000
baghdad	6500000
buenos aires	12924000
medan	2390000
bucharest	2151000
los angeles	12890000
medellin	3312000
monterrey	3650000
yangon	5500000
moscow	14800000
brasilia	2090000
bogota	8361000
ahmadabad	6168000
lucknow	2686000
xian	4480000
aleppo	3000000
beijing	17550000
alexandria	4350000
bangkok	11970000
baku	2072000
mexico city	21163000
wuhan	6200000
manila metro	13503000
linyi	10080000
madrid	5300000
ankara	4000000
lanzhou	3300000
lima	8473000
zhengzhou	4510000
london	12200000
luanda	5500000
amman	2524000
nanjing	7600000
nairobi	3300000
tianjin	11750000
mashhad	3000000
nanchong	7300000
lagos	9123000
tangshan	7100000
lahore	8600000
nanning	6480000
zibo	4200000
toronto	5100000
belo horizonte	5397000
kunming	6800000
addis ababa	4568000
nagoya	9250000
taiyuan	3400000
memphis	1281000
port-au-prince	1728000
mendoza	849000
phoenix	4282000
pingdingshan	5200000
merida	890000
phnom penh	2001000
peshawar	3100000
medina	1300000
prague	1900000
melbourne	33635000
philadelphia	5345000
padang	900000
palermo	947000
masqat-matrah	776000
mecca	2500000
mexicali	1000000
mataram	1081000
panzhihua	771000
matamoros	780000
patna	2500000
perm	1200000
mbuji-mayi	1054000
natal	1100000
panama city	1220000
mudanjiang	2707000
multan	1500000
nuremberg	1008000
novosibirsk	1429000
nova iguacu	959000
norfolk	1616000
nizhniy novgorod	1900000
munich	2600000
nice	943000
nanchang	3790000
nezahualcoyotl	1150000
pittsburgh	2411000
newcastle upon tyne	800000
nantes	804000
nanyang	10700000
new orleans	1350000
naucalpan	835000
naples	3000000
oslo	876000
ottawa	1131000
miami	5413000
mosul	1139000
mianyang	5200000
oshogbo	1309000
milan	4051000
orlando	2055000
oran	772000
milwaukee	1740000
minneapolis	3503000
onitsha	1001000
omsk	1145000
nashville	1633000
oklahoma city	1276000
mirat	1095000
okayama	1250000
ogbomosho	985000
odessa	1200000
ouagadougou	1727000
montreal	3636000
abuja	900000
