company;headquarter;newCol
apple computer;united states;
bank america;united states;
basf;germany;germany
berkshire hathaway;usa;united states
best buy;160 united states;
bmw;germany;
bp;uk;united kingdom
canon;japan;
caterpillar;us;
cisco systems;united states;united states
citigroup;usa;united states
coca cola;us;
dell;united kingdom;
dupont;fr;
exxon mobil;united states;
fedex;us;
general electric;united states;united states
home depot;ra sushi;
honda motor;japan;japan
hsbc holdings;united kingdom;united kingdom
ibm;united states;united states
intel;us;united states
john deere;united states;
johnson johnson;united states;
l al;france;
lowe;usa;
microsoft;united states;united states
nestl;vevey;
nokia;finland;finland
novartis;switzerland;switzerland
pepsi co;purchase new york united states;
pfizer;united states;united states
procter gamble;united states;
royal bank scotland;uk;
samsung electronics;south korea;south korea
siemens;germany;germany
singapore airlines;singapore;
sony;japan;japan
target;england;
tesco;uk;united kingdom
toyota industries;japan;
toyota motor;japan;japan
united parcel service;seattle washington united states;
verizon communications;united states;united states
wal mart stores;united states;
walgreen;united states;
walt disney;us;united states
