company	headquarter
apple computer	united states
bank america	united states
basf	germany
berkshire hathaway	usa
best buy	160 united states
bmw	germany
bp	uk
canon	japan
caterpillar	us
cisco systems	united states
citigroup	usa
coca cola	us
dell	united kingdom
dupont	fr
exxon mobil	united states
fedex	us
general electric	united states
home depot	ra sushi
honda motor	japan
hsbc holdings	united kingdom
ibm	united states
intel	us
john deere	united states
johnson johnson	united states
l al	france
lowe	usa
microsoft	united states
nestl	vevey
nokia	finland
novartis	switzerland
pepsi co	purchase new york united states
pfizer	united states
procter gamble	united states
royal bank scotland	uk
samsung electronics	south korea
siemens	germany
singapore airlines	singapore
sony	japan
target	england
tesco	uk
toyota industries	japan
toyota motor	japan
united parcel service	seattle washington united states
verizon communications	united states
wal mart stores	united states
walgreen	united states
walt disney	us
