company;industry;newCol
general electric;conglomerate;diversified industrials
toyota motor;automotive;consumer durables
procter gamble;consumer goods;
fedex;retail;1.4
johnson johnson;health care;
microsoft;software;software
dell;technology;-4.8
berkshire hathaway;conglomerate;diversified financials
wal mart stores;retailing;
ibm;software;computer services
target;retail;4.9
bmw;cars;4.5
pepsi co;beverage;
united parcel service;transportation logistics truck transportation;
intel;technology;semiconductors
home depot;retail;retail stores
nokia;technology;technology hardware & equip
costco wholesale;merchandise warehouse;wholesale general products
coca cola;beverages;
singapore airlines;airlines;airlines
bank america;banking;
citigroup;banking;banking
cisco systems;technology hardware equip;computer services
bp;oil gas;oil & gas operations
samsung electronics;semiconductors;semiconductors
exxon mobil;oil gas;petroleum refining
l al;personal care;
nestl;food processing;
pfizer;pharmaceuticals;pharmaceuticals
dupont;chemicals;commodity chemicals
caterpillar;construction amp agriculture machinery;commercial vehicles & trucks
walt disney;media;broadcasting & entertainment
anheuser busch;brewing malt beverages;
sony;technology;0.1
honda motor;consumer durables;consumer durables
hsbc holdings;banking;banking
canon;technology;technology
lowe;retail;
walgreen;retailing;retailing
verizon communications;telecommunications;telecommunication
tesco;retail;retail
siemens;technology;conglomerates
basf;chemicals;chemicals
royal bank scotland;banking;
dow chemical;manufacturing;chemicals
best buy;retailing;-5.4
novartis;drugs biotechnology;drugs & biotechnology
