country;area;newCol
abkhazia;8432.0;
afghanistan;647500.0;250001.05
albania;28748.0;11099.66
algeria;2381740.0;919594.58
andorra;468.0;468.0
angola;1246700.0;481353.36
antigua barbuda;442.0;
argentina;2766890.0;1068301.76
armenia;29800.0;11505.84
australia;7686850.0;2967908.16
austria;83858.0;32377.74
azerbaijan;86600.0;33436.43
bahamas;13940.0;10070.0
bahrain;665.0;665.0
bangladesh;147570.0;55598.69
barbados;431.0;431.0
belarus;207600.0;80154.78
belgium;30528.0;11779.97
belize;22966.0;22966.0
benin;112622.0;43482.81
bhutan;47000.0;47000.0
bolivia;1098581.0;424163.94
bosnia herzegovina;51129.0;
botswana;600370.0;231804.06
brazil;8511965.0;3286486.71
brunei;5765.0;5770.0
bulgaria;110910.0;42822.57
burkina faso;274200.0;105869.17
burma;676578.0;657740.0
burundi;27830.0;10745.22
cambodia;181035.0;69899.91
cameroon;475440.0;183568.33
canada;9984670.0;3851807.61
cape verde;4033.0;4033.0
central african republic;622984.0;240535.37
chad;1284000.0;495754.97
chile;756950.0;292259.91
china;9596960.0;3705405.45
colombia;1138910.0;439735.43
comoros;2235.0;2170.0
costa rica;51100.0;19729.81
croatia;56542.0;21830.98
cuba;110860.0;42803.27
cyprus;9251.0;9250.0
czech republic;78866.0;30450.32
democratic republic congo;2344858.0;
djibouti;23200.0;23000.0
dominica;754.0;754.0
dominican republic;48730.0;18814.75
east timor;15007.0;
ecuador;283560.0;109483.08
egypt;1001450.0;386661.85
el salvador;21040.0;8123.59
equatorial guinea;28051.0;28051.0
eritrea;121320.0;46841.89
estonia;45226.0;45226.0
ethiopia;1127127.0;1127127.0
federated states micronesia;702.0;
fiji;18270.0;18270.0
finland;338145.0;130127.96
france;547030.0;211209.38
gabon;267667.0;267667.0
gambia;10000.0;4362.95
georgia;69700.0;26911.31
germany;357021.0;137846.52
ghana;239460.0;92455.98
greece;131940.0;50942.3
grenada;344.0;344.0
guatemala;108890.0;42042.65
guinea;245857.0;94925.88
guinea bissau;36120.0;
guyana;214970.0;214970.0
haiti;27750.0;10714.33
honduras;112090.0;43278.17
hungary;93030.0;35919.07
iceland;103000.0;103000.0
india;3287590.0;1269345.07
indonesia;1919440.0;741099.62
iran;1648000.0;636296.1
iraq;437072.0;168754.37
israel;20770.0;8019.34
italy;301230.0;116305.51
ivory coast;322921.0;
jamaica;10991.0;4243.65
japan;377835.0;145882.85
jordan;92300.0;35637.21
kazakhstan;2724900.0;1049154.96
kenya;582650.0;224962.33
kiribati;811.0;811.0
kosovo;10887.0;10887.0
kuwait;17820.0;6880.34
kyrgyzstan;199900.0;76641.25
laos;236800.0;91428.95
latvia;64589.0;24937.94
lebanon;10452.0;4015.46
lesotho;30355.0;11720.13
liberia;111370.0;43000.18
libya;1759540.0;679361.91
liechtenstein;160.0;160.0
lithuania;65200.0;25173.85
luxembourg;2586.0;2586.0
macedonia;25713.0;9781.12
madagascar;587041.0;226657.32
malawi;118484.0;45745.36
malaysia;329847.0;127317.13
maldives;300.0;300.0
mali;1240000.0;478766.48
malta;316.0;316.0
marshall islands;181.0;181.0
mauritania;1030700.0;397955.33
mauritius;2040.0;2040.0
mexico;1972550.0;761605.5
moldova;33843.0;13066.85
monaco;1.95;2.0
mongolia;1564116.0;604249.63
montenegro;13812.0;14026.0
morocco;446550.0;172413.85
mozambique;801590.0;309495.5
namibia;825418.0;318695.54
nauru;21.0;21.0
nepal;147181.0;54363.16
netherlands;41526.0;16033.27
new zealand;268680.0;103737.89
nicaragua;129494.0;49997.89
niger;1267000.0;489191.23
nigeria;923768.0;356668.67
niue;260.0;260.0
north korea;120538.0;46540.0
northern cyprus;3355.0;
norway;323802.0;125181.99
pakistan;803940.0;310402.84
palau;458.0;458.0
palestine;6020.0;
panama;78200.0;30193.18
papua new guinea;462840.0;178703.45
paraguay;406752.0;157046.99
peru;1285220.0;496226.01
philippines;300000.0;300000.0
poland;312685.0;120728.3
portugal;92391.0;35672.35
qatar;11437.0;11437.0
republic congo;342000.0;
romania;238391.0;91699.23
russia;17075200.0;6592768.87
rwanda;26338.0;10169.15
s o tom pr ncipe;964.16;
saint kitts nevis;261.0;
saint lucia;616.0;616.0
saint vincent grenadines;389.0;
samoa;2831.0;2944.0
san marino;61.0;61.0
saudi arabia;2149690.0;756984.63
senegal;196722.0;75749.35
serbia;88361.0;77474.0
seychelles;455.0;455.0
sierra leone;71740.0;27698.96
singapore;710.0;267.57
slovakia;48845.0;18859.15
slovenia;20273.0;7827.45
solomon islands;28896.0;28450.0
somalia;637657.0;246200.64
somaliland;176210.0;
south africa;1219912.0;471010.46
south korea;99538.0;38375.0
south ossetia;3900.0;
south sudan;619745.0;
spain;504782.0;194897.34
sri lanka;65610.0;25332.15
sudan;1886068.0;728215.12
suriname;163270.0;163270.0
swaziland;17364.0;17363.0
sweden;449964.0;173732.0
switzerland;41290.0;15942.15
syria;185180.0;71498.37
taiwan;35980.0;35980.0
tajikistan;143100.0;143100.0
tanzania;945087.0;364899.98
thailand;514000.0;198456.43
togo;56785.0;21924.8
tonga;748.0;748.0
transnistria;4163.0;
trinidad tobago;5128.0;
tunisia;163610.0;63170.15
turkey;780580.0;301383.5
turkmenistan;488100.0;188456.39
tuvalu;26.0;26.0
uganda;236040.0;91135.52
ukraine;603700.0;233089.78
united arab emirates;83600.0;32000.13
united kingdom;244820.0;244820.0
united states;9629091.0;9161923.0
uruguay;176220.0;68031.17
uzbekistan;447400.0;172742.03
vanuatu;12200.0;12200.0
vatican city;0.44;1.0
venezuela;912050.0;352144.33
vietnam;329560.0;127243.78
yemen;527970.0;203850.27
zambia;752614.0;290585.77
zimbabwe;390757.0;150803.72
