country;capital;newCol
abkhazia;sukhumi;
afghanistan;kabul;kabul
albania;tirana;tirana
algeria;algiers;algiers
andorra;andorra la vella;andorra la vella
angola;luanda;luanda
antigua barbuda;st john;
argentina;buenos aires;buenos aires
armenia;yerevan;yerevan
australia;canberra;canberra
austria;vienna;vienna
azerbaijan;baku;baku
bahamas;nassau;nassau
bahrain;manama;manama
bangladesh;dhaka;dhaka
barbados;bridgetown;bridgetown
belarus;minsk;minsk
belgium;brussels;brussels
belize;belmopan;belmopan
benin;porto novo;porto-novo (official capital) cotonou (seat of government)
bhutan;thimphu;thimphu
bolivia;la paz;"la paz (seat of government); sucre (legal capital and seat of judiciary)"
bosnia herzegovina;sarajevo;
botswana;gaborone;gaborone
brazil;bras ã lia;brasilia
brunei;bandar seri begawan;bandar seri begawan
bulgaria;sofia;sofia
burkina faso;ouagadougou;ouagadougou
burma;naypyidaw;
burundi;bujumbura;bujumbura
cambodia;phnom penh;phnom penh
cameroon;yaounde;yaounde
canada;ottawa;ottawa
cape verde;praia;praia
central african republic;bangui;bangui
chad;n djamena;n'djamena
chile;santiago;santiago
china;beijing;beijing
colombia;bogot ã;bogota
comoros;moroni;moroni
costa rica;san jose;san jose
croatia;zagreb;zagreb
cuba;havana;havana
cyprus;nicosia;nicosia
czech republic;prague;prague
democratic republic congo;kinshasa;
djibouti;djibouti;djibouti
dominica;roseau;roseau
dominican republic;santo domingo;santo domingo
east timor;dili;dili
ecuador;quito;quito
egypt;cairo;cairo
el salvador;san salvador;san salvador
equatorial guinea;malabo;malabo
eritrea;asmara;asmara
estonia;tallinn;tallinn
ethiopia;addis ababa;addis ababa
federated states micronesia;palikir;
fiji;suva;suva
finland;helsinki;helsinki
france;paris;paris
gabon;libreville;libreville
gambia;banjul;banjul
georgia;atlanta;t'bilisi
germany;berlin;berlin
ghana;accra;accra
greece;athens;athens
grenada;st george;saint george's
guatemala;guatemala city;guatemala
guinea;conakry;conakry
guinea bissau;bissau;
guyana;georgetown;georgetown
haiti;port au prince;port-au-prince
honduras;tegucigalpa;tegucigalpa
hungary;budapest;budapest
iceland;reykjavik;reykjavik
india;new delhi;new delhi
indonesia;jakarta;jakarta
iran;tehran;tehran
iraq;baghdad;baghdad
israel;jerusalem;tel aviv
italy;rome;rome
ivory coast;yamoussoukro;
jamaica;kingston;kingston
japan;tokyo;tokyo
jordan;amman;amman
kazakhstan;astana;astana
kenya;nairobi;nairobi
kiribati;tarawa;tarawa
kosovo;pristina;pristina
kuwait;kuwait;kuwait city
kyrgyzstan;bishkek;bishtek
laos;vientiane;vientiane
latvia;riga;riga
lebanon;beirut;beirut
lesotho;maseru;maseru
liberia;monrovia;monrovia
libya;tripoli;tripoli
liechtenstein;vaduz;vaduz
lithuania;vilnius;vilnius
luxembourg;luxembourg;luxembourg
macedonia;skopje;skopje
madagascar;antananarivo;antananarivo
malawi;lilongwe;lilongwe
malaysia;kuala lumpur;kuala lumpur
maldives;male;male
mali;bamako;bamako
malta;valletta;valletta
marshall islands;majuro;majuro
mauritania;nouakchott;nouakchott
mauritius;port louis;port louis
mexico;mexico city;mexico
moldova;chi åÿin äƒu;chisinau
monaco;monaco;monaco
mongolia;ulaanbaatar;ulaan baatar
montenegro;podgorica;podgorica
morocco;rabat;rabat
mozambique;maputo;maputo
namibia;windhoek;windhoek
nauru;yaren;no official capital
nepal;kathmandu;kathmandu
netherlands;amsterdam;amsterdam
new zealand;wellington;wellington
nicaragua;managua;managua
niger;niamey;niamey
nigeria;abuja;abuja
niue;alofi;alofi
north korea;pyongyang;pyongyang
northern cyprus;nicosia;
norway;oslo;oslo
pakistan;islamabad;islamabad
palau;melekeok;melekeok
palestine;east jerusalem;
panama;panama;panama
papua new guinea;port moresby;port moresby
paraguay;asunci ã n;asuncion
peru;lima;lima
philippines;manila;manila
poland;warsaw;warsaw
portugal;lisbon;lisbon
qatar;doha;doha
republic congo;brazzaville;
romania;bucharest;bucharest
russia;moscow;moscow
rwanda;kigali;kigali
s o tom pr ncipe;s o tom;
sahrawi arab democratic republic;el aai n;
saint kitts nevis;basseterre;
saint lucia;castries;castries
saint vincent grenadines;kingstown;
samoa;apia;apia
san marino;san marino;san marino
saudi arabia;riyadh;riyadh
senegal;dakar;dakar
serbia;belgrade;belgrade
seychelles;victoria;victoria
sierra leone;freetown;freetown
singapore;singapore;singapore
slovakia;bratislava;bratislava
slovenia;ljubljana;ljubljana
solomon islands;honiara;honiara
somalia;mogadishu;mogadishu
somaliland;hargeisa;
south africa;pretoria;pretoria ?
south korea;seoul;seoul
south ossetia;tskhinvali;
south sudan;juba;
spain;madrid;madrid
sri lanka;colombo;colombo
sudan;khartoum;khartoum
suriname;paramaribo;paramaribo
swaziland;mbabane;mbabane ?
sweden;stockholm;stockholm
switzerland;bern;bern
syria;damascus;damascus
taiwan;taipei;taipei
tajikistan;dushanbe;dushanbe
tanzania;dodoma;dar es salaam
thailand;bangkok;bangkok
togo;lome;lome
tonga;nuku alofa;nuku'alofa
transnistria;tiraspol;
trinidad tobago;port spain;
tunisia;tunis;tunis
turkey;ankara;ankara
turkmenistan;ashgabat;ashgabat
tuvalu;funafuti;fongafale
uganda;kampala;kampala
ukraine;kiev;kiev
united arab emirates;abu dhabi;abu dhabi
united kingdom;london;london
united states;washington d c;
uruguay;montevideo;montevideo
uzbekistan;tashkent;tashkent
vanuatu;port vila;port-vila
vatican city;vatican city;vatican city
venezuela;caracas;caracas
vietnam;hanoi;hanoi
yemen;sana;sanaa
zambia;lusaka;lusaka
zimbabwe;harare;harare
