country	population
abkhazia	240705
afghanistan	26023100
albania	2895947
algeria	38700000
andorra	76098
angola	17322796
antigua barbuda	86295
argentina	42669500
armenia	3009800
australia	23592200
austria	8527230
azerbaijan	9477100
bahamas	351461
bahrain	1234571
bangladesh	156940000
barbados	285000
belarus	9469200
belgium	11203787
belize	349728
benin	9988068
bhutan	751540
bolivia	10027254
bosnia herzegovina	3791622
botswana	2024904
brazil	203121000
brunei	393162
bulgaria	7245677
burkina faso	17322796
burma	51419420
burundi	9420248
cambodia	15184116
cameroon	20386799
canada	35427524
cape verde	491875
central african republic	4709000
chad	13211000
chile	17773000
china	1366630000
colombia	47761000
comoros	743798
costa rica	4667096
croatia	4267558
cuba	11167325
cyprus	865878
czech republic	10517400
democratic republic congo	77433744
djibouti	886000
dominica	71293000
dominican republic	10378267
east timor	1212107
ecuador	15821500
egypt	87118500
el salvador	6401240
equatorial guinea	1622000
eritrea	6536000
estonia	1315819
ethiopia	96633458
federated states micronesia	101351000
fiji	858038
finland	5462939
france	65959000
gabon	1711000
gambia	1882450
georgia	4490500
germany	80996685
ghana	27043093
greece	11123034
grenada	103328
guatemala	15806675
guinea	10628972
guinea bissau	1746000
guyana	784894
haiti	10745665
honduras	8555072
hungary	9879000
iceland	32705
india	1249030000
indonesia	252164800
iran	80840713
iraq	36004552
israel	8222700
italy	60762320
ivory coast	23202000
jamaica	2717991
japan	127130000
jordan	6629420
kazakhstan	17309000
kenya	45546000
kiribati	106461
kosovo	1815606
kuwait	3065850
kyrgyzstan	5824000
laos	6693300
latvia	1994300
lebanon	4966000
lesotho	2098000
liberia	4397000
libya	6253000
liechtenstein	37132
lithuania	2939431
luxembourg	549700
macedonia	2062294
madagascar	21263403
malawi	16829000
malaysia	30263000
maldives	317280
mali	15768000
malta	416055
marshall islands	560860
mauritania	3461041
mauritius	1261208
mexico	119713203
moldova	3557600
monaco	36950
mongolia	2931300
montenegro	620029
morocco	33373700
mozambique	25041922
namibia	2113077
nauru	9945
nepal	26494504
netherlands	16867200
new zealand	4551240
nicaragua	6071045
niger	17138707
nigeria	178517000
niue	1613
north korea	25027000
northern cyprus	294906
norway	5137679
pakistan	188020000
palau	20901
palestine	4420549
panama	3405813
papua new guinea	7398500
paraguay	6783374
peru	30814175
philippines	100217400
poland	38496000
portugal	10477800
qatar	1919962
republic congo	4559000
romania	19942642
russia	146068400
rwanda	10537222
s o tom pr ncipe	187356
sahrawi arab democratic republic	50716
saint kitts nevis	55000
saint lucia	180000
saint vincent grenadines	109000
samoa	187820
san marino	33682
saudi arabia	29994272
senegal	12873601
serbia	7146759
seychelles	90945
sierra leone	6190280
singapore	5399200
slovakia	5415949
slovenia	2063899
solomon islands	581344
somalia	10806000
somaliland	3500000
south africa	54002000
south korea	50423955
south ossetia	51547000
south sudan	11739000
spain	46507800
sri lanka	20277597
sudan	37289406
suriname	534189
swaziland	1268000
sweden	9705005
switzerland	8160900
syria	21987000
taiwan	23398263
tajikistan	8160000
tanzania	49639138
thailand	67367943
togo	6993000
tonga	103036
transnistria	505153
trinidad tobago	1328019
tunisia	10886500
turkey	81619392
turkmenistan	5307000
tuvalu	11323
uganda	35357000
ukraine	42988026
united arab emirates	9446000
united kingdom	64105700
united states	318707000
uruguay	3286314
uzbekistan	30492800
vanuatu	264652
vatican city	839
venezuela	30206307
vietnam	90710000
yemen	25235000
zambia	15023315
zimbabwe	13061239
