game;developer;newCol
super mario 64;nintendo ead;nintendo ead
metroid prime;retro studios, nintendo;retro studios, nintendo
the legend of zelda: twilight princess;nintendo ead software development group no. 3;nintendo ead software development group no. 3
goldeneye 007;rare, nintendo;rare, nintendo
resident evil 4;capcom;capcom
perfect dark;rare, nintendo;nintendo
mario kart 64;nintendo;nintendo
mario party 2;nintendo;nintendo
super mario galaxy;nintendo ead tokyo development group;nintendo ead tokyo development group
donkey kong country;rare;nintendo
tony hawk's pro skater 3;edge of reality;
the legend of zelda: ocarina of time;nintendo ead;nintendo ead
yoshi's story;nintendo;
halo 2;microsoft;microsoft
grand theft auto iv;rockstar north ltd.;rockstar north ltd.
guitar hero iii: legends of rock;activision;activision
tony hawk's pro skater 2;edge of reality;
wave race 64;nintendo;nintendo
final fantasy vii;square enix;
grand theft auto iii;dma design;dma design
sonic mega collection;sega;
soulcalibur;namco;namco
spider-man;edge of reality;activision
finding nemo;thq;
f-zero x;nintendo;nintendo
star fox 64;nintendo;nintendo
star wars: battlefront;lucasarts;lucasarts
star wars: battlefront ii;lucasarts;lucasarts
star wars: knights of the old republic;lucasarts;lucasarts
grand theft auto: san andreas;take 2;
espn nfl 2k5;sega;sega
donkey kong 64;rare;nintendo
diddy kong racing;rare;nintendo
cruis'n usa;midway games;
crazy taxi;sega;
tom clancy's ghost recon;ubisoft;
tony hawk's pro skater;activision;
grand theft auto: liberty city stories;take 2;
mortal kombat trilogy;midway;midway
guitar hero ii;activision;activision
half-life 2;valve corporation;valve corporation
nba jam;acclaim;acclaim
nfl blitz;midway;midway
mortal kombat 3;acclaim;acclaim
mortal kombat 2;acclaim;acclaim
monopoly;mind's eye;atari
namco museum;namco;namco
namco museum 64;namco;namco
need for speed: most wanted;electronic arts;electronic arts
need for speed: underground;electronic arts;electronic arts
metal gear solid;tose;tose
need for speed: underground 2;electronic arts;electronic arts
mario party;nintendo;nintendo
ogre battle 64: person of lordly caliber;quest, dual corporation;quest, dual corporation
mario golf;camelot software;camelot software
madden nfl 99;electronic arts;electronic arts
madden nfl 2006;electronic arts;electronic arts
madden nfl 2005;electronic arts;electronic arts
madden nfl 2002;electronic arts;electronic arts
madden nfl 2001;electronic arts;electronic arts
madden nfl 2000;electronic arts;electronic arts
madden nfl 08;electronic arts;electronic arts
madden nfl 07;electronic arts;electronic arts
pok?mon puzzle league;nintendo software technology, intelligent systems;nintendo software technology, intelligent systems
red dead redemption;rockstar san diego;rockstar games
call of duty 4: modern warfare;infinity ward;activision
halo: combat evolved;microsoft;bungie studios
nba live 2000;nufx;electronic arts
uncharted 2: among thieves;naughty dog software;naughty dog software
1080? snowboarding;nintendo;nintendo
twisted metal;sony;singletrac
wcw nitro;thq;
turok: dinosaur hunter ?turok: jiku senshijp;iguana entertainment;
power league 64;hudson soft;
pokemon snap;nintendo;nintendo
pokemon stadium;nintendo;nintendo
pokemon stadium 2;nintendo;nintendo
pokemon trading card game;nintendo;nintendo
pokemon yellow;nintendo;nintendo
polaris snocross;vicarious visions;
powerpthe powerpuff girls: chemical x-traction;vis interactive;
power rangers lightspeed rescue;mass media;
pokemon sapphire;nintendo;nintendo
premier manager 64;gremlin interactive;
prince of persia: sands of time;ubisoft montreal;ubisoft montreal
pro mahjong kiwame 64;athena;
pro shinan mahjong tsuwamono 64: jans? battle ni ch?sen;culture brain;
project gotham racing;microsoft;microsoft
puyo puyo sun 64;compile;
pokemon silver;nintendo;nintendo
pokemon red;nintendo;nintendo
pokemon ruby;nintendo;nintendo
quake 64;midway;
penny racers ?choro q 64jp;takara;
wwf attitude;iguana entertainment;
phantasy star ii;sega;sega
pilotwings 64;paradigm entertainment;
wwe: here comes the pain;thq;
pok?mon snap;hal laboratory, pax softnica;hal laboratory, pax softnica
pok?mon snap ?pocket monsters snapjp;hal laboratory;
