game	genre
metroid prime	first-person adventure
super mario 64	platformer: open world
uncharted 2: among thieves	action-adventure/ third-person shooter
resident evil 4	survival horror: (third-person) shooter
mario kart ds	racing
mario kart 64	racing/battle
tony hawk's pro skater 2	sports/skateboarding
red dead redemption	open world: (third-person) shooter
super mario galaxy	platformer
brain age 2: more training in minutes a day	puzzle
call of duty 4: modern warfare	shooter
goldeneye 007	action/adventure/3d shooter
halo 2	shooter
diddy kong racing	racing/adventure/battle
perfect dark	action/adventure/3d shooter
grand theft auto iii	action-adventure: open world
animal crossing: wild world	simulation
grand theft auto iv	open world: (third-person) shooter
the legend of zelda: ocarina of time	action-adventure
the legend of zelda: twilight princess	action-adventure
call of duty: modern warfare 2	shooter
peter jackson's king kong	action
project gotham racing 3	racing
pokemon trozei	puzzle
polaris snocross	simulation/snowmobile racing
pet alien	action
polarium	puzzle
phoenix wright: ace attorney trials and tribulations	simulation
pony friends	other
power league 64	sports/baseball
