mountain	altitude
kamet	7.756
wetterhorn	4.273
crap ner	2883
manaslu	8163
bocktschingel	3079
lhotse	8516
clariden	3268
stone arthur	504
illgill head	609
dom	4545
dollywagon pike	858
dodd	502
sheffield pike	680
shipman knotts	587
ill bell	757
dammastock	3630
dhaulagiri i	8167
silver how	394
pavey ark	700
dale head	754
skiddaw	931
skiddaw little man	865
slate mountain	1,988 ft (606 m).
slight side	762
dove crag	793
sergeant man	736
dow crag	779
pfannenstock	2573
scafell pike	978
fairfield	873
scar crags	672
esk pike	885
schiberg	2044
schijen	2610
holme fell	317
hopegill head	770
eiger	3970
druesberg	2282
scoat fell	841
eel crag (crag hill)	839
seat sandal	736
seatallan	692
eagle crag	520
seathwaite fell	632
selside pike	655
crinkle crags	859
jungfrau	4158
sour howes	483
outerside	568
nadelhorn	4327
kirk fell	802
nanga parbat	8.125
nanda devi	7.816
tarn crag (easedale)	550
tarn crag (longsleddale)	664
knott	710
knott rigg	556
knott, the	739
chli aubrig	1642
pillar	892
thornthwaite crag	784
thunacar knott	723
nab scar	442
tirgaran	6.843
mutteristock	2294
lachenstock	2027
troutbeck tongue	364
mt wood	4.843
nethermost pike	891
kidsty pike	780
swirl how	802
sustenhorn	3503
ofen	2873
kanchenjunga	8476
ochsenchopf	2179
nuptse	7855
kangbachen	7903
starling dodd	636
steel fell	553
steel knotts	432
steeple	819
crag fell	523
stelli	2417
coniston old man	803
green crag	489
cold pike	701
clough head	726
kentmere pike	731
stybarrow dodd	844
pike o'stickle	709
hindscarth	727
lank rigg	541
rest dodd	696
gowbarrow fell	481
place fell	657
glenridding dodd	442
raise	883
rakaposhi	##########
glarner tï¿½di	3586
glaramara	783
rampsgill head	792
gibson knott	420
rannerdale knotts	355
gemsfairenstock	2972
rautispitz	2283
raven crag	463
gw?chtenhorn	3420
gavel fell	526
red pike (wasdale)	826
red screes	776
gasherbrum ii	8.035
gasherbrum i	8.068
plattenberg	2082
gross aubrig	1695
grisset	2721
great carrs	785
great rigg	766
grey crag	638
great mell fell	537
great gable	899
great end	910
great dodd	857
great crag	457
great cockup	526
great calva	690
grisedale pike	791
great borne	616
graystones	456
grey friar	773
gray crag	699
grey knotts	697
grasmoor	852
grange fell	415
grike	488
redertenstock	2295
gantspitz	1970
sandgipfel	3390
piz russein tï¿½di	3614
high crag	745
high hartsop dodd	519
high pike (caldbeck)	658
high pike (scandale)	656
high raise (langdale)	762
sabinyo	##########
high rigg	354
sail	773
fletschhorn	3993
fleetwith pike	648
high seat	608
high spy	653
high stile	807
finsteraarhorn	4274
high street	828
high tove	515
sale fell	359
sallows	516
fellbarrow	416
ruchen	2901
heron pike	612
hen comb	509
rossalpelispitz	2075
hallin fell	388
hard knott	550
harrison stickle	736
hart crag	822
robinson	737
hart side	756
harter fell (eskdale)	653
fulcher mountain	1,831 ft (558 m).
hartsop above how	580
helvellyn	950
froswick	720
hartsop dodd	618
rossett pike	650
hausstock	3158
forstberg	2215
haycock	798
haystacks	597
helm crag	405
langtang lirung	7234
green gable	801
long side	734
bowscale fell	703
walla crag	379
mt humphreys	3862
little hart crag	637
base brown	646
lingmoor fell	469
wandope	772
carl side	746
ullscarf	726
branstree	713
brandreth	715
brae fell	586
whiteside	707
whiteless pike	660
ullock pike	680
lingmell	807
low fell	428
br?nnelistock	2133
