 HTC,3.5mm_jack,3g_capable,4g_capable,QWERTY_physical_keyboard,SIM_card_quantity,SIM_type,Unnamed: 76,additional_features,alert_types,audio_connectors,audio_time,auto_focus,band_mode,battery_type,bluetooth,bluetooth_type,body_material,box,brand,browser,browser_type,bundled_items,camera_features,camera_flash,camera_type,card_slot,cellular,charger_and_cable,charger_connection_type,chipset,color,computer_operating_system,condition,connectivity,contract,depth,design,digital_camera,dimensions,display_color,display_format,display_protection,display_resolution,display_size,display_technology,display_type,edge,email,english_firmware,entry_number,front_cam_resolution,front_camera,global_ready,gprs,gps,gps_type,gpu,headphones_included,hearing_aid_compatible,height,infrared_port,java,keypad_type,language,launch_date,launch_status,manufacturer,manufacturer_origin,memory,messaging,modelnum,mp3_player,mpn,multitouch,network_generation,network_speed,network_technology,nfc,no_bundled_items,normalized_product_name,package_weight,phone_carrier,phone_type,ports,processor_type,product_code,product_gtin,product_type,radio,ram,rear_cam_resolution,rear_camera,sensors,software,speakerphone,standby_time,supported_audio_formats,supported_picture_formats,tagline,talk_time,touch_screen,touchscreen_type,usb,user_manual,video_quality,warranty,water_resistance,wattage,weight,width,wifi,wireless_charging,wlan
"["" ""]","[""Yes"", ""yes""]","[""Yes"", ""make sure your Carrier support the 3G or LTE bands""]","[""Yes""]",[],"[""Single SIM""]","[""Nano-SIM""]","[""Network Locked"", ""Network Unlocked"", ""  "", ""- HTC Sense UI 7.0"", ""Fast battery charging""]","[""3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Internet Browser, Music Player, Near Field Communication, Push to Talk, Speakerphone, Touchscreen, Wi-Fi Capable"", ""3G Data Capable, 4G Data Capable, 4K Video Recording, Bluetooth Enabled, Global Ready, GPS, Internet Browser, Music Player, Near Field Communication, Speakerphone, Touchscreen, Wi-Fi Capable""]","[""Vibration; MP3, WAV ringtones""]",[],[],[],"[""GSM 850/900/1800/1900 UMTS 850/1900/2100 CDMA 850/1900/2100 LTE 2/3/4/5/7/12/17/29""]","[""Lithium-Polymer"", ""Undetachable , Li-polymer battery"", ""Non-removable Li-Po 2840 mAh battery""]","[""Yes"", ""v4.1, A2DP, apt-X"", ""V4.1""]",[],[],[],"[""HTC""]","[""Yes"", ""yes""]","[""HTML5""]","[""Adaptor, Cable"", ""Yes"", ""Adaptor, Cable, Headset"", ""1 x Phone,1 x Data Cable,1 x Charger,1 x Battery""]","[""Automatic simultaneous video and image recording, geo-tagging, face/smile detection, HDR, panorama""]",[],"[""Dual""]","[""MicroSD"", ""microSD, up to 128 GB"", ""Micro SD card up to 128GB ( Not included)""]","[""WCDMA 850/900/1900/2100MHz"", ""Band (4G)""]",[],[],"[""Quad-Core , Qualcomm MSM8994 Snapdragon 810"", ""Qualcomm MSM8994 Snapdragon 810"", ""Qualcomm Snapdragon 810#""]","[""Gold on Silver"", ""Gunmetal Gray"", ""gold"", ""\tGold on Silver"", ""Gray"", ""Silver""]","[""Android"", ""Android "", ""Android 5.0 OS"", ""Android OS, v5.0 (Lollipop)"", ""Android OS 5.0""]","[""Network Locked"", ""Factory Unlocked"", ""Excellent"", ""Network Unlocked "", ""Carrier Unlocked "", ""Network Unlocked"", ""Network Locked "", ""New"", ""New other (see details)""]","[""Bluetooth, WiFi"", ""Yes""]","[""Without Contract""]","[""0.38 in.""]","[""Bar"", ""Bar ""]","[""Yes""]","[""144.6 x 69.7 x 9.6 mm (5.69 x 2.74 x 0.38 in)"", ""144.6*69.7*9.61mm"", ""5.0 inches (-68.4% screen-to-body ratio)""]",[],[],"[""Corning Gorilla Glass 4""]","[""1920x1080px"", ""1080 x 1920 pixels (~441 ppi pixel density)"", ""1920 X 1080 pixels"", ""1080 x 1920 pixels (-441 ppi pixel density)""]","[""5\"""", ""5.0inch"", ""5.0 inches (~68.4% screen-to-body ratio)"", ""5.0 inch""]","[""Super LCD 3""]","[""Super LCD3 capacitive touchscreen, 16M colors"", ""HD Capacitive""]",[],"[""Yes"", ""yes""]",[],"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""18"", ""25"", ""26"", ""27"", ""28"", ""29"", ""76"", ""101"", ""102"", ""103"", ""104"", ""105"", ""106"", ""107"", ""125"", ""126"", ""127"", ""128"", ""129"", ""130"", ""131"", ""132"", ""133""]","[""4.0MP"", ""4 MP, 1080p@30fps, HDR"", ""4MP""]",[],"[""Yes""]",[],"[""Yes"", ""yes"", ""YEs"", ""Yes, with A-GPS, GLONASS""]","[""Yes""]","[""Adreno 430""]",[],[],"[""5.69 in.""]","[""Yes""]","[""No""]",[],"[""Arabic, Bahasa Indonesia, Dutch, Czech, Danish, English, French, Finnish, Filipino, Greek, German, Hindi, Hungarian, Hebrew, Italian, Japanese, Korean, Latvian, Norwegian, Portuguese, Polish, Russian, Romanian, Slovenscina, Spanish, Turkish, Thai, Vietnamese, Lithuanian, Slovenian, Bahasa Melayu, Chinese""]","[""2015, March""]","[""Available. Released 2015, March""]",[],[],"[""32GB"", ""32 GB, 3 GB RAM"", ""32GB ""]","[""SMS (threaded view), MMS, Email, Push Email""]",[],[],"[""6735A"", ""OPJA120"", ""ebay_HTCOneM932GBGoldonSilverUnlocked"", ""6729A"", ""ebay_HTCOneM932GBGunmetalGrayVerizon"", ""6729A "", ""ebay_HTCOneM932GBGoldonSilverUnlocked "", ""ebay_HTCOneM932GBGunmetalGrayVerizon "", ""HTC6535LVW "", ""M9"", ""HTC ONE M9""]","[""yes""]","[""2G, 3G, 4G""]",[],"[""GSM 800/900/1800/1900 (Quadband) CDMA 800/1900 UMTS 850/1900/2100 LTE 1900"", ""EDGE/GSM 800/900/1800/1900 HSPA/UMTS 850/900/1900/2100 CDMA/1xEVDO 800/1900 LTE 700/1700"", ""GSM 850/900/1800/1900 UMTS 850/1900/2100 CDMA 850/1900/2100 LTE 2/3/4/5/7/12/17/29"", ""GSM / HSPA / LTE"", ""FDD-LTE , WCDMA , GSM"", ""GSM/UMTS/LTE""]","[""Yes"", ""yes""]",[],htc one m9,[],"[""T-Mobile"", ""Verizon"", ""AT&T"", ""Unlocked"", ""Without Contract""]","[""M9"", ""HTC One M9"", ""HTC One"", ""One M9"", ""ONE M9""]","[""1 x Nano SIM card slot,1 x Micro USB v2.0  + 1 x TF card slot,1 x 3.5mm Earphone port""]","[""Quad-core 1.5 GHz Cortex-A53 & Quad-core 2 GHz Cortex-A57"", ""Octa core 64-bit, 4 x  2.0GHz + 4 x 1.5GHz"", ""Octa Core""]",[],"[""821793045111"", ""400046320115"", ""821793044329""]","[""Smartphone""]","[""Stereo FM radio with RDS""]","[""3GB"", ""3GB ""]","[""20.0MP"", ""20.7 MP, 5376 x 3752 pixels, autofocus, dual-LED (dual tone) flash, check quality"", ""20MP"", ""20.0 MP""]",[],"[""G-sensor, Gyroscope, Compass, Proximity sensor, Ambient light sensor, Magnetic sensor, Accelerometer"", ""Accelerometer, gyro, proximity, compass""]",[],"[""Yes"", ""Yes, with stereo speakers""]",[],"[""OGG , MP3 , AMR, etc.""]","[""JPEG , PNG , BMP , GIF""]","[""No charger. No sim card, Free AppCow Card, No headphones. No original box, Acceptable Cosmetics May have a scratch or two, Not unlocked, Clean ESN, 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Dual SIM, GPS"", ""3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Internet Browser, Music Player, Near Field Communication, Push to Talk, Speakerphone, Touchscreen, Wi-Fi Capable"", ""3G Data Capable, 4G Data Capable, 4K Video Recording, Bluetooth Enabled, Dual-Lens Camera, Global Ready, GPS, Internet Browser, Music Player, Near Field Communication, Push to Talk, QWERTY Keyboard, Speakerphone, Touchscreen, TTY Compatible, Voice-Activated Dialing, Wi-Fi Capable"", ""3G Data Capable, 4G Data Capable, Bluetooth Enabled, Internet Browser, Speakerphone, Touchscreen"", ""3G Data Capable, 4G Data Capable, Bluetooth Enabled, Dual SIM, Global Ready, GPS, Internet Browser, Music Player, Speakerphone, Touchscreen, Wi-Fi Capable "", ""Adaptor, Cable "", ""3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Internet Browser, Music Player, Speakerphone, Touchscreen, Voice-Activated Dialing, Wi-Fi Capable ""]",[],"[""Yes"", ""Yes ""]",[],"[""microUSB v2.0 (MHL 3.0 TV-out), USB Host""]",[],"[""1080p"", ""2160p@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec., check quality"", ""3GP, MP4 , H.263, etc.""]",[],[],"[""2840 mAh"", ""2840mAh""]","[""5.54 oz"", ""157 g (5.54 oz)"", ""157g""]","[""2.74 in.""]","[""802.11 a/n/b/g/ac"", ""Yes""]",[],"[""Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA,hotspot"", ""Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot""]"
[],[],[],[],"[""No""]",[],[],[],[],[],[],[],[],[],"[""Lithium Ion""]","[""Yes""]",[],[],[],"[""Apple""]","[""Yes""]",[],[],[],[],[],[],"[""GSM/EDGE 850/900/1800/1900 (Quadband) WCDMA (UMTS)/HSDPA/HSUPA 850/900/1900/2100 CDMA EV-DO Rev. A 800/1900""]",[],[],[],"[""Black""]","[""iOS - Apple""]","[""\t"", ""Factory Unlocked"", ""Used""]",[],"[""without Contract""]","[""0.37 in.""]","[""Bar""]","[""Yes""]",[],[],[],[],"[""960 x 640 pixels""]","[""3.5\""""]","[""TFT LCD""]",[],[],"[""Yes""]",[],"[""10"", ""110"", ""114""]",[],[],[],[],"[""Yes""]",[],[],[],[],"[""4.5 in.""]",[],[],[],[],"[""11/11/2011"", ""10/14/2011""]",[],[],[],"[""32GB""]",[],[],[],"[""MD241LL/A"", ""MD278LL/A""]",[],"[""2G, 3G""]",[],"[""GSM/EDGE 850/900/1800/1900 (Quadband) WCDMA (UMTS)/HSDPA/HSUPA 850/900/1900/2100 CDMA EV-DO Rev. A 800/1900""]",[],[],iphone 4s 32gb,[],"[""Factory Unlocked"", ""Verizon""]","[""4s"", ""iPhone 4s""]",[],[],"[""400035624750, 885909528929""]","[""885909537969""]","[""Smartphone""]",[],[],"[""8.0MP""]",[],[],[],"[""Yes""]","[""Up to 200 hr""]",[],[],"[""3G Data Capable""]","[""Up to 840 min""]","[""Yes""]",[],[],[],[],[],[],"[""1432 mAh""]","[""4.9 oz""]","[""2.31 in.""]",[],[],[]
[],[],[],[],"[""No""]",[],"[""Not included""]",[],"[""3G Data Capable, 4G Data Capable, Bluetooth Enabled, Internet Browser, Music Player, Speakerphone, Touchscreen""]",[],[],[],[],"[""GSM/EDGE 850/900/1800/1900 (Quadband) WCDMA (UMTS)/HSDPA/HSUPA 850/900/1900/2100 CDMA EV-DO Rev. A 800/1900""]","[""Lithium Ion"", ""Rechargeable Li-Ion Battery""]","[""Yes""]",[],[],[],"[""Apple""]","[""Yes""]",[],[],[],[],[],"[""MicroSD""]","[""GSM/EDGE 850/900/1800/1900 (Quadband) WCDMA (UMTS)/HSDPA/HSUPA 850/900/1900/2100 CDMA EV-DO Rev. A 800/1900""]",[],[],[],"[""Black"", ""White""]","[""iOS - Apple""]","[""Used"", ""Clean ESN, Apple Unlocked\t\t"", ""Factory Unlocked"", ""Unlocked""]",[],"[""Without Contract""]","[""0.37 in.""]","[""Bar""]","[""Yes""]",[],[],[],[],"[""960 x 640 pixels""]","[""3.5\""""]","[""TFT LCD""]",[],[],"[""Yes""]",[],"[""11"", ""12"", ""19"", ""31"", ""32"", ""111"", ""112"", ""113"", ""116"", ""117"", ""118"", ""119"", ""134"", ""135""]",[],[],[],[],"[""Yes""]",[],[],[],[],"[""4.5 in.""]",[],[],[],[],"[""10/14/2011""]",[],[],[],"[""16GB""]",[],[],[],"[""MC920LL/A"", ""MD277LL/A"", ""MD276LL/A"", ""MC918LL/A""]",[],"[""2G, 3G""]",[],"[""GSM/EDGE 850/900/1800/1900 (Quadband) WCDMA (UMTS)/HSDPA/HSUPA 850/900/1900/2100 CDMA EV-DO Rev. A 800/1900"", ""CDMA2000 1X / GSM / WCDMA (UMTS)""]",[],[],iphone 4s 16gb,[],"[""Unlocked"", ""AT&T"", ""Verizon""]","[""4s"", ""iPhone 4s""]",[],[],[],"[""885909459858, 885909525225"", ""130002076618, 885909528912"", ""400035623791, 885909528905"", ""885909459834, 885909527052""]","[""Smartphone""]",[],[],"[""8.0MP""]",[],[],[],"[""Yes""]","[""Up to 200 hr""]",[],[],[],"[""Up to 840 min""]","[""Yes""]",[],[],[],[],[],[],"[""1432 mAh""]","[""4.9 oz""]","[""2.31 in.""]",[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""13""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],nexus 6p 128gb,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],"[""Camera, Colour Screen, Email, Fingerprint Sensor, FM Radio, Internet Browsing, MMS (Multimedia Messaging), MP3 Player, Sat Nav, Touch Screen, Video Calling""]",[],[],[],[],[],[],"[""Yes""]",[],[],[],"[""Samsung""]",[],[],"[""Adaptor, Cable, Headset""]",[],[],[],[],"[""GSM 850/900/1800/1900 UMTS 850/900/1900/2100 LTE 1/2/3/4/5/7/8/12/17/18/19/20/26""]",[],[],[],"[""White Pearl""]","[""Android""]","[""Used"", ""Unlocked""]","[""3G, 4G, Bluetooth, GPRS, GPS, Quad-Band, Tri-Band, USB, WAP, Wi-Fi""]",[],[],[],"[""Yes""]",[],[],[],[],[],"[""5.1\""""]","[""Quad HD Super AMOLED""]",[],[],"[""Yes""]",[],"[""14"", ""15"", ""16"", ""17"", ""88"", ""89"", ""93"", ""94"", ""99""]",[],[],[],[],"[""Yes""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""32GB"", ""128GB""]",[],[],[],"[""SM-G925FZWFBTU""]",[],[],[],[],[],[],samsung galaxy s6 edge 32gb,[],[],"[""S"", ""SM-G925F""]",[],"[""Quad+Quad Core""]","[""8806086890342""]",[],"[""Smartphone""]",[],"[""3GB""]","[""16.0MP""]",[],[],[],"[""Yes""]",[],[],[],[],[],"[""Yes""]",[],[],[],[],"[""2 years""]",[],"[""2600 mAh""]",[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Rechargeable Li-Ion Battery""]","[""Yes""]",[],[],[],"[""Apple""]","[""Yes""]",[],[],[],[],[],[],[],[],[],[],"[""White & Silver""]",[],[],"[""Bluetooth, WLAN, WiFi""]",[],"[""0.3 in.""]","[""Bar""]","[""Yes""]",[],[],[],[],"[""1136 x 640 pixels""]","[""4\""""]","[""Retina""]",[],[],"[""Yes""]",[],"[""20""]",[],[],[],[],"[""Yes""]",[],[],[],[],"[""4.87 in.""]",[],[],[],[],"[""9/12/2012""]",[],[],[],"[""16GB""]",[],[],[],[],[],"[""2G, 3G, 4G""]",[],"[""GSM/EDGE 850/900/1800/1900 UMTS/HSPA+ / DC-HSDPA 850/900/1900/2100 LTE 4/17""]",[],[],iphone 5 16gb,[],"[""Unlocked""]","[""5""]",[],[],[],[],"[""Smartphone""]",[],[],"[""8.0MP""]",[],[],[],"[""Yes""]","[""Up to 225 hr""]",[],[],[],"[""Up to 480 min""]","[""Yes""]",[],[],[],[],[],[],"[""1440 mAh""]","[""3.95 oz""]","[""2.31 in.""]",[],[],[]
[],[],[],[],[],"[""Single SIM""]","[""Nano SIM""]",[],[],[],[],"[""40.0""]",[],[],"[""Rechargeable Li-Ion Battery"", ""Rechargeable lithium ion""]","[""Yes"", ""Y""]",[],[],[],"[""Apple""]","[""Yes""]",[],"[""iPhone 5s with iOS 7, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, Documentation""]",[],[],[],"[""No""]",[],"[""Y""]","[""Apple lightning""]","[""Apple A7 with 64-bit architecture and M7 motion coprocessor""]","[""Space Gray"", ""Gold"", ""Grey""]","[""iOS - Apple"", ""iOS7""]","[""Used"", ""Good""]",[],[],"[""0.3 in."", ""0.76\ufffdCentimetre""]","[""Bar""]","[""Yes"", ""Y""]",[],[],[],[],"[""1136 x 640 pixels""]","[""4\""""]","[""Retina""]","[""Multi-touch widescreen Retina HD LED-backlit""]",[],"[""Yes""]",[],"[""21"", ""45"", ""47"", ""58""]","[""1.2MP""]","[""Y""]",[],[],"[""Yes""]",[],[],"[""Y""]",[],"[""4.87 in."", ""12.38\ufffdCentimetre""]",[],[],"[""Touchscreen""]",[],"[""9/10/2013""]",[],[],[],"[""32GB""]",[],[],"[""Y""]","[""ME344LL/A"", ""ME301LL/A"", ""ME299LL/A""]",[],"[""2G, 3G, 4G"", ""4G""]",[],"[""GSM/EDGE 850/900/1800/1900; CDMA EV-DO Rev. A and Rev. B 800/1700/1900/2100; UMTS/HSPA+/DC-HSDPA 850/900/1700/1900/2100; LTE 1/2/3/4/5/8/13/17/19/20/25"", ""GSM/EDGE 850/900/1800/1900 UMTS/HSPA+/DC-HSDPA 850/900/1700/1900/2100 LTE 1/2/3/4/5/8/13/17/19/20/25""]","[""N""]","[""Yes""]",iphone 5s 32gb,[],"[""Verizon"", ""Factory Unlocked"", ""Tesco Mobile""]","[""5s""]",[],[],[],"[""885909727834"", ""885909727476""]","[""Smartphone"", ""Smart phone""]","[""N""]","[""1GB""]","[""8.0MP"", ""8 MP""]","[""Y""]","[""Gyro""]",[],"[""Yes""]","[""Up to 250 hr"", ""250""]",[],[],[],"[""Up to 600 min"", ""10""]","[""Yes"", ""Y""]",[],[],[],"[""1080p (Full HD)""]",[],"[""N""]","[""1560 mAh"", ""1570""]","[""3.95 oz"", ""0.11\ufffdKilogram""]","[""2.31 in."", ""5.86\ufffdCentimetre""]","[""Y""]","[""N""]","[""QuadBand""]"
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Yes""]",[],[],[],"[""Apple""]","[""Yes""]",[],[],[],[],[],[],[],[],[],[],"[""Gold""]",[],[],[],[],"[""0.28 in.""]",[],"[""Yes""]",[],[],[],[],"[""1920 x 1080""]","[""5.5\""""]","[""Retina HD""]",[],[],"[""Yes""]",[],"[""22""]",[],[],[],[],"[""Yes""]",[],[],[],[],"[""6.22 in.""]",[],[],[],[],[],[],[],[],"[""128GB""]",[],[],[],"[""MG9T2CL/A, ebay_AppleiPhone6Plus128GBGoldUnlocked""]",[],"[""2G, 3G, 4G""]",[],"[""GSM/EDGE 850/900/1800/1900 UMTS/HSPA+/DC-HSDPA 850/900/1700/1900/2100 LTE 1/2/3/4/5/7/8/13/17/18/19/20/25/26/28/29""]",[],[],iphone 6 plus 128gb,[],"[""Unlocked""]","[""6 Plus""]",[],[],[],"[""715660702989""]","[""Smartphone""]",[],[],"[""8.0MP""]",[],[],[],"[""Yes""]",[],[],[],[],[],"[""Yes""]",[],[],[],[],[],[],"[""2915 mAh""]","[""6.07 oz""]","[""3.06 in.""]",[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Apple""]",[],[],[],[],[],[],[],[],[],[],[],[],"[""iOS - Apple""]","[""Factory Unlocked""]",[],[],[],"[""Bar""]",[],[],[],[],[],[],[],[],[],[],[],[],"[""23""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""China""]","[""16GB 64GB 128GB""]",[],[],[],"[""A1522""]",[],[],[],[],[],[],iphone 6 plus 16gb;iphone 6 plus 64gb;iphone 6 plus 128gb,[],"[""Unlocked""]","[""iPhone 6 Plus""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""3G Data Capable, 4G Data Capable, Bluetooth Enabled, Fingerprint Sensor, Global Ready, GPS, Internet Browser, Music Player, QWERTY Keyboard, Speakerphone, Touchscreen, Voice-Activated Dialing, Wi-Fi Capable""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Yes""]",[],[],[],"[""Apple""]","[""Yes""]",[],[],[],[],[],[],[],[],[],[],"[""Space Gray""]",[],"[""New""]",[],[],"[""0.28 in.""]",[],"[""Yes""]",[],[],[],[],"[""1920 x 1080""]","[""5.5\""""]","[""Retina HD""]",[],[],"[""Yes""]",[],"[""24"", ""62"", ""63""]",[],[],[],[],"[""Yes""]",[],[],[],[],"[""6.22 in.""]",[],[],[],[],[],[],[],[],"[""64GB""]",[],[],[],"[""MGD22LL/A""]",[],"[""2G, 3G, 4G""]",[],"[""GSM/EDGE 850/900/1800/1900 CDMA EV-DO Rev. A and Rev. B 800/1700/1900/2100 UMTS/HSPA+/DC-HSDPA 850/900/1700/1900/2100 TD-SCDMA 1900/2000 FDD-LTE 1/2/3/4/5/7/8/13/17/19/20/25/26/28/29 TD-LTE 38/39/40/41""]",[],[],iphone 6 plus 64gb,[],"[""Sprint""]","[""6 Plus""]",[],[],[],"[""885909971671""]","[""Smartphone""]",[],[],"[""8.0MP""]",[],[],[],"[""Yes""]",[],[],[],[],[],"[""Yes""]",[],[],[],[],[],[],"[""2915 mAh""]","[""6.07 oz""]","[""3.06 in.""]",[],[],[]
