asia	durchschnitt	entfernung	gipfel	grad	h�he	kanton	länge-(km)
north america	4.273		wetterhorn				switzerland
		60.83 km	clariden	275.7	3268	gl/ur	
		45.42 km	gl�rnisch	161.3	2915	gl	
		3.53 km	stelli	289.6	2417	gr	
europe	3.63		dammastock				switzerland
europe	3.996		fletschhorn				switzerland
		31.13 km	gross aubrig	169.8	1695	sz	
			fluebrig				
europe	3.583		gallenstock				switzerland
			m?nch				
		47.92 km	pfannenstock	170.3	2573	sz	
europe	4.195		aletschhorn				switzerland
		38.67 km	rautispitz	154.4	2283	gl	
		56.39 km	bocktschingel	276.7	3079	gl/ur	
		36.29 km	zindlenspitz	161.6	2097	gl/sz	
			grand combin de grafeneire				
europe	3.97		eiger				switzerland
		34.94 km	plattenberg	160.7	2082	gl/sz	
europe	3.908		palu				switzerland
		64.54 km	piz russein t�di	1.3	3614	gl/gr	
europe	4.545		dom				switzerland/italy
europe	3.503		sustenhorn				switzerland
asia	7.756		kamet				india
			gross sch?rhorn				
			ringelspitz				
europe	4.105		jungfrau				switzerland
		42.66 km	druesberg	177.3	2282	sz	
		38.89 km	mutteristock	164.7	2294	gl/sz	
europe	4.274		finsteraarhorn				switzerland
		44.02 km	hausstock	282.7	3158	gr	
europe	4.049		pik bernina				switzerland/italy
		59.13 km	gemsfairenstock	171.5	29	gl/ur	
		44.22 km	ruchen	160.5	2901	gl	
			gross d?ssi				
europe	3.553		leone				switzerland
			br?nnelistock				
europe	4.327		nadelhorn				switzerland/italy
europe	4.634		monte rosa				italy/switzerland
		51.06 km	bifertenstock durschin	169.6	3419	gl/gr	
europe	4.294		lenspitze				switzerland/italy
			ch?pfenberg				
