69	1	2	3	5	6	1000	1002	3001	3003
"[""T\ufffddi"", ""Glarner T\ufffddi"", ""Piz Russein T\ufffddi"", ""Piz Russein T\ufffddi"", ""T?di"", ""T?di"", ""Glarner T\ufffddi"", ""Piz Russein T\ufffddi"", ""Piz Russein T\ufffddi"", ""T\ufffddi""]"	16.03.2003	[3614, 3586, 3614, 3614.0]	"[""GL/GR"", ""GL"", ""GL/GR"", ""GL/GR""]"	ZS	Alpine Skitour	"[""64.54 km"", ""64.54 km"", ""54.35 km""]"	[172.3, 172.3, 272.6]	Europe	Switzerland
"[""Kamet"", ""Kamet"", NaN, NaN, NaN, ""Kamet"", ""Kamet""]"		[NaN, NaN, NaN]	[NaN, NaN, NaN]			[NaN, NaN]	[NaN, NaN]	"[""Asia"", ""Asia""]"	"[""Tibet/India"", ""India""]"
"[""Monte Rosa"", ""Dufourspitze (Pointe Dufour)"", ""Dufourspitze (Pointe Dufour)"", NaN, NaN, ""Monte Rosa""]"	29.05.2005	[4634, NaN, NaN]	"[""VS"", NaN, NaN]"	S+ II	Alpine Skitour	[NaN, NaN]	[NaN, NaN]	Europe	Italy/Switzerland
"[""Rautispitz"", ""Rautispitz"", ""Rautispitz"", ""Rautispitz"", NaN, NaN]"	03.06.2011	[2283, 2283, NaN]	"[""GL"", ""GL"", NaN]"	T3+	Bergwandern	"[""38.67 km"", NaN]"	[154.4, NaN]		
"[""Hausstock"", ""Hausstock"", ""Hausstock"", NaN, ""Hausstock"", NaN]"	18.02.2003	[3158, NaN, 3158.0]	"[""GR"", NaN, ""GR""]"	S	Skitour	"[NaN, ""44.02 km""]"	[NaN, 282.7]		
"[""Leone"", ""Monte Leone"", ""Monte Leone"", NaN, NaN, ""Leone""]"	22.03.2009	[3553, NaN, NaN]	"[""VS/I"", NaN, NaN]"	ZS III	Alpine Skitour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Eiger"", ""Eiger"", ""Eiger"", NaN, NaN, ""Eiger""]"	02.04.2011	[3970, NaN, NaN]	"[""BE"", NaN, NaN]"	SS+	Alpine Skitour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Galenstock"", ""Gallenstock"", ""Galenstock"", NaN, NaN, ""Gallenstock""]"	26.02.2003	[3586, NaN, NaN]	"[""UR/VS"", NaN, NaN]"	ZS I	Alpine Skitour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Sustenhorn"", ""Sustenhorn"", ""Sustenhorn"", NaN, NaN, ""Sustenhorn""]"	07.05.2009	[3503, NaN, NaN]	"[""BE/UR"", NaN, NaN]"	ZS	Skitour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland
"[""Gemsfairenstock"", ""Gemsfairenstock"", ""Gemsfairenstock"", ""Gemsfairenstock"", NaN, NaN]"	08.03.2003	[2972, 2972, NaN]	"[""GL/UR"", ""GL/UR"", NaN]"	WS+	Skitour	"[""59.13 km"", NaN]"	[171.5, NaN]		
"[""Pik Bernina"", ""Piz Bernina"", ""Piz Bernina"", NaN, NaN, ""Pik Bernina""]"	08.08.2003	[4049, NaN, NaN]	"[""GR"", NaN, NaN]"	ZS III	Hochtour	[NaN, NaN]	[NaN, NaN]	Europe	Switzerland/Italy
