72	2	73	96
"[""DL"", ""DL"", ""DL"", ""DL""]"	"[""Delta Air Lines"", ""Delta Air Lines"", ""Reisegep\ufffdck"", ""Delta Air Lines"", ""Delta Air Lines""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""FQ"", ""FQ"", ""FQ"", ""FQ""]"	"[""Thomas Cook Airlines"", ""Reisegep\ufffdck"", ""Thomas Cook Airlines"", ""Thomas Cook Airlines"", ""Thomas Cook Airlines""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""TA"", ""TA"", ""TA"", ""TA""]"	"[""TACA"", ""Reisegep\ufffdck"", ""TACA"", ""TACA"", ""TACA""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""BY"", ""BY"", ""BY"", ""BY""]"	"[""Thomsonfly"", ""Reisegep\ufffdck"", ""Thomsonfly"", ""Thomsonfly"", ""Thomsonfly""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""MT"", ""MT"", ""MT"", ""MT""]"	"[""Thomas Cook Belgium"", ""Reisegep\ufffdck"", ""Thomas Cook Belgium"", ""Thomas Cook Belgium"", ""Thomas Cook Belgium""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""ZL"", ""ZL"", ""ZL"", ""ZL""]"	"[""Regional Express Airlines"", ""Regional Express Airlines"", ""Reisegep\ufffdck"", ""Regional Express Airlines"", ""Regional Express Airlines""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""QR"", ""QR"", ""QR"", ""QR""]"	"[""Qatar Airways"", ""Qatar Airways"", ""Reisegep\ufffdck"", ""Qatar Airways"", ""Qatar Airways""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""PU"", ""PU"", ""PU"", ""PU""]"	"[""Pluna"", ""Pluna"", ""Reisegep\ufffdck"", ""Pluna"", ""Pluna""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""BI"", ""BI"", ""BI"", ""BI""]"	"[""Royal Brunei Airlines"", ""Royal Brunei Airlines"", ""Reisegep\ufffdck"", ""Royal Brunei Airlines"", ""Royal Brunei Airlines""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
"[""AT"", ""AT"", ""AT"", ""AT""]"	"[""Royal Air Maroc"", ""Royal Air Maroc"", ""Reisegep\ufffdck"", ""Royal Air Maroc"", ""Royal Air Maroc""]"	"[""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn"", ""WebCheckIn""]"	"[""Reisegep\ufffdck"", ""Reisegep\ufffdck"", ""Reisegep\ufffdck""]"
