?	alt (ft)	alt (m)	appears in	area	country	grid ref	guide	height (ft)??	height (m)??	map	no	trips
2	1,360	415	the western fells	w fells	low fell	ny137226	w	1388	423	nw	200	-
1	985	300	the north western fells	nw fells	castle crag	ny249159	nw	978	298	nw	214	-
2			the eastern fells	e fells	catstye cam	ny348158		2920	890		10	-
6	2,581	787	the far eastern fells	far e fells	rampsgill head	ny 303 187	fe	2598	792	ne	39	1234
1	1,224	373	the north western fells	nw fells	ling fell	ny 210 082	nw	1224	373	nw	205	-
5	2,644	806	the western fells	w fells	high stile	ny 169 148	w	2644	806	nw	30	123
1	1,760	536	the eastern fells	e fells	great mell fell	ny 397 254	e	1762	537	ne	155	-
4	2,309	704	the far eastern fells	far e fells	yoke	ny437067	fe	2316	706	se	85	123
1	1,652	504	the eastern fells	e fells	stone arthur	ny 273 006	e	1640	500	se	173	-
1	1,596	486	the western fells	w fells	grike	ny085141	w	1594	486	nw	177	-
3	2,091	637		e fells	little hart crag	ny387100	e	2090	637	ne	119	1
1	1,476	450	the north western fells	nw fells	graystones	ny176266	nw	1483	452	nw	188	-
4	2,920	890	the eastern fells	e fells	nethermost pike	ny343142	e	2923	891	ne	9	1
5	2,770	844	the eastern fells	e fells	stybarrow dodd	ny343189	e	2766	843	ne	21	12
3	1,887	575	the north western fells	nw fells	maiden moor	ny 447 101	nw	1886	575	nw	136	1
4	1,602	488	the southern fells	s fells	green crag	sd200982	s	1604	489	sw	176	12
1	1,410	430	the western fells	w fells	buckbarrow	ny 135 060	w	1329	405	sw	200	-
3	2,035	620	the north western fells	nw fells	causey pike	ny 219 209	nw	2090	637	nw	124	12
	2,502	763			caudale moor	ny 418 100	fe			ne	55	
4	2,603	793	the western fells	w fells	green gable	ny214 107	w	2628	801	nw	35	12
1	1,657	505	the eastern fells	e fells	low pike	ny373078	e	1667	508	se	171	-
1	2,155	656	the eastern fells	e fells	high pike (scandale)	ny374088	e	2152	656	se	108	-
4	2,403	732	the central fells	c fells	harrison stickle	ny 282 074	c	2415	736	sw	69	123
1			the southern fells	s fells	black fell	ny340016		1060	323		212	-
5	1,481	451		nw fells	cat bells	ny244199	nw	1480	451	nw	189	123
1	1,500	457		c fells	great crag	ny270147	c	1476	450	nw	187	-
5	1,776	541	the central fells	c fells	blea rigg	ny 300 079	c	1775	541	sw	151	123
	1,579	481			wansfell	ny 395 045	fe			se	181	
4	2,106	642	the southern fells	s fells	rossett pike	ny 198 202	s	2136	651	sw	115	123
1	1,696	517	the north western fells	nw fells	whinlatter	ny 197 249	nw	1696	517	nw	165	-
3	1,860	567	the north western fells	nw fells	ard crags	ny 207 197	nw	1906	581	nw	136	12
3	2,317	706		nw fells	whiteside	ny170219	nw	2320	707	nw	84	-
	2,634	803			high raise (mardale)	ny 448 134	fe			ne	31	
4	2,266	691	the western fells	w fells	seatallan	ny 286 089	w	2270	692	sw	94	12
