85	0	1	4	71	93	1000	3007	100004	100005	100008	100012
"[""Graystones"", ""Graystones"", ""Graystones"", ""Graystones"", ""Graystones"", ""Graystones"", ""Graystones"", 1496.0, 1483.0, ""Graystones"", ""Graystones"", NaN, NaN]"	"[""1,476"", ""1,476"", 1483, 1483, ""-"", 1483.0, 1483.0, NaN, NaN]"	[450.0, 450, 452, 452.0, 456.0, 452.0, 452.0]	"[""NW"", ""NW""]"	[190, 188, 190.0, 188.0, 66.0, 1.0]	"[""NY177 264"", ""NY176266"", ""NY177 264"", ""NY 17758 26494"", ""NY176266"", NaN]"	"[""The North Western Fells"", NaN, ""NW Fells""]"	-				
"[""Great Calva"", ""Great Calva"", ""Great Calva"", ""Great Calva"", ""Great Calva"", ""Great Calva"", ""Great Calva"", 2264.0, 2264.0, ""Great Calva"", ""Great Calva"", ""Great Calva"", NaN]"	"[""2,265"", ""2,265"", 2264, ""1"", 2264, 2264.0, 2264.0, 2263.0, NaN]"	[690.0, 690, 690, 690.0, 690.0, 690.0, 690.0]	"[""NW"", ""N""]"	[95, 96, 95.0, 96.0, 68.0, 1.0]	"[""NY 291 312"", ""NY290311"", ""NY 291 312"", ""NY 29089 31188"", ""NY290311"", NaN]"	"[""The Northern Fells"", NaN, ""N Fells""]"	1	98.0	95.0	Carrock Fell to Great Calva	
"[""Kentmere Pike"", ""Kentmere Pike"", ""Kentmere Pike"", ""Kentmere Pike"", ""Kentmere Pike"", ""Kentmere Pike"", ""Kentmere Pike"", 2395.0, 2395.0, ""Kentmere Pike"", ""Kentmere Pike"", ""Kentmere Pike"", NaN]"	"[""2,397"", 2395, ""2,397"", ""123"", 2395, 2395.0, 2395.0, 2394.0, NaN]"	[731.0, 730, 731, 730.0, 730.0, 730.0, 730.0]	"[""SE"", ""FE""]"	[72, 72, 72.0, 72.0, 117.0, 1.0]	"[""NY465077"", ""NY 466 078"", ""NY 466 078"", ""NY 46565 07792"", ""NY465077"", NaN]"	"[""The Far Eastern Fells"", NaN, ""Far E Fells""]"	123	75.0	72.0	A Kentmere Horseshoe & A Longsleddale Round 	
"[""Esk Pike"", ""Esk Pike"", ""Esk Pike"", ""Esk Pike"", ""Esk Pike"", ""Esk Pike"", ""Esk Pike"", 2904.0, 2904.0, ""Esk Pike"", ""Esk Pike"", ""Esk Pike"", NaN]"	"[""2,903"", 2904, ""2,903"", ""12345"", 2904, 2904.0, 2904.0, 2903.0, NaN]"	[885.0, 885, 885, 885.0, 885.0, 885.0, 885.0]	"[""SW"", ""S""]"	[11, 11, 11.0, 11.0, 53.0, 1.0]	"[""NY236075"", ""NY 230 075"", ""NY 230 075"", ""NY 23670 07529"", ""NY236075"", NaN]"	"[""The Southern Fells"", NaN, ""S Fells""]"	12345	14.0	11.0	Bowfell and the Scafells & Scafell Pike from Langdale & Pike o'Blisco to Esk Pike & Peakbagging from Langdale	
"[""Eel Crag (Crag Hill)"", ""Eel Crag (Crag Hill)"", ""Crag Hill (Eel Crag)"", ""Crag Hill (Eel Crag)"", ""Crag Hill [Eel Crag]"", ""Eel Crag (Crag Hill)"", ""Crag Hill (Eel Crag)"", ""Crag Hill [Eel Crag]"", ""Eel Crag (Crag Hill)"", 2753.0, 2753.0, ""Crag Hill (Eel Crag)"", NaN, NaN, NaN]"	"[""2,749"", ""2,749"", ""2,749"", ""2,749"", 2753, ""12"", 2753, 2753.0, NaN, NaN, NaN]"	[838, 838, 838, 838, 839, 839.0, 839.0, 839.0, NaN]	"[""NW"", ""NW"", ""NW"", ""NW""]"	[24, 24, 24, 24, 24, 24.0, 52.0, NaN]	"[""NY 193 203"", ""NY 193 203"", ""NY192203"", ""NY 193 203"", ""NY 193 203"", ""NY 19267 20364"", ""NY192203"", NaN]"	"[""The North Western Fells"", NaN, ""NW Fells""]"	12				
"[""Eagle Crag"", ""Eagle Crag"", ""Eagle Crag"", ""Eagle Crag"", ""Eagle Crag"", ""Eagle Crag"", ""Eagle Crag"", 1706.0, 1722.0, ""Eagle Crag"", ""Eagle Crag"", ""Eagle Crag"", NaN]"	"[""1,650"", 1722, ""1,650"", ""-"", 1722, 1722.0, 1722.0, 1706.0, NaN]"	[503, 525, 503, 525.0, 520.0, 525.0, 525.0]	"[""NW"", ""C""]"	[160, 174, 174, 160.0, 51.0, 1.0]	"[""NY276121"", ""NY 275 121"", ""NY 275 121"", ""NY 27535 12098"", ""NY276121"", NaN]"	"[""The Central Fells"", NaN, ""C Fells""]"	-	176.0	164.0		
"[""Dow Crag"", ""Dow Crag"", ""Dow Crag"", ""Dow Crag"", ""Dow Crag"", ""Dow Crag"", ""Dow Crag"", 2552.0, 2552.0, ""Dow Crag"", ""Dow Crag"", ""Dow Crag"", ""Dow Crag""]"	"[""2,555"", 2552, ""2,555"", ""1"", 2552, 2552.0, 2552.0, 2552.0, 2553.0]"	[779, 778, 779, 778.0, 778.0, 778.0, 778.0]	"[""SW"", ""S""]"	[47, 47, 47, 47.0, 50.0, 1.0]	"[""SD262977"", ""SD 262 977"", ""SD 262 977"", ""SD 26254 97794"", ""SD262977"", 778.0]"	"[""The Southern Fells"", NaN, ""S Fells""]"	1	50.0	47.0	Coniston Fells I & Coniston Fells II	SD 263978
"[""Froswick"", ""Froswick"", ""Froswick"", ""Froswick"", ""Froswick"", ""Froswick"", ""Froswick"", 2362.0, 2362.0, ""Froswick"", ""Froswick"", ""Froswick"", NaN]"	"[""2,339"", 2362, ""2,339"", ""123"", 2362, 2362.0, 2362.0, 2362.0, NaN]"	[713, 720, 713, 720.0, 720.0, 720.0, 720.0]	"[""SE"", ""FE""]"	[77, 80, 80, 77.0, 57.0, 1.0]	"[""NY435085"", ""NY 435 085"", ""NY 435 085"", ""NY 43519 08518"", ""NY435085"", NaN]"	"[""The Far Eastern Fells"", NaN, ""Far E Fells""]"	123	80.0	77.0	A Kentmere Horseshoe & Yoke Spur and Caudale Moor	
"[""Fleetwith Pike"", ""Fleetwith Pike"", ""Fleetwith Pike"", ""Fleetwith Pike"", ""Fleetwith Pike"", ""Fleetwith Pike"", ""Fleetwith Pike"", 2126.0, 2126.0, ""Fleetwith Pike"", ""Fleetwith Pike"", ""Fleetwith Pike"", NaN]"	"[""2,126"", ""2,126"", 2126, 2126, ""123"", 2126.0, 2126.0, 2125.0, NaN]"	[648, 648, 648, 648.0, 648.0, 648.0, 648.0]	"[""NW"", ""W""]"	[114, 116, 114, 116.0, 56.0, 1.0]	"[""NY 205 142"", ""NY205141"", ""NY 205 142"", ""NY 20587 14167"", ""NY205141"", NaN]"	"[""The Western Fells"", NaN, ""W Fells""]"	123	119.0	116.0		
"[""Fellbarrow"", ""Fellbarrow"", ""Fellbarrow"", ""Fellbarrow"", NaN, ""Fellbarrow"", 1365.0, 1365.0, ""Fellbarrow"", ""Fellbarrow"", ""Fellbarrow"", NaN]"	"[""1,363"", ""1,363"", 1365, ""-"", NaN, 1365.0, 1364.0, NaN]"	[415, 415, 416, NaN, 416.0, 416.0, 416.0]	"[""NW"", ""W""]"	[199, 198, 199, 198.0, 55.0, 1.0]	"[""NY132 243"", ""NY132242"", ""NY132 243"", ""NY 13219 24245"", ""NY132242"", NaN]"	"[NaN, NaN, ""W Fells""]"	-	219.0	199.0		
