0	1	8	9	20	21	22	23	2004	2005
"[""Portland International Airport"", ""Portland International Airport"", ""Portland International Airport"", ""Portland International Airport"", NaN]"	"[""Portland"", ""Portland""]"	"[""OR"", ""OR"", ""OR""]"	"[""PDX"", ""PDX"", ""PDX""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Lehigh Valley International Airport"", ""Lehigh Valley International Airport"", ""Lehigh Valley International Airport"", ""Lehigh Valley International Airport"", NaN]"	"[""Allentown"", ""Allentown""]"	"[""PA"", ""PA"", ""PA""]"	"[""ABE"", ""ABE"", ""ABE""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Harrisburg International Airport"", ""Harrisburg International Airport"", ""Harrisburg International Airport"", ""Harrisburg International Airport"", NaN]"	"[""Harrisburg"", ""Harrisburg""]"	"[""PA"", ""PA"", ""PA""]"	"[""MDT"", ""MDT"", ""MDT""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Philadelphia International Airport"", ""Philadelphia International Airport"", ""Philadelphia International Airport"", ""Philadelphia International Airport"", ""Philadelphia International Airport"", ""Philadelphia International Airport""]"	"[""Philadelphia"", ""Philadelphia""]"	"[""PA"", ""PA"", ""PA""]"	"[""PHL"", ""PHL"", ""PHL""]"	"[""Philadelphia, Pennsylvania, United States"", ""Philadelphia, Pennsylvania, United States""]"	"[""PHL/KPHI"", ""PHL/KPHI""]"	"[37.0, ""3.7%""]"	"[""30,669,564"", ""30,669,564""]"	37.0	
"[""Pittsburgh International Airport"", ""Pittsburgh International Airport"", ""Pittsburgh International Airport"", ""Pittsburgh International Airport"", NaN]"	"[""Pittsburgh"", ""Pittsburgh""]"	"[""PA"", ""PA"", ""PA""]"	"[""PIT"", ""PIT"", ""PIT""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""T.F. Green Airport"", ""T.F. Green Airport"", ""T.F. Green Airport"", ""T.F. Green Airport"", NaN]"	"[""Providence"", ""Providence""]"	"[""RI"", ""RI"", ""RI""]"	"[""PVD"", ""PVD"", ""PVD""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Charleston International Airport"", ""Charleston International Airport"", ""Charleston International Airport"", ""Charleston International Airport"", NaN]"	"[""Charleston"", ""Charleston""]"	"[""SC"", ""SC"", ""SC""]"	"[""CHS"", ""CHS"", ""CHS""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Columbia Metropolitan Airport"", ""Columbia Metropolitan Airport"", ""Columbia Metropolitan Airport"", ""Columbia Metropolitan Airport"", NaN]"	"[""Columbia"", ""Columbia""]"	"[""SC"", ""SC"", ""SC""]"	"[""CAE"", ""CAE"", ""CAE""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Greenville/Spartanburg Airport"", ""Greenville/Spartanburg Airport"", ""Greenville/Spartanburg Airport"", ""Greenville/Spartanburg Airport"", NaN]"	"[""Greenville"", ""Greenville""]"	"[""SC"", ""SC"", ""SC""]"	"[""GSP"", ""GSP"", ""GSP""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Honolulu International Airport"", ""Honolulu International Airport"", ""Honolulu International Airport"", ""Honolulu International Airport"", NaN]"	"[""Honolulu"", ""Honolulu""]"	"[""HI"", ""HI"", ""HI""]"	"[""HNL"", ""HNL"", ""HNL""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Hilo International Airport"", ""Hilo International Airport"", ""Hilo International Airport"", ""Hilo International Airport"", NaN]"	"[""Hilo"", ""Hilo""]"	"[""HI"", ""HI"", ""HI""]"	"[""ITO"", ""ITO"", ""ITO""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Hobby Airport"", ""Hobby Airport"", ""Hobby Airport"", ""Hobby Airport"", NaN]"	"[""Houston"", ""Houston""]"	"[""TX"", ""TX"", ""TX""]"	"[""HOU"", ""HOU"", ""HOU""]"	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		
"[""Bush Intercontinental Airport"", ""Bush Intercontinental Airport"", ""Bush Intercontinental Airport"", ""George Bush Intercontinental Airport"", ""Bush Intercontinental Airport"", ""George Bush Intercontinental Airport""]"	"[""Houston"", ""Houston""]"	"[""TX"", ""TX"", ""TX""]"	"[""IAH"", ""IAH"", ""IAH""]"	"[""Houston, Texas, United States"", ""Houston, Texas, United States""]"	"[""IAH/KIAH"", ""IAH/KIAH""]"	"[18.0, ""4.1%""]"	"[""40,007,354"", ""40,007,354""]"	18.0	2.0
