16	area in sq miles	location	länge-(km)	residence time	water gauge	water temperature
lake superior	31,700	north america	canada, united states	0000191.000191 years		
walensee					419.97 m	13 ?c
lake huron	23,000	north america	canada, united states	0000022.00022 years		
lake erie	9,910	north america	canada, united states	0000002.6002.6 years		
lake lucerne					433.70 m	13 ?c
iliamna-lake						
lake vostok		nan	antarctica	13300.00013,300 years		
lake zurich					405.85 m	13 ?c
lac-seul						
lake lugano					nan	17 ?c
lake st. clair	430	great lakes	canada, united states	000000.0197 days (2-30 days)		
p?ij?nne		nan	finland	0000002.5002.5 years		
chankasee						
lake constance					nan	16 ?c
greifensee		canton of zurich	switzerland	0000001.118408 days	435.16 m	17 ?c
lake biel					429.36 m	15 ?c
lake ontario	7,340	north america	canada, united states	0000006.0006 years		
lake michigan	22,300	il-in-mi-wi	united states	0000099.00099 years		
lake thun					557.75 m	12 ?c
lake brienz					564.17 m	13 ?c
lake-of-the-woods						
lake neuch?tel					429.33 m	15 ?c
lake champlain	490	north america	canada, united states	0000003.3003.3 years		
lake-nipigon						
lake murten					429.33 m	13 ?c
lake maggiore					194.01 m	17 ?c
great bear lake		northwest territories	canada	0000124.000124 years		
lake geneva		switzerland, france	switzerland, france	0000011.40011.4 years	nan	13 ?c
lake zug					413.50 m	13 ?c
