16	0	2	3	15	17	47	63	5001	5004	5006	100004	100005	100006	100009	100011	100012	100028
"[""Lake Biel / Bielersee / Lac de Bienne"", ""Lake Biel"", ""Lake Biel"", NaN, ""Lake Biel"", ""Lake Biel"", NaN, ""Lake Biel / Bielersee / Lac de Bienne"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""14 ?C"", ""15 ?C"", ""15 ?C"", ""14 ?C""]"	"[""429.36 m"", ""429.38 m"", ""429.38 m"", ""429.36 m""]"	"[""Canton of Berne"", NaN, NaN, ""Switzerland"", ""Canton of Berne""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake Erie"", ""Lake Erie"", ""Eriesee"", ""Lake Erie"", NaN, NaN, ""Eriesee"", ""Lake Erie"", ""Lake Erie"", NaN, NaN, NaN]"	174.0	not available	"[""12 800*"", ""12 800*"", ""9,910\u00a0sq\u00a0mi (25,700\u00a0km2)"", NaN, 64.0]"	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""North America"", NaN, ""USA-Kanada"", ""Canada, United States"", ""North America""]"	"[174, ""64"", 64, ""571\u00a0ft (174\u00a0m)"", NaN]"	"[388, ""Lake Erie""]"	[11.0, NaN]	"[489, ""116\u00a0cu\u00a0mi (480\u00a0km3)""]"	62 ft (19 m)	"[""210\u00a0ft (64\u00a0m)"", NaN, 388.0]"	['Buffalo, NY','Erie, PA','Cleveland, OH','Lorain, OH','Toledo, OH','Sandusky, OH']				
"[""Great Bear Lake"", ""Gro?er-B?rensee"", NaN, NaN, NaN, ""Gro?er-B?rensee"", ""Great Bear Lake"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""Northwest Territories"", NaN, ""Kanada"", ""Canada"", ""Northwest Territories""]"	[446, 446, NaN, NaN]	[373, NaN]	[8.0, NaN]	[2236, NaN]		[NaN, NaN, NaN]					
"[""Lake Michigan"", ""Michigansee"", NaN, NaN, NaN, ""Michigansee"", ""Lake Michigan"", ""Lake Michigan"", NaN, NaN, NaN]"			"[NaN, NaN, ""22,300\u00a0sq\u00a0mi (58,000\u00a0km2)"", NaN, 282.0]"	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""United States"", NaN, ""USA"", ""United States"", ""United States""]"	"[282, 282, ""577\u00a0ft (176\u00a0m)"", NaN]"	"[517, ""Lake Michigan""]"	[5.0, NaN]	"[4918, ""1,180\u00a0cu\u00a0mi (4,900\u00a0km3)""]"	279 ft (85 m)	"[""925\u00a0ft (282\u00a0m)"", NaN, 494.0]"	['Chicago, IL','Gary, IN','Green Bay, WI','Sheboygan, WI','Milwaukee, WI','Kenosha, WI','Racine, WI','Muskegon, MI','Traverse City, MI']				
"[""Lake Brienz / Brienzersee"", ""Lake Brienz"", ""Lake Brienz"", NaN, ""Lake Brienz"", ""Lake Brienz"", NaN, ""Lake Brienz / Brienzersee"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""13 ?C"", ""13 ?C"", ""13 ?C"", ""13 ?C""]"	"[""564.10 m"", ""564.17 m"", ""564.17 m"", ""564.10 m""]"	"[""Canton of Berne"", NaN, NaN, ""Switzerland"", ""Canton of Berne""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake Constance / Bodensee"", ""Lake Constance"", ""Lake Constance"", NaN, ""Lake Constance"", ""Lake Constance"", NaN, ""Lake Constance / Bodensee"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	"[""14 ?C"", ""16 ?C"", ""16 ?C"", ""14 ?C""]"	[NaN, NaN, NaN, NaN]	"[""Germany, Switzerland, Austria"", NaN, NaN, ""Germany, Switzerland, Austria, Liechtenstein"", ""Germany, Switzerland, Austria""]"	[NaN, NaN, NaN, NaN]	[NaN, NaN]	[NaN, NaN]	[NaN, NaN]		[NaN, NaN, NaN]					
"[""Lake-of-the-Woods"", ""Lake of the Woods"", ""Lake of the Woods"", NaN, NaN, ""Lake-of-the-Woods"", NaN, NaN, NaN, NaN, NaN]"	323.0	2 458	"[""3 150"", ""3 150"", NaN, NaN, NaN]"	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[NaN, NaN, ""Kanada-USA"", NaN, NaN]"	"[""-"", 323, ""-"", NaN, NaN]"	[120, NaN]	[36.0, NaN]	"[""-"", NaN]"		[NaN, NaN, NaN]					
"[""Chankasee"", ""Khanka Lake"", NaN, NaN, NaN, ""Chankasee"", ""Khanka Lake"", NaN, NaN, NaN, NaN]"			[NaN, NaN, NaN, NaN, NaN]	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""Heilongjiang Province, China and Primorsky Krai, Russia"", NaN, ""Russland VR-China"", ""China, Russia"", ""Heilongjiang Province, China and Primorsky Krai, Russia""]"	"[""-"", ""-"", NaN, NaN]"	[80, NaN]	[35.0, NaN]	"[""-"", NaN]"		[NaN, NaN, NaN]					
"[""Lake-Nipigon"", ""Lake Nipigon"", ""Lake Nipigon"", NaN, NaN, ""Lake-Nipigon"", NaN, NaN, NaN, NaN, NaN]"	260.0	4 510	"[""4 848"", ""4 848"", NaN, NaN, NaN]"	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[NaN, NaN, ""Kanada"", NaN, NaN]"	"[""165"", 260, 165, NaN, NaN]"	"[""-"", NaN]"	[32.0, NaN]	"[""-"", NaN]"		[NaN, NaN, NaN]					
"[""Lake St. Clair"", ""Lake St. Clair"", ""Lake-St.Clair"", ""Lake St. Clair"", NaN, NaN, ""Lake-St.Clair"", ""Lake St. Clair"", NaN, NaN, NaN, NaN]"	175.0	436	[490, 490, NaN, NaN, NaN]	[NaN, NaN, NaN]	[NaN, NaN, NaN]	"[""Great Lakes"", NaN, ""Kanada-USA"", ""Canada, United States"", ""Great Lakes""]"	"[175, ""8,2"", ""8,2"", NaN, NaN]"	[42, NaN]	[94.0, NaN]	[4, NaN]		[NaN, NaN, NaN]					
