19	abun- dance	category	scientific name	season
bald eagle	r	bird	haliaeetus leucocephalus	b
american goldfinch	c	bird	carduelis tristis	b
killdeer	c	bird	charadrius vociferus	b
northern mockingbird	u	bird	mimus polyglottos	b
acadian flycatcher		bird	empidonax virescens	b
mallard	c	bird	anas platyrhynchos	b
house wren	u	bird	troglodytes aedon	b
black-throated green warbler		bird	dendroica virens	b
whip-poor-will		bird	caprimulgus vociferus	b
ruddy duck	fc	bird	oxyura jamaicensis	w
american tree sparrow		bird	spizella arborea	w
black-billed cuckoo		bird	coccyzus erythropthalmus	b
barred owl		bird	strix varia	b
nashville warbler	u	bird	vermivora ruficapilla	
black-crowned night-heron	u		nycticorax nycticorax	b
red-eyed vireo		bird	vireo olivaceus	b
swainson's thrush	c	bird	catharus ustulatus	
wild turkey	c	bird	meleagris gallopavo	b
great blue heron	c	bird	ardea herodias	b
great crested flycatcher		bird	myiarchus crinitus	b
ring-billed gull	c		larus delawarensis	w
golden-crowned kinglet	u	bird	regulus satrapa	w
chestnut-sided warbler		bird	dendroica pensylvanica	b
brown thrasher		bird	toxostoma rufum	b
eastern phoebe		bird	sayornis phoebe	b
northern cardinal		bird	cardinalis cardinalis	b
gray-cheeked thrush		bird	catharus minimus	
hairy woodpecker	c	bird	picoides villosus	b
common starling				
least flycatcher		bird	empidonax minimus	b
louisiana waterthrush		bird	seiurus motacilla	b
purple finch	u	bird	carpodacus purpureus	w
wood thrush		bird	hylocichla mustelina	b
cattle egret	r	bird	bubulcus ibis	b
warbling vireo	c	bird	vireo gilvus	b
winter wren	c	bird	troglodytes troglodytes	w
gray catbird		bird	dumetella carolinensis	b
common pigeon				
worm-eating warbler		bird	helmitheros vermivorus	b
palm warbler	r	bird	dendroica palmarum	
peregrine falcon	u		falco peregrinus	b
golden-winged warbler		bird	vermivora chrysoptera	b
american cliff swallow				
american crow		bird	corvus brachyrhynchos	b
red-headed woodpecker		bird	melanerpes erythrocephalus	b
mourning dove	c	bird	zenaida macroura	b
american coot	c	bird	fulica americana	w
house sparrow	fc	bird	passera domesticus	
yellow-billed cuckoo		bird	coccyzus americanus	b
eastern bluebird		bird	sialia sialis	b
common yellowthroat	fc	bird	geothlypis trichas	b
northern rough-winged swallow	fc	bird	stelgidopteryx serripennis	b
broad-winged hawk	r	bird	buteo platypterus	b
red-bellied woodpecker		bird	melanerpes carolinus	b
merlin	u	bird	falco columbarius	
downy woodpecker	c	bird	picoides pubescens	b
veery		bird	catharus fuscescens	b
brown-headed cowbird	c	bird	molothrus ater	b
bewick's wren	u	bird	thryomanes bewickii	b
prothonotary warbler		bird	protonotaria citrea	b
short-eared owl			asio flammeus	b
sharp-shinned hawk	u	bird	accipiter striatus	b
field sparrow		bird	spizella pusilla	b
white-breasted nuthatch	u	bird	sitta carolinensis	b
summer tanager		bird	piranga rubra	b
barn swallow	c	bird	hirundo rustica	b
red-breasted nuthatch	fc	bird	sitta canadensis	b
chimney swift		bird	chaetura pelagica	b
yellow-throated warbler		bird	dendroica dominica	b
dark-eyed junco	c	bird	junco hyemalis	b
osprey	c	bird	pandion haliaetus	b
pied-billed grebe	u	bird	podilymbus podiceps	b
sora	r	bird	porzana carolina	
blue jay		bird	cyanocitta cristata	b
dickcissel		bird	spiza americana	b
pileated woodpecker	fc	bird	dryocopus pileatus	b
kentucky warbler		bird	oporornis formosus	b
orange-crowned warbler	c	bird	vermivora celata	
canada goose	c	bird	branta canadensis	b
yellow-rumped warbler	c	bird	dendroica coronata	w
yellow-bellied sapsucker		bird	sphyrapicus varius	w
cooper's hawk	u	bird	accipiter cooperii	b
willow flycatcher	r	bird	empidonax traillii	b
carolina chickadee		bird	poecile carolinensis	b
white-throated sparrow	x	bird	zonotrichia albicollis	w
common grackle		bird	quiscalus quiscula	b
scarlet tanager		bird	piranga olivacea	b
indigo bunting		bird	passerina cyanea	b
baltimore oriole		bird	icterus galbula	b
northern flicker	c	bird	colaptes auratus	b
cedar waxwing	fc	bird	bombycilla cedrorum	b
eastern wood pewee				
chuck-will's-widow		bird	caprimulgus carolinensis	b
american yellow warbler				
virginia rail	r	bird	rallus limicola	
orchard oriole		bird	icterus spurius	b
green heron	u	bird	butorides virescens	b
great egret	fc	bird	ardea alba	b
pine warbler		bird	dendroica pinus	b
tree swallow	fc	bird	tachycineta bicolor	b
white-crowned sparrow	c	bird	zonotrichia leucophrys	w
great horned owl	u	bird	bubo virginianus	b
black-and-white warbler		bird	mniotilta varia	b
tufted titmouse		bird	baeolophus bicolor	b
turkey vulture	c	bird	cathartes aura	b
american kestrel	fc	bird	falco sparverius	b
yellow-breasted chat	r	bird	icteria virens	b
red-tailed hawk	c	bird	buteo jamaicensis	b
canada warbler		bird	wilsonia canadensis	b
red-shouldered hawk	fc	bird	buteo lineatus	b
northern bobwhite		bird	colinus virginianus	b
northern parula		bird	parula americana	b
american pipit	fc		anthus rubescens	
american robin	c	bird	turdus migratorius	b
