19	2	18	67	74	94	2000	5000	8002
"[""Blackburnian warbler"", ""Blackburnian Warbler"", ""BLACKBURNIAN WARBLER"", ""Blackburnian Warbler"", NaN, NaN, NaN, ""Blackburnian warbler"", NaN, NaN, NaN, ""Blackburnian Warbler"", ""Blackburnian Warbler"", ""BLACKBURNIAN WARBLER""]"		"[""Dendroica fusca"", ""Dendroica fusca"", NaN, ""Dendroica fusca"", NaN, NaN, ""Dendroica"", ""Dendroica"", ""Dendroica fusca""]"	"[""fusca"", ""fusca"", ""fusca"", ""fusca""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Dendroica"", ""Dendroica""]"	Bird		b
"[""Black-and-white warbler"", ""BLACK-AND-WHITE WARBLER"", ""Black-and-white Warbler"", ""Black-and-white Warbler"", NaN, NaN, NaN, ""Black-and-white warbler"", NaN, NaN, NaN, ""Black-and-white Warbler"", ""Black-and-white Warbler"", ""BLACK-AND-WHITE WARBLER""]"		"[""Mniotilta varia"", ""Mniotilta varia"", NaN, ""Mniotilta varia"", NaN, NaN, ""Mniotilta"", ""Mniotilta"", ""Mniotilta varia""]"	"[""varia"", ""varia"", ""varia"", ""varia""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Mniotilta"", ""Mniotilta""]"	Bird		b
"[""Black-billed cuckoo"", ""Black-billed Cuckoo"", ""Black-billed Cuckoo"", ""BLACK-BILLED CUCKOO"", NaN, NaN, NaN, ""Black-billed cuckoo"", NaN, NaN, NaN, ""Black-billed Cuckoo"", ""Black-billed Cuckoo"", ""BLACK-BILLED CUCKOO""]"		"[""Coccyzus erythropthalmus"", ""Coccyzus erythropthalmus"", NaN, ""Coccyzus erythropthalmus"", NaN, NaN, ""Coccyzus"", ""Coccyzus"", ""Coccyzus erythropthalmus""]"	"[""erythrophthalmus"", ""erythrophthalmus"", ""erythrophthalmus"", ""erythrophthalmus""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Coccyzus"", ""Coccyzus""]"	Bird		b
"[""Lark Sparrow"", ""Lark sparrow"", ""Lark Sparrow"", ""LARK SPARROW"", NaN, NaN, NaN, ""Lark sparrow"", NaN, NaN, NaN, ""Lark Sparrow"", ""Lark Sparrow"", ""LARK SPARROW""]"		"[""Chondestes grammacus"", ""Chondestes grammacus"", NaN, ""Chondestes grammacus"", NaN, NaN, ""Chondestes"", ""Chondestes"", ""Chondestes grammacus""]"	"[""grammacus"", ""grammacus"", ""grammacus"", ""grammacus""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Chondestes"", ""Chondestes""]"	Bird		b
"[""Eastern Towhee"", ""Eastern towhee"", ""EASTERN TOWHEE"", ""EASTERN TOWHEE"", ""Eastern Towhee"", NaN, NaN, NaN, ""Eastern towhee"", NaN, NaN, NaN, ""Eastern Towhee"", ""Eastern Towhee"", ""EASTERN TOWHEE"", ""EASTERN TOWHEE""]"		"[""Pipilo erythrophthalmus"", ""Pipilo erythrophthalmus"", ""Pipilo erythrophthalmus"", NaN, ""Pipilo erythrophthalmus"", NaN, NaN, ""Pipilo"", ""Pipilo"", ""Pipilo erythrophthalmus"", ""Pipilo erythrophthalmus""]"	"[""erythrophthalmus"", ""erythrophthalmus"", ""erythrophthalmus"", ""erythrophthalmus""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Pipilo"", ""Pipilo""]"	Bird		"[""w"", ""b""]"
"[""Green heron"", ""Green Heron"", ""Green Heron"", ""GREEN HERON"", ""Green Heron"", NaN, NaN, NaN, ""Green heron"", NaN, NaN, ""Green Heron"", ""Green Heron"", ""Green Heron"", ""GREEN HERON""]"		"[""Butorides virescens"", ""Butorides virescens"", ""Butorides virescens"", NaN, ""Butorides virescens"", NaN, ""Butorides virescens"", ""Butorides"", ""Butorides"", ""Butorides virescens""]"	"[""virescens"", ""virescens"", ""virescens"", ""virescens""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Butorides"", ""Butorides""]"	Bird	U	b
"[""ROSE-BREASTED GROSBEAK"", ""Rose-breasted Grosbeak"", ""Rose-breasted grosbeak"", ""Rose-breasted Grosbeak"", ""Rose-breasted Grosbeak"", NaN, NaN, NaN, ""Rose-breasted grosbeak"", NaN, NaN, ""Rose-breasted Grosbeak"", ""Rose-breasted Grosbeak"", ""Rose-breasted Grosbeak"", ""ROSE-BREASTED GROSBEAK""]"		"[""Pheucticus ludovicianus"", ""Pheucticus ludovicianus"", ""Pheucticus ludovicianus"", NaN, ""Pheucticus ludovicianus"", NaN, ""Pheucticus ludovicianus"", ""Pheucticus"", ""Pheucticus"", ""Pheucticus ludovicianus""]"	"[""ludovicianus"", ""ludovicianus"", ""ludovicianus"", ""ludovicianus""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Pheucticus"", ""Pheucticus""]"	Bird	X	b
"[""NORTHERN CARDINAL"", ""NORTHERN CARDINAL"", ""Northern Cardinal"", ""Northern cardinal"", ""Northern Cardinal"", NaN, NaN, NaN, ""Northern cardinal"", NaN, NaN, NaN, ""Northern Cardinal"", ""Northern Cardinal"", ""NORTHERN CARDINAL"", ""NORTHERN CARDINAL""]"		"[""Cardinalis cardinalis"", ""Cardinalis cardinalis"", ""Cardinalis cardinalis"", NaN, ""Cardinalis cardinalis"", NaN, NaN, ""Cardinalis"", ""Cardinalis"", ""Cardinalis cardinalis"", ""Cardinalis cardinalis""]"	"[""cardinalis"", ""cardinalis"", ""cardinalis"", ""cardinalis""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Cardinalis"", ""Cardinalis""]"	Bird		"[""b"", ""w""]"
"[""Scarlet tanager"", ""SCARLET TANAGER"", ""Scarlet Tanager"", ""Scarlet Tanager"", NaN, NaN, NaN, ""Scarlet tanager"", NaN, NaN, NaN, ""Scarlet Tanager"", ""Scarlet Tanager"", ""SCARLET TANAGER""]"		"[""Piranga olivacea"", ""Piranga olivacea"", NaN, ""Piranga olivacea"", NaN, NaN, ""Piranga"", ""Piranga"", ""Piranga olivacea""]"	"[""olivacea"", ""olivacea"", ""olivacea"", ""olivacea""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Piranga"", ""Piranga""]"	Bird		b
"[""Indigo bunting"", ""INDIGO BUNTING"", ""Indigo Bunting"", ""Indigo Bunting"", NaN, NaN, NaN, ""Indigo bunting"", NaN, NaN, NaN, ""Indigo Bunting"", ""Indigo Bunting"", ""INDIGO BUNTING""]"		"[""Passerina cyanea"", ""Passerina cyanea"", NaN, ""Passerina cyanea"", NaN, NaN, ""Passerina"", ""Passerina"", ""Passerina cyanea""]"	"[""cyanea"", ""cyanea"", ""cyanea"", ""cyanea""]"	"[""LC"", ""LC"", ""LC"", ""LC""]"	"[""Passerina"", ""Passerina""]"	Bird		b
