capitale	länge-(km)	pictures
atlanta, ge	nationsbank plaza	nan
tianjin	tianjin radio and tv tower	[1] [2]
	al faisaliyah center	
	the center	
	tuntex sky tower	
	the trump building	
	yokohama landmark tower	
los angeles, ca	library tower	[1]
new york, ny	chrysler building	[1]
san francisco, ca	transamerica pyramid	[1]
new york, ny	world trade center	nan
dallas, tx	bankof america plaza	[1]
new york, ny	american international building	nan
osaka	rinku gate tower	nan
	oub centre [one raffles place]	
bangkok	baiyoke tower ii	[1]
	suntrust plaza [suntrust plaza]	
houston, tx	texas commerce tower	nan
	citic plaza [citic plaza]	
	menara telekom	
	one liberty place [liberty place]	
	burj khalifa	
	citigroup center	
hong kong	2 international finance centre	nan
	commerzbank tower [geb�udekomplex commerzbank ag]	
dubai	burj al arab hotel	[1]
houston, tx	first interstate bank plaza	nan
hong kong	bank of china	[1]
chicago, il	john hancock center	[1] [2]
	columbia center	
	willis tower	
taipei	taipei 101	nan
new york, ny	empire state building	[1] [2]
chicago, il	311 south wacker	[1]
	key tower [key center]	
	two prudential plaza [prudential plaza]	
osaka	osaka world trade center	nan
new york, ny	woolworth building	[1] [2]
	metropolitan life tower	
shanghai	jin mao tower	[1]
shenzen	shun hing square	[1]
	aon center	
pyongyang	ryugyong hotel	[1] [2]
kuala lumpur	petronas towers	[1] [2] [3] [4]
hong kong	central plaza	[1] [2] [3]
	messeturm	
