24	0	1	3	4	25	1000	2001	2005
"[""Petronas Tower 1 [Petronas Towers]"", ""Petronas Tower 2 [Petronas Towers]"", ""Petronas Towers"", ""Petronas Towers"", ""Petronas Tower 1 [Petronas Towers]"", ""Petronas Tower 2 [Petronas Towers]"", ""Petronas Towers"", ""Petronas Towers""]"	[6, 7]	[88, 88, 88, 88, 88, 88.0]	"[""1.483 ft"", ""1.483 ft"", ""1.483 ft"", ""1.483 ft"", ""452 m"", ""452 m"", 1480, 451.0]"	"[1998.0, 1998.0, 1998.0, 1998.0, ""1998 - 2004""]"	"[""Kuala Lumpur"", ""Kuala Lumpur"", ""Kuala Lumpur"", ""Kuala Lumpur"", ""Kuala Lumpur"", ""Kuala Lumpur"", ""Kuala Lumpur"", ""Kuala Lumpur""]"	1998 - 2004	Malaysia	[1] [2] [3] [4]
"[""Burj Khalifa"", ""Burj Khalifa"", ""Burj Khalifa"", ""Burj Khalifa"", NaN]"	1	[163, 163, 163, 163.0]	"[""2.717 ft"", ""2.717 ft"", ""828 m"", ""828 m"", NaN, NaN]"	"[2010.0, 2010.0, ""2007 - Heute""]"	"[""Dubai"", ""Dubai"", ""Dubai"", ""Dubai"", NaN]"	2007 - Heute		
"[""Taipei 101"", ""Taipei 101"", ""Taipei 101"", ""Taipei 101"", ""Taipei 101"", ""Taipei 101""]"	3	[101, 101, 101, 101.0]	"[""1.671 ft"", ""1.671 ft"", ""509 m"", ""509 m"", ""-"", 502.0]"	"[2004.0, 2004.0, ""2004 - 2007""]"	"[""Taipei"", ""Taipei"", ""Taipei"", ""Taipei"", ""Taipei"", ""Taipei""]"	2004 - 2007	Taiwan	
"[""Bank of China Tower"", ""Bank of China"", ""Bank of China Tower"", NaN, ""Bank of China""]"	26	[70, 70, NaN]	"[""1.205 ft"", ""1.205 ft"", NaN, 1211, 369.0]"	[1990.0, 1990.0]	"[""Hong Kong"", ""Hong Kong"", ""Hong Kong"", NaN, ""Hong Kong""]"		P.R. China	[1]
"[""Yokohama Landmark Tower"", ""Landmark Tower"", ""Yokohama Landmark Tower"", NaN, ""Landmark Tower""]"	81	[73, 73, NaN]	"[""972 ft"", ""972 ft"", NaN, 971, 296.0]"	[1993.0, 1993.0]	"[""Yokohama"", ""Yokohama"", ""Yokohama"", NaN, ""Yokohama""]"		Japan	[1] [2] [3] [4]
"[""Woolworth Building"", ""Woolworth Building"", NaN, ""Woolworth Building"", ""Woolworth Building""]"		[NaN, 57, 57.0]	"[NaN, ""241 m"", ""241 m"", 791, 241.0]"	"[NaN, ""1913 - 1930""]"	"[""New York City"", ""New York, NY"", NaN, ""New York City"", ""New York, NY""]"	1913 - 1930	USA	[1] [2]
"[""Metropolitan Life Tower"", ""Metropolitian Life Tower"", NaN, ""Metropolitan Life Tower"", ""Metropolitian Life Tower""]"		[NaN, 50, 50.0]	"[NaN, ""213 m"", ""213 m"", 698, 213.0]"	"[NaN, ""1909 - 1913""]"	"[""New York City"", ""New York, NY"", NaN, ""New York City"", ""New York, NY""]"	1909 - 1913	USA	
"[""The Trump Building"", ""The Trump Building"", ""40 Wall Street"", ""The Trump Building"", ""The Trump Building"", ""40 Wall Street""]"	100	[70, 70, 70, 70.0]	"[""927 ft"", ""283 m"", ""927 ft"", ""283 m"", 928, 283.0]"	"[1930.0, ""1930 - 1930"", 1930.0]"	"[""New York City"", ""New York City"", ""New York, NY"", ""New York City"", ""New York City"", ""New York, NY""]"	1930 - 1930	USA	[1] [2]
"[""Empire State Building"", ""Empire State Building"", ""Empire State Building"", ""Empire State Building"", ""Empire State Building"", ""Empire State Building""]"	21	[102, 102, 102, 102.0]	"[""1.250 ft"", ""381 m"", ""1.250 ft"", ""381 m"", 1250, 381.0]"	"[1931.0, ""1931 - 1972"", 1931.0]"	"[""New York City"", ""New York City"", ""New York, NY"", ""New York City"", ""New York City"", ""New York, NY""]"	1931 - 1972	USA	[1] [2]
"[""Jin Mao Tower"", ""Jin Mao Tower"", ""Jin Mao Tower"", NaN, ""Jin Mao Tower""]"	12	[88, 88, NaN]	"[""1.380 ft"", ""1.380 ft"", NaN, 1378, 420.0]"	[1999.0, 1999.0]	"[""Shanghai"", ""Shanghai"", ""Shanghai"", NaN, ""Shanghai""]"		P.R.China	[1]
"[""Sears Tower"", ""Willis Tower"", ""Willis Tower"", ""Willis Tower"", ""Willis Tower"", ""Sears Tower""]"	9	[108, 108, 108, 108.0]	"[""1.451 ft"", ""442 m"", ""1.451 ft"", ""442 m"", 1453, 443.0]"	"[1974.0, ""1974 - 1998"", 1974.0]"	"[""Chicago, IL"", ""Chicago"", ""Chicago"", ""Chicago"", ""Chicago"", ""Chicago, IL""]"	1974 - 1998	USA	[1] [2]
"[""Central Plaza"", ""Central Plaza"", ""Central Plaza"", NaN, ""Central Plaza""]"	25	[78, 78, NaN]	"[""1.227 ft"", ""1.227 ft"", NaN, 1227, 374.0]"	[1992.0, 1992.0]	"[""Hong Kong"", ""Hong Kong"", ""Hong Kong"", NaN, ""Hong Kong""]"		P.R. China	[1] [2] [3]
"[""Chrysler Building"", ""Chrysler Building"", ""Chrysler Building"", ""Chrysler Building"", ""Chrysler Building"", ""Chrysler Building""]"	50	[77, 77, 77, 77.0]	"[""1.046 ft"", ""319 m"", ""1.046 ft"", ""319 m"", 1047, 319.0]"	"[1930.0, ""1930 - 1931"", 1930.0]"	"[""New York City"", ""New York City"", ""New York, NY"", ""New York City"", ""New York City"", ""New York, NY""]"	1930 - 1931	USA	[1]
"[""John Hancock Center"", ""John Hancock Center"", ""John Hancock Center"", NaN, ""John Hancock Center""]"	35	[100, 100, NaN]	"[""1.128 ft"", ""1.128 ft"", NaN, 1129, 344.0]"	[1969.0, 1969.0]	"[""Chicago"", ""Chicago, IL"", ""Chicago"", NaN, ""Chicago, IL""]"		USA	[1] [2]
