born - died	cause of death	coin	emperor	nocoins	reign	reign as emperor	succession	years
321 ad	november 17, 375 ad natural causes		valentinian i			364 ad - 375 ad	elected to replace jovian by the army	
32 ad - 69 ad	committed suicide after losing battle of bedriacum to vitellius		otho			69 ad - 69 ad	appointed by praetorian guard	
c.192 ad, ? - 238 ad	killed during the battle of carthage, fighting a pro-maximinus army		gordian ii			238 ad - 238 ad	proclaimed emperor, alongside father gordian i, in opposition to maximinus. technically a usurper, but retrospectively legitimised by the accession of gordian iii	
c. 207 ad - 253 ad	assassinated by his own troops, in favour of valerian		aemilianus			253 ad - 253 ad	"governor of moesia superior, proclaimed emperor by danubian legions after defeating the goths	 accepted as emperor after death of gallus"	
130 ad - 169 ad	natural causes (plague)		lucius verus			161 ad - 169 ad	"adopted son and heir of antoninus pius	 co-emperor with marcus aurelius until death"	
08 ad - 235 ad	murdered by the army		alexander severus			222 ad - 235 ad	grandson of septimius severus's sister-in-law, cousin and adoptive heir of elagabalus	
126 ad - 193 ad	murdered by praetorian guard		pertinax			193 ad - 193 ad	proclaimed emperor by praetorian guard	
			anastasius					
15 ad - 69 ad	murdered by vespasian's troops		vitellius			69 ad - 69 ad	seized power with support of german legions (in opposition to galba/otho)	
359 ad	august 25, 383 ad murdered by rebellious army faction		gratian			367 ad - 383 ad	son of valentinian i, appointed 'junior' augustus by him in 367, became 'senior' augustus (for the west) after valentinian's death.	
30 ad	natural causes		nerva			96 ad - 98 ad	appointed by the senate	
? - 480 ad	"deposed by odoacer, who then ruled in the name of julius nepos until the latter's death, which formally ended the western empire	 most likely lived out his life on a private villa in obscurity"		romulus augustus			475 ad - 476 ad	appointed by his father, flavius orestes	
c. 377 ad - 408 ad	natural causes		arcadius			383 ad - 408 ad	"son of theodosius i	 appointed as 'junior' augustus for the east by theodosius in 383 (after the death of gratian)	 became 'senior' augustus for the east after his father's death"	
161 ad - 192 ad	assassinated in palace, strangled to death	0,0000	commodus	0	180-192	177 ad - 192 ad	"natural son of marcus aurelius	 joint emperor from 177 ad"	12.0
317 ad	361 ad natural causes		constantius ii			337 ad - 361 ad	"son of constantine i	 succeeded as joint augustus with his brothers constantine ii and constans	 sole emperor from 350 ad"	
213 ad/214 ad - 270 ad	natural causes (plague)		claudius gothicus			268 ad - 270 ad	victorious general at battle of naissus, seized power after gallienus's death	
244 ad - 311 ad	"abdicated	 died of natural causes"		diocletian			284 ad - 305 ad	"proclaimed emperor by army after death of numerian, and in opposition to carinus	 adopted maximian as senior co-emperor in 286 ad"	
			julian ii (the apostate)					
? - 307 ad	captured by maxentius and forced to commit suicide (or murdered)		severus s			306 ad - 307 ad	"adopted as junior co-emperor ('caesar') and heir by constantius chlorus in 305 ad	 succeeded as augustus in 306	 opposed by maxentius and constantine i"	
328 ad	august 9, 378 ad killed in battle of adrianople against the goths		valens			364 ad - 378 ad	brother of valentinian i, appointed co-augustus (for the east) by him	
371 ad	"may 15, 392 ad unclear	 possibly murdered or committed suicide"		valentinian ii			375 ad - 392 ad	"son of valentinian i, proclaimed emperor by pannonian army after valentinian's death	 accepted as co-augustus for the west by gratian"	
unknown - 251 ad	natural causes (plague)		hostilian			251 ad - late 251 ad	son of decius, accepted as heir by the senate	
c. 450 ad - 527 ad	natural causes		justin i			518 ad - 527 ad	"commander of the palace guard under anastasius i)	 elected as emperor with support of army"	
