32	1	2	4	30	31	1003	2000	2001	3002	4004
"[""Hadrian"", ""Hadrian"", ""Hadrian"", ""Hadrian"", NaN, ""Hadrian"", ""Hadrian"", NaN]"	0,1429	2+1	21.0	"[""Adopted son and heir of Trajan"", ""Adopted son and heir of Trajan"", NaN]"	"[""117 AD - 138 AD"", ""117-138"", ""117-138"", ""117 AD - 138 AD"", ""117 - 138 A.D."", NaN, NaN]"	[NaN, NaN]	76 AD - 138 AD	Natural causes	Emperor	
"[""Domitian"", ""Domitian"", ""Domitian"", ""Domitian"", NaN, ""Domitian"", ""Domitian"", NaN]"	0,0667	1	15.0	"[""Son of Vespasian"", ""Son of Vespasian"", NaN]"	"[""81 AD - 96 AD"", ""81-96"", ""81-96"", ""81 AD - 96 AD"", ""81 - 96 A.D."", NaN, NaN]"	[NaN, NaN]	51 AD - 96 AD	Assassinated by court officials	Emperor	
"[""Titus"", ""Titus"", NaN, NaN, ""Titus"", ""Titus"", NaN]"				"[""Son of Vespasian"", ""Son of Vespasian"", NaN]"	"[""79 AD - 81 AD"", NaN, ""79 AD - 81 AD"", ""79 - 81 A.D."", NaN, NaN]"	[NaN, NaN]	39 AD - 81 AD	Natural causes (Plague)	Emperor	
"[""Trajan"", ""Trajan"", ""Trajan"", ""Trajan"", NaN, ""Trajan"", ""Trajan"", NaN]"	0,1579	3	19.0	"[""Adopted son and heir of Nerva"", ""Adopted son and heir of Nerva"", NaN]"	"[""98 AD - 117 AD"", ""98-117"", ""98-117"", ""98 AD - 117 AD"", ""98 - 117 A.D."", NaN, NaN]"	[NaN, NaN]	53 AD - 117 AD	Natural causes	Emperor	
"[""Gordianus III"", ""Gordian III"", ""Gordian III"", ""Gordian III"", NaN, ""Gordian III"", ""Gordianus III"", NaN]"	1,3333	8	6.0	"[""Proclaimed emperor by supporters of Gordian I & II, then by the Senate, joint-emperor with Pupienus and Balbinus until July 238 AD."", ""Proclaimed emperor by supporters of Gordian I & II, then by the Senate, joint-emperor with Pupienus and Balbinus until July 238 AD."", NaN]"	"[""238-244"", ""238 AD - 244 AD"", ""238-244"", ""238 AD - 244 AD"", ""238 - 244 A.D."", NaN, NaN]"	[NaN, NaN]	225 AD - 244 AD	Unknown, possibly murdered on orders of Philip the Arab	Emperor	
"[""Commodus"", NaN, ""Commodus"", ""Commodus"", ""Commodus"", ""Commodus"", ""Commodus"", ""Commodus"", NaN]"	0,0000	0	12.0	"[""Natural son of Marcus Aurelius, joint emperor from 177 AD"", ""Natural son of Marcus Aurelius, joint emperor from 177 AD"", NaN]"	"[""177 AD - 192 AD"", ""180-192"", ""180-192"", ""177 AD - 192 AD"", ""180 - 192 A.D."", NaN, ""180-92""]"	"[""Lucius Aurelius Commodus"", NaN]"	161 AD - 192 AD	Assassinated in palace, strangled to death	Emperor	
"[""Lucius Verus"", NaN, ""(Lucilla) => Lucius Verus"", ""Lucius Verus"", ""(Lucilla) => Lucius Verus"", ""Lucius Verus"", ""Lucius Verus"", ""Lucius Verus"", NaN]"		(1)		"[""Adopted son and heir of Antoninus Pius, Co-emperor with Marcus Aurelius until death"", ""Adopted son and heir of Antoninus Pius, Co-emperor with Marcus Aurelius until death"", NaN]"	"[""161 AD - 169 AD"", ""161-166"", ""161-166"", ""161 AD - 169 AD"", ""161 - 169 A.D."", NaN, ""161-9 (with M.A.)""]"	[NaN, NaN]	130 AD - 169 AD	Natural causes (Plague)	Emperor	
"[""Nerva"", ""Nerva"", NaN, NaN, ""Nerva"", ""Nerva"", NaN]"				"[""Appointed by the Senate"", ""Appointed by the Senate"", NaN]"	"[""96 AD - 98 AD"", NaN, ""96 AD - 98 AD"", ""96 - 98 A.D."", NaN, NaN]"	[NaN, NaN]	30 AD	Natural causes	Emperor	
"[NaN, ""Pertinax"", ""Pertinax"", NaN, ""Pertinax"", ""Pertinax"", ""Pertinax"", NaN]"				"[""Proclaimed emperor by Praetorian Guard"", ""Proclaimed emperor by Praetorian Guard"", NaN]"	"[""193 AD - 193 AD"", NaN, ""193 AD - 193 AD"", ""193 A.D."", NaN, ""192-3""]"	"[""Publius Helvius Pertinax"", NaN]"	126 AD - 193 AD	Murdered by Praetorian Guard	Emperor	
"[""Faustina"", ""Marcus Aurelius"", ""Marcus Aurelius"", ""Marcus Aurelius"", ""Marcus Aurelius"", ""Marcus Aurelius"", ""Marcus Aurelius"", ""Marcus Aurelius"", NaN]"	0,1053	1+1	19.0	"[""Adopted son and heir of Antoninus Pius, Co-emperor with Lcius Verus until 169 AD"", ""Adopted son and heir of Antoninus Pius, Co-emperor with Lcius Verus until 169 AD"", NaN]"	"[""161-180"", ""161 AD - 180 AD"", ""161-180"", ""161 AD - 180 AD"", ""161 - 180 A.D."", NaN, ""161-80""]"	"[""Marcus Annius Verus then M A Antoninus"", NaN]"	121 AD - 180 AD	Natural causes	Emperor	
