38	ashton-under-lyne	breast care unit	länge-(km)
royal devon & exeter hospital	exeter	exeter breast clinic - room h270	
royal hallamshire hospital	sheffield	g floor - g39	uk
royal united hospital bath			uk
medway maritime hospital			uk
william harvey hospital	willesborough	breast care unit	uk
st richard's hospital	chichester	breast care unit	
queen elizabeth hospital	gateshead	breast care unit	
addenbrookes hospital	cambridge	cambridge breast unit	uk
wansbeck general hospital	northumberland	breast care unit	uk
derriford hospital	derriford	the primrose breast care centre	uk
torbay hospital	torquay	breast care unit	uk
qeii health sciences centre			canada
yeovil district hospital	yeovil	level 4	uk
morriston hospital			uk
university hospital of wales (cardiff)			
norfolk and norwich university hospital			uk
derby royal hospital			uk
doncaster royal infirmary	doncaster	jasmine centre	uk
darlington and bishop auckland hospitals			uk
princess royal hospital brighton & sussex university hospitals trust			uk
leeds general hospital	leeds	c floor ? brotherton wing	
king's college hospital			uk
