38	1	2	1003	1004	2000	2002	3001
"[""Torbay Hospital"", ""Torbay Hospital"", NaN, NaN, ""Torbay Hospital"", ""Torbay Hospital""]"				"[NaN, ""Torquay""]"	1.0	UK	Breast Care Unit
"[""Yeovil District Hospital"", ""Yeovil District Hospital"", NaN, NaN, ""Yeovil District Hospital"", ""Yeovil District Hospital""]"				"[NaN, ""Yeovil""]"	8.0	UK	Level 4
"[""QEII Health Sciences Centre"", ""QEII Health Sciences Centre"", ""QEII Health Sciences Centre"", NaN, ""QEII Health Sciences Centre"", NaN]"			Nouvelle-�cosse	"[""Halifax"", NaN]"	8.0	CANADA	
"[""Derriford Hospital"", ""Derriford Hospital"", NaN, NaN, ""Derriford Hospital"", ""Derriford Hospital""]"				"[NaN, ""Derriford""]"	2.0	UK	The Primrose Breast Care Centre
"[""Bishop Auckland General Hospital"", ""Darlington and Bishop Auckland Hospitals"", NaN, NaN, ""Darlington and Bishop Auckland Hospitals"", ""Bishop Auckland General Hospital""]"				"[NaN, ""Bishop Auckland""]"	56.0	UK	Eskham Road Annex
"[""Queen Elizabeth Hospital"", ""Queen Elizabeth Hospital (Kings Lynn)"", NaN, NaN, ""Queen Elizabeth Hospital (Kings Lynn)"", ""Queen Elizabeth Hospital""]"				"[NaN, ""Kings Lynn""]"	2.0	UK	Breast Care Unit
"[""The Princess Royal Hospital"", ""Princess Royal Hospital Brighton & Sussex University Hospitals Trust"", NaN, NaN, ""Princess Royal Hospital Brighton & Sussex University Hospitals Trust"", ""The Princess Royal Hospital""]"				"[NaN, ""Haywards Heath""]"	5.0	UK	Breast Care Unit
"[""Royal West Sussex NHS Trust, St Richard's Hospital"", ""St Richard's Hospital"", NaN, NaN, ""Royal West Sussex NHS Trust, St Richard's Hospital"", ""St Richard's Hospital""]"				"[NaN, ""Chichester""]"	4.0	UK	Breast Care Unit
"[""Morriston Hospital"", ""Morriston Hospital (Swansea)"", NaN, ""Morriston Hospital (Swansea)"", ""Morriston Hospital"", NaN]"	Roger Morgan	Abertawe Bro Morgannwg University LHB		[NaN, NaN]	4.0	UK	
"[""University Hospital of Wales (Cardiff)"", ""University Hospital of Wales"", NaN, ""University Hospital of Wales (Cardiff)"", ""University Hospital of Wales"", NaN]"	Wyn Lewis			[NaN, NaN]	46.0	UK	
"[""Derby City General Hospital"", ""Derby Royal Hospital"", NaN, NaN, ""Derby Royal Hospital"", ""Derby City General Hospital""]"				"[NaN, ""Derby""]"	37.0	UK	Breast Care Unit
"[""Doncaster Royal Infirmary"", ""Doncaster Royal Infirmary"", NaN, NaN, ""Doncaster Royal Infirmary"", ""Doncaster Royal Infirmary""]"				"[NaN, ""Doncaster""]"	7.0	UK	Jasmine Centre
"[""Queen Elizabeth Hospital (Gateshead)"", ""Queen Elizabeth Hospital"", NaN, NaN, ""Queen Elizabeth Hospital (Gateshead)"", ""Queen Elizabeth Hospital""]"				"[NaN, ""Gateshead""]"	12.0	UK	Breast Care Unit
"[""Norfolk and Norwich University Hospital"", ""Norfolk & Norwich Univ? Hospital"", NaN, NaN, ""Norfolk and Norwich University Hospital"", ""Norfolk & Norwich Univ? Hospital""]"				"[NaN, ""Norwich""]"	67.0	UK	West Block Out Patients - Level 3
"[""Royal Hallamshire Hospital"", ""Royal Hallamshire Hospital"", NaN, NaN, ""Royal Hallamshire Hospital"", ""Royal Hallamshire Hospital""]"				"[NaN, ""Sheffield""]"	118.0	UK	G Floor - G39
"[""Royal Devon & Exeter Hospital (Wonford)"", ""Royal Devon & Exeter Hospital"", NaN, NaN, ""Royal Devon & Exeter Hospital (Wonford)"", ""Royal Devon & Exeter Hospital""]"				"[NaN, ""Exeter""]"	30.0	UK	Exeter Breast Clinic - Room H270
"[""Wansbeck General Hospital"", ""Wansbeck General Hospital"", NaN, NaN, ""Wansbeck General Hospital"", ""Wansbeck General Hospital""]"				"[NaN, ""Northumberland""]"	6.0	UK	Breast Care Unit
"[""King's College Hospital"", ""King?s College Hospital"", NaN, NaN, ""King's College Hospital"", ""King?s College Hospital""]"				"[NaN, ""London""]"	7.0	UK	King?s Breast Care
"[""Royal United Hospital Bath"", ""Royal United Hospital (North)"", NaN, NaN, ""Royal United Hospital Bath"", ""Royal United Hospital (North)""]"				"[NaN, ""Combe Park""]"	7.0	UK	Cancer Management Office
"[""William Harvey Hospital"", ""William Harvey Hospital"", NaN, NaN, ""William Harvey Hospital"", ""William Harvey Hospital""]"				"[NaN, ""Willesborough""]"	20.0	UK	Breast Care Unit
"[""Medway Maritime Hospital"", ""Medway-Maritime Hospital"", NaN, NaN, ""Medway Maritime Hospital"", ""Medway-Maritime Hospital""]"				"[NaN, ""Gillingham""]"	1.0	UK	Richard Watts Unit
"[""Leeds General Hospital"", ""Leeds General Infirmary"", NaN, NaN, ""Leeds General Infirmary"", ""Leeds General Hospital""]"				"[NaN, ""Leeds""]"	12.0	UK	C Floor ? Brotherton Wing
"[""Addenbrookes Hospital"", ""Addenbrookes Hospital"", NaN, NaN, ""Addenbrookes Hospital"", ""Addenbrookes Hospital""]"				"[NaN, ""Cambridge""]"	34.0	UK	Cambridge Breast Unit
