embargo period in months	journal	länge-(km)	mix	optional fee for immediate access	pmc deposit policy	publisher link to nih policy page or related policy	who deposits to pmc
12	cancer research	87		no	yes	american association of cancer research	publisher or author
6	molecular and cellular biology	312		no specific information	yes	american society for microbiology	publisher only
6	nature			yes	yes	nature publishing group	publisher or author
	usa today	17.0	2.0				
	the new york times	185					
	the journal of pharmacology and experimental therapeutics	98					
12	monthly notices of the royal astronomical society	181		yes	yes	wiley-blackwell	publisher only
	wall street journal usa	14.0	3.4				
	the journal of virology	188					
12	journal of the american chemical society	358		yes	yes	american chemical society	publisher or author
	dainik bhaskar	2.0	14.0				
	the journal of immunology	130					
12	journal of organic chemistry	89		yes	yes	american chemical society	publisher or author
	dainik jagran	1.0	30.25				
	dinakaran	5.0	5.0				
6	science			no specific information	yes	american association for the advancement of science	author only
no specific information	physical review letters	202		yes	no specific policy	american physical society	no specific information
	more media >>	nan	nan				
	times of india	6.0	12.0				
	the journal of biological chemistry						
	proceedings of the national academy of sciences of the united states of america						
	dina thanthi	14.0	2.1				
	dinamalar	10.0	3.5				
	malayala manorama	6.0	4.0				
	journal of geophysical research	105					
	the journal of bacteriology	165					
	punjab kesari	16.0	5.0				
	the journal of neuroscience	134					
	foxnews	12.0	3.0				
12	biological psychiatry	84		yes	yes	elsevier	publisher only
	ibn live	16.0	5.5				
	journal of the american medical association						
	the american journal of gastroenterology	110					
12	biochemical and biophysical research communications	117		yes	yes	elsevier	publisher only
	physical review	108					
