43	1	86	92	1000	5000	5002	5003	5004	5005
"[""Physical Review"", ""PHYSICAL REVIEW D"", NaN, NaN, ""Physical Review"", NaN, ""PHYSICAL REVIEW D""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 62.0, NaN]	"[108, ""No Specific Information"", 108.0]"	[NaN, NaN]	No Specific Information	Yes	No Specific Policy	AMERICAN PHYSICAL SOCIETY	No Specific Information
"[""Proceedings of the National Academy of Sciences of the United States of America"", ""PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE USA"", NaN, NaN, ""Proceedings of the National Academy of Sciences of the United States of America"", NaN, ""PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE USA""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 3.0, NaN]	"[1080, ""6"", 1080.0]"	[NaN, NaN]	6	Yes	Yes	NATIONAL ACADEMY OF SCIENCES	Publisher OR Author
"[""BIOLOGICAL PSYCHIATRY"", ""Biological Psychiatry"", NaN, NaN, ""Biological Psychiatry"", NaN, ""BIOLOGICAL PSYCHIATRY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 86.0, NaN]	"[""12"", 84, 84.0]"	[NaN, NaN]	12	Yes	Yes	ELSEVIER	Publisher Only
"[""CANCER RESEARCH"", ""Cancer Research"", NaN, NaN, ""Cancer Research"", NaN, ""CANCER RESEARCH""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 82.0, NaN]	"[""12"", 87, 87.0]"	[NaN, NaN]	12	No	Yes	AMERICAN ASSOCIATION OF CANCER RESEARCH	Publisher OR Author
"[""JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION"", ""Journal of the American Medical Association"", NaN, NaN, ""Journal of the American Medical Association"", NaN, ""JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 9.0, NaN]	"[""6"", 511, 511.0]"	[NaN, NaN]	6	No Specific Information	Yes	AMERICAN MEDICAL ASSOCIATION	Author Only
"[""JOURNAL OF BACTERIOLOGY"", ""The Journal of Bacteriology"", NaN, NaN, ""The Journal of Bacteriology"", NaN, ""JOURNAL OF BACTERIOLOGY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 37.0, NaN]	"[""6"", 165, 165.0]"	[NaN, NaN]	6	No Specific Information	Yes	AMERICAN SOCIETY FOR MICROBIOLOGY	Publisher Only
"[""JOURNAL OF BIOLOGICAL CHEMISTRY"", ""The Journal of Biological Chemistry"", NaN, NaN, ""The Journal of Biological Chemistry"", NaN, ""JOURNAL OF BIOLOGICAL CHEMISTRY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 7.0, NaN]	"[""12"", 653, 653.0]"	[NaN, NaN]	12	Yes	Yes	AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY	Publisher Only
"[""JOURNAL OF ORGANIC CHEMISTRY"", ""Journal of Organic Chemistry"", NaN, NaN, ""Journal of Organic Chemistry"", NaN, ""JOURNAL OF ORGANIC CHEMISTRY""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 79.0, NaN]	"[""12"", 89, 89.0]"	[NaN, NaN]	12	Yes	Yes	AMERICAN CHEMICAL SOCIETY	Publisher OR Author
"[""JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS"", ""The Journal of Pharmacology And Experimental Therapeutics"", NaN, NaN, ""The Journal of Pharmacology And Experimental Therapeutics"", NaN, ""JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 72.0, NaN]	"[""12"", 98, 98.0]"	[NaN, NaN]	12	No Specific Information	Yes	AMERICAN SOCIETY FOR PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS	Publisher Only
"[""JOURNAL OF NEUROSCIENCE"", ""The Journal of Neuroscience"", NaN, NaN, ""The Journal of Neuroscience"", NaN, ""JOURNAL OF NEUROSCIENCE""]"	[NaN, NaN, NaN]	[NaN, NaN, NaN, 46.0, NaN]	"[""6"", 134, 134.0]"	[NaN, NaN]	6	Yes	Yes	SOCIETY FOR NEUROSCIENCE	Publisher Only
