58	facebook-fans	male religious	tendenz
creation museum	59339	petersburg	-1
j. paul getty museum		40	
city museum	80.285	st louis	-1
whitney museum of american art	25803	new york	-1
metropolitan museum of art	362.548	new york	-
acropolis museum	242.105	athen	-
mus?e du louvre	98307	paris	-
salvador dali museum	46.61	saint petersburg	-
design museum	88.174	london	-
tate modern	114937	london	-
natural history museum	29105	london	-
british museum	51298	london	+2
national museum of the american indian	32.206	washington d.c.	-
guggenheim museum	67894	new york	-
american museum of natural history	33.06	new york	-
centre pompidou	72.599	paris	-
museo nacional del prado		72	
moma the museum of modern art	504079	new york	-
new museum	44599	new york	-
victoria & albert museum	68.085	london	+1
