58	3	59	64	66	3004	5000	5001	5003	5004	6000	6003	100006	100007	100011	100012
"[""American Museum of Natural History"", ""American Museum of Natural History"", ""National Museum of the American Indian"", ""American Museum of Natural History"", ""National Museum of the American Indian"", ""American Museum of Natural History"", ""American Museum of Natural History"", ""American Museum of Natural History"", NaN, NaN, NaN, NaN, NaN, NaN]"		"[""-"", 19, 19, 20, 19.0, 19.0, 19.0, 20.0, NaN]"	[33.06, 21904, 28897, 26872, 28897.0, 21904.0, 33.06, 26872.0]	"[""New York"", ""New York"", ""Washington D.C."", ""New York"", NaN, ""Washington D.C."", ""New York"", ""New York"", ""New York"", NaN, NaN, NaN]"	-				[NaN, NaN]	[NaN, NaN, NaN]					
"[""National Museum of the American Indian"", ""American Museum of Natural History"", ""National Museum of the American Indian"", ""Natural History Museum"", ""American Museum of Natural History"", ""National Museum of the American Indian"", ""National Museum of the American Indian"", ""Natural History Museum"", NaN, NaN, NaN, NaN, NaN, NaN]"		"[""-"", 20, 18, 19, 20.0, 18.0, 20.0, 19.0, NaN]"	[32.205999999999996, 28788, 23059, 27219, 28788.0, 23059.0, 32.206, 27219.0]	"[""Washington D.C."", ""New York"", ""Washington D.C."", ""London"", NaN, ""New York"", ""Washington D.C."", ""Washington D.C."", ""London"", NaN, NaN, NaN]"	-				[NaN, NaN]	[NaN, NaN, NaN]					
"[""Victoria & Albert Museum"", ""Victoria & Albert Museum,"", ""Creation Museum"", ""The Getty Museum"", ""Victoria and Albert Museum"", ""Victoria and Albert Museum"", ""Creation Museum"", ""Victoria & Albert Museum,"", ""Victoria & Albert Museum"", ""The Getty Museum"", ""Victoria and Albert Museum"", NaN, ""Victoria and Albert Museum"", ""Victoria & Albert Museum"", NaN, NaN]"		"[""+1"", 12, 11, 12, 11.0, 12.0, 11.0, 12.0, 5.0]"	[68.085, 31851, 59339, 50317, 59339.0, 31851.0, 68.085, 50317.0]	"[""London"", ""London"", ""Petersburg"", ""Los Angeles"", NaN, ""Petersburg"", ""London"", ""London"", ""Los Angeles"", ""London"", NaN, NaN]"	+1	15.8	Museums/Art Galleries	2269880.0	"[2629065.0, ""3,231,700""]"	"[""United Kingdom"", ""United Kingdom"", NaN]"	37.0				
"[""Creation Museum"", ""Victoria & Albert Museum"", ""Creation Museum"", ""Centre Pompidou"", ""Victoria & Albert Museum"", ""Creation Museum"", ""Creation Museum"", ""Centre Pompidou"", NaN, NaN, NaN, NaN, NaN, NaN]"		"[""-1"", 12, 16, 11, 12.0, 16.0, 12.0, 11.0, NaN]"	[64.608, 54598, 25981, 51793, 54598.0, 25981.0, 64.608, 51793.0]	"[""Petersburg"", ""London"", ""Petersburg"", ""Paris"", NaN, ""London"", ""Petersburg"", ""Petersburg"", ""Paris"", NaN, NaN, NaN]"	-1				[NaN, NaN]	[NaN, NaN, NaN]					
"[""British Museum"", ""The Getty Museum"", ""British Museum"", ""British Museum"", ""British Museum"", ""British Museum"", ""The Getty Museum"", ""British Museum"", ""British Museum"", ""British Museum"", ""British Museum"", NaN, ""British Museum"", ""British Museum"", ""British Museum"", ""British Museum""]"		"[""+2"", 13, 14, 15, 13.0, 14.0, 13.0, 15.0, 74.0]"	[63.233999999999995, 54579, 28408, 44936, 54579.0, 28408.0, 63.234, 44936.0]	"[""London"", ""Los Angeles"", ""London"", ""London"", NaN, ""Los Angeles"", ""London"", ""London"", ""London"", ""London"", ""London"", ""London""]"	+2	4.9	Museums/Art Galleries	5569981.0	"[5842000.0, ""5,575,946""]"	"[""United Kingdom"", ""United Kingdom"", ""\u00a0United Kingdom""]"	292.0	5,576,000	Free	25,7	1753.0
"[""Whitney Museum of American Art"", ""Whitney Museum of American Art"", ""Whitney Museum of American Art"", ""Whitney Museum of American Art"", ""Whitney Museum of American Art"", ""Whitney Museum of American Art"", ""Whitney Museum of American Art"", ""Whitney Museum of American Art"", NaN, NaN, NaN, NaN, NaN, NaN]"		"[""-1"", 14, 15, 14, 14.0, 15.0, 14.0, 14.0, NaN]"	[62.875, 54143, 25803, 48266, 54143.0, 25803.0, 62.875, 48266.0]	"[""New York"", ""New York"", ""New York"", ""New York"", NaN, ""New York"", ""New York"", ""New York"", ""New York"", NaN, NaN, NaN]"	-1				[NaN, NaN]	[NaN, NaN, NaN]					
"[""The Getty Museum"", ""British Museum"", ""J. Paul Getty Museum"", ""Victoria & Albert Museum"", ""J. Paul Getty Museum"", ""The Getty Museum"", ""British Museum"", ""The Getty Museum"", ""The Getty Museum"", ""Victoria & Albert Museum"", ""J. Paul Getty Museum"", ""J. Paul Getty Museum"", NaN, NaN, NaN, NaN]"	California	"[""-1"", 15, 13, 9, 15.0, 9.0, 15.0, 13.0, 6.0]"	[61.898999999999994, 51298, 49363, 36767, 51298.0, 36767.0, 61.899, 49363.0]	"[""Los Angeles"", ""London"", ""London"", ""Los Angeles"", ""Los Angeles"", ""London"", ""Los Angeles"", ""Los Angeles"", ""London"", NaN, NaN, NaN]"	-1				[NaN, NaN]	"[""USA"", NaN, NaN]"	40.0				
"[""New Museum"", ""New Museum"", ""New Museum"", ""New Museum"", ""New Museum of Contemporary Art"", ""New Museum"", ""New Museum"", ""New Museum"", ""New Museum"", NaN, ""New Museum of Contemporary Art"", NaN, NaN, NaN, NaN]"	New York	"[""-"", 20, 16, 16, 16.0, 20.0, 16.0, 16.0, NaN]"	[52.376000000000005, 21235, 44599, 38873, 44599.0, 21235.0, 52.37600000000001, 38873.0]	"[""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", ""New York"", NaN, NaN, NaN]"	-				[NaN, NaN]	[NaN, NaN, NaN]					
"[""Salvador Dali Museum"", ""Salvador Dali Museum"", ""Salvador Dali Museum"", ""Salvador Dali Museum"", ""Salvador Dali Museum"", ""Salvador Dali Museum"", ""Salvador Dali Museum"", ""Salvador Dali Museum"", NaN, NaN, NaN, NaN, NaN, NaN]"		"[""-"", 17, 17, 10, 17.0, 10.0, 17.0, 17.0, NaN]"	[46.61, 41260, 38778, 35182, 41260.0, 35182.0, 46.61, 38778.0]	"[""Saint Petersburg"", ""Saint Petersburg"", ""Saint Petersburg"", ""Saint Petersburg"", NaN, ""Saint Petersburg"", ""Saint Petersburg"", ""Saint Petersburg"", ""Saint Petersburg"", NaN, NaN, NaN]"	-				[NaN, NaN]	[NaN, NaN, NaN]					
"[""Natural History Museum"", ""Natural History Museum"", ""Natural History Museum"", ""National Museum of the American Indian"", ""Natural History Museum"", ""Natural History Museum"", ""Natural History Museum"", ""Natural History Museum"", ""National Museum of the American Indian"", NaN, NaN, ""Natural History Museum"", NaN, ""Natural History Museum"", NaN]"		"[""-"", 18, 17, 18, 18.0, 17.0, 18.0, 18.0, NaN]"	[33.477, 29105, 23566, 27694, 29105.0, 23566.0, 33.477, 27694.0]	"[""London"", ""London"", ""London"", ""Washington D.C."", NaN, ""London"", ""London"", ""London"", ""Washington D.C."", NaN, ""London"", NaN]"	-	13.2	Museums/Art Galleries	4105106.0	[4647613.0, NaN]	[NaN, NaN, NaN]		4,936,000	Free		
