"Identifier1","Identifier2","similarityScore"
"48456557_0_3760853481322708783.csv~Row213","90196673_0_5458330029110291950.csv~Row263","1.0"
"48456557_0_3760853481322708783.csv~Row189","90196673_0_5458330029110291950.csv~Row55","1.0"
"48456557_0_3760853481322708783.csv~Row53","90196673_0_5458330029110291950.csv~Row244","1.0"
"48456557_0_3760853481322708783.csv~Row98","90196673_0_5458330029110291950.csv~Row109","1.0"
"48456557_0_3760853481322708783.csv~Row6","90196673_0_5458330029110291950.csv~Row313","1.0"
"48456557_0_3760853481322708783.csv~Row207","90196673_0_5458330029110291950.csv~Row327","0.75"
"48456557_0_3760853481322708783.csv~Row387","90196673_0_5458330029110291950.csv~Row158","1.0"
"48456557_0_3760853481322708783.csv~Row71","90196673_0_5458330029110291950.csv~Row63","1.0"
"48456557_0_3760853481322708783.csv~Row247","90196673_0_5458330029110291950.csv~Row190","1.0"
"48456557_0_3760853481322708783.csv~Row52","90196673_0_5458330029110291950.csv~Row79","1.0"
"48456557_0_3760853481322708783.csv~Row322","90196673_0_5458330029110291950.csv~Row270","1.0"
"48456557_0_3760853481322708783.csv~Row393","90196673_0_5458330029110291950.csv~Row352","1.0"
"48456557_0_3760853481322708783.csv~Row16","90196673_0_5458330029110291950.csv~Row310","1.0"
"48456557_0_3760853481322708783.csv~Row326","90196673_0_5458330029110291950.csv~Row108","1.0"
"48456557_0_3760853481322708783.csv~Row392","90196673_0_5458330029110291950.csv~Row238","1.0"
"48456557_0_3760853481322708783.csv~Row94","90196673_0_5458330029110291950.csv~Row379","0.8333333333333333"
"48456557_0_3760853481322708783.csv~Row113","90196673_0_5458330029110291950.csv~Row425","0.75"
"48456557_0_3760853481322708783.csv~Row321","90196673_0_5458330029110291950.csv~Row286","1.0"
"48456557_0_3760853481322708783.csv~Row0","90196673_0_5458330029110291950.csv~Row179","1.0"
"48456557_0_3760853481322708783.csv~Row412","90196673_0_5458330029110291950.csv~Row241","1.0"
"48456557_0_3760853481322708783.csv~Row401","90196673_0_5458330029110291950.csv~Row72","1.0"
"48456557_0_3760853481322708783.csv~Row397","90196673_0_5458330029110291950.csv~Row180","1.0"
"48456557_0_3760853481322708783.csv~Row67","90196673_0_5458330029110291950.csv~Row83","1.0"
"48456557_0_3760853481322708783.csv~Row104","90196673_0_5458330029110291950.csv~Row276","1.0"
"48456557_0_3760853481322708783.csv~Row238","90196673_0_5458330029110291950.csv~Row271","1.0"
"48456557_0_3760853481322708783.csv~Row251","90196673_0_5458330029110291950.csv~Row416","1.0"
"48456557_0_3760853481322708783.csv~Row352","90196673_0_5458330029110291950.csv~Row1","1.0"
"48456557_0_3760853481322708783.csv~Row175","90196673_0_5458330029110291950.csv~Row47","0.8333333333333333"
"48456557_0_3760853481322708783.csv~Row9","90196673_0_5458330029110291950.csv~Row228","1.0"
"48456557_0_3760853481322708783.csv~Row30","90196673_0_5458330029110291950.csv~Row368","1.0"
"48456557_0_3760853481322708783.csv~Row260","90196673_0_5458330029110291950.csv~Row101","1.0"
"48456557_0_3760853481322708783.csv~Row190","90196673_0_5458330029110291950.csv~Row186","1.0"
"48456557_0_3760853481322708783.csv~Row372","90196673_0_5458330029110291950.csv~Row224","1.0"
"48456557_0_3760853481322708783.csv~Row81","90196673_0_5458330029110291950.csv~Row159","1.0"
"48456557_0_3760853481322708783.csv~Row170","90196673_0_5458330029110291950.csv~Row184","1.0"
"48456557_0_3760853481322708783.csv~Row48","90196673_0_5458330029110291950.csv~Row195","1.0"
"48456557_0_3760853481322708783.csv~Row40","90196673_0_5458330029110291950.csv~Row65","1.0"
"48456557_0_3760853481322708783.csv~Row370","90196673_0_5458330029110291950.csv~Row100","1.0"
