count,table_name,group
33,"[""11833461_1_3811022039809817402.csv"", ""16767252_0_2409448375013995751.csv"", ""20135078_0_7570343137119682530.csv"", ""21362676_0_6854186738074119688.csv"", ""21801207_0_8144839668470123042.csv"", ""22864497_0_8632623712684511496.csv"", ""25404227_0_2240631045609013057.csv"", ""27466715_0_3913547177671701530.csv"", ""29414811_12_251152470253168163.csv"", ""29414811_13_8724394428539174350.csv"", ""29414811_2_4773219892816395776.csv"", ""29414811_6_8221428333921653560.csv"", ""35188621_0_6058553107571275232.csv"", ""36102169_0_7739454799295072814.csv"", ""38428277_0_1311643810102462607.csv"", ""39173938_0_7916056990138658530.csv"", ""39759273_0_1427898308030295194.csv"", ""40844462_1_6230938203735169234.csv"", ""4501311_8_8306082458935575308.csv"", ""46671561_0_6122315295162029872.csv"", ""47709681_0_4437772923903322343.csv"", ""48944826_0_2321751364268052533.csv"", ""50245608_0_871275842592178099.csv"", ""58891288_0_1117541047012405958.csv"", ""66329615_0_3585856495110277641.csv"", ""69881946_0_1105130426898457358.csv"", ""73242003_5_4847571983313033360.csv"", ""73988811_0_2775758476756716904.csv"", ""75367212_2_2745466355267233390.csv"", ""77694908_0_6083291340991074532.csv"", ""84548468_0_5955155464119382182.csv"", ""91959037_0_7907661684242014480.csv"", ""9475172_1_1023126399856690702.csv""]",0
50,"[""11278409_0_3742771475298785475.csv"", ""11599512_1_280388135214354946.csv"", ""11688006_0_8123036130090004213.csv"", ""12193237_0_8699643798888088574.csv"", ""12271141_0_8517913935669973086.csv"", ""14067031_0_559833072073397908.csv"", ""15700884_0_8204220284166767221.csv"", ""1614988_0_8789868670151796042.csv"", ""21329809_0_5526008408364682899.csv"", ""22987653_0_7774852112768859306.csv"", ""24036779_0_5608105867560183058.csv"", ""24417511_0_3058323105166963431.csv"", ""24850757_0_5978004733768297283.csv"", ""28079336_2_2139598421036200532.csv"", ""28086084_0_3127660530989916727.csv"", ""28423212_0_2742990779532526553.csv"", ""28494901_6_7026744149694237309.csv"", ""33401079_0_9127583903019856402.csv"", ""34899692_0_6530393048033763438.csv"", ""37815699_0_8391788584341609964.csv"", ""39650055_5_7135804139753401681.csv"", ""41194422_0_7231546114369966811.csv"", ""41194422_1_1172256090552737974.csv"", ""41480166_0_6681239260286218499.csv"", ""43237185_1_3636357855502246981.csv"", ""43469354_0_6029017163991310319.csv"", ""4444204_0_951426790527152756.csv"", ""45073662_0_3179937335063201739.csv"", ""45593932_0_6869375743660252130.csv"", ""49772588_0_6549847739640234347.csv"", ""50270082_0_444360818941411589.csv"", ""52299421_0_4473286348258170200.csv"", ""52572391_0_8684896999787304275.csv"", ""55004961_0_2904467548072189860.csv"", ""61121469_0_6337620713408906340.csv"", ""63389809_0_8179819543692215824.csv"", ""64092785_0_4696367782987533337.csv"", ""66009064_0_9148652238372261251.csv"", ""67865873_0_8259587610208037357.csv"", ""68779923_0_3859283110041832023.csv"", ""69537082_0_7789694313271016902.csv"", ""75154185_0_1607627349983289012.csv"", ""79327346_0_5787863739697336601.csv"", ""80184932_0_4240003884724905487.csv"", ""86297395_0_6919201319699354263.csv"", ""88732174_0_7321365014357502211.csv"", ""90723763_0_874013697986950454.csv"", ""9206866_1_8114610355671172497.csv"", ""93702496_0_39013305210829591.csv"", ""96203994_0_2127964719640427252.csv""]",2
1,"[""37856682_0_6818907050314633217.csv""]",4
1,"[""88523363_0_8180214313099580515.csv""]",5
4,"[""19654359_0_3020273135042459469.csv"", ""34041816_1_4749054164534706977.csv"", ""39107734_2_2329160387535788734.csv"", ""9686394_0_5980699488362107028.csv""]",10
5,"[""26310680_0_5150772059999313798.csv"", ""49087820_0_461228320225084868.csv"", ""61069974_0_1894536874590565102.csv"", ""78650283_0_5937576517849452289.csv"", ""97941125_0_8220652154649529701.csv""]",11
7,"[""13395751_3_369722706637560735.csv"", ""21245481_0_8730460088443117515.csv"", ""3887681_0_7938589465814037992.csv"", ""55027702_0_628532586316851176.csv"", ""71840765_0_6664391841933033844.csv"", ""8468806_0_4382447409703007384.csv"", ""98929678_0_3700213490979945526.csv""]",16
9,"[""13719111_1_5719401842463579519.csv"", ""33167985_0_5220049369716352813.csv"", ""48456557_0_3760853481322708783.csv"", ""60319454_0_3938426910282115527.csv"", ""62564020_0_3836030043284699244.csv"", ""71137051_0_8039724067857124984.csv"", ""74685423_0_8061289760697103949.csv"", ""84675086_0_6386416780680710863.csv"", ""90196673_0_5458330029110291950.csv""]",19
3,"[""10630177_0_4831842476649004753.csv"", ""53583534_0_503521622577229691.csv"", ""54773498_0_4341462266113591159.csv""]",24
1,"[""42764224_0_515744189130384109.csv""]",26
2,"[""25933880_0_4058554985574416690.csv"", ""40534006_0_4617468856744635526.csv""]",28
1,"[""29021592_3_2299138476894681059.csv""]",30
5,"[""26270372_1_3774607938887520564.csv"", ""29021592_4_4348860179678308511.csv"", ""51130304_0_3035822254995425429.csv"", ""64207896_0_3206705146602325658.csv"", ""98312357_0_6395417306876145729.csv""]",32
4,"[""12151277_0_1262954734066545952.csv"", ""38390205_1_8150763005563658139.csv"", ""64734047_0_5880705307495695536.csv"", ""90325533_0_6668263142989366843.csv""]",38
2,"[""16949304_0_2573050770332101882.csv"", ""32460905_0_5195150472060854231.csv""]",40
6,"[""10579449_0_1681126353774891032.csv"", ""61626303_0_266372209664087642.csv"", ""80588006_0_6965325215443683359.csv"", ""84575189_0_6365692015941409487.csv"", ""9567241_0_5666388268510912770.csv"", ""98458255_0_5873264818593370400.csv""]",43
1,"[""41819807_0_3139249984404131679.csv""]",48
2,"[""10151359_0_8168779773862259178.csv"", ""6869358_0_1379459120563510331.csv""]",57
7,"[""29412826_0_3422707769191426540.csv"", ""32051842_5_1757891723986774036.csv"", ""52208141_2_5171684379987586712.csv"", ""61753761_9_4735181228515289890.csv"", ""64499281_8_7181683886563136802.csv"", ""72017594_0_7055198579167316152.csv"", ""9834884_0_3871985887467090123.csv""]",58
2,"[""19073331_0_2742992342272078110.csv"", ""28154036_0_909001972154294543.csv""]",61
1,"[""14380604_4_3329235705746762392.csv""]",65
4,"[""28036255_0_5705563063166785494.csv"", ""28993628_1_6072768612274729703.csv"", ""3389822_6_374624044314151266.csv"", ""69381058_0_984708047398578866.csv""]",69
2,"[""5873256_0_7795190905731964989.csv"", ""86747932_0_7532457067740920052.csv""]",72
1,"[""76836443_2_249332777049648171.csv""]",76
4,"[""1146722_1_7558140036342906956.csv"", ""88353875_0_4876234304797064286.csv"", ""90593344_0_8311455501234425088.csv"", ""99070098_0_2074872741302696997.csv""]",85
5,"[""12746760_0_6703465836620308483.csv"", ""28646774_0_3256889721737611537.csv"", ""30645756_0_2413317245475669227.csv"", ""39606331_0_1646213676302448706.csv"", ""44005578_0_5400481538370055338.csv""]",87
2,"[""12125836_0_1134348206297032434.csv"", ""51741865_0_9203644246202164492.csv""]",88
2,"[""14311244_0_7604843865524657408.csv"", ""49801939_0_6964113429298874283.csv""]",89
